Name,Khoo,NV,Min,Min_floor,Alg,Num_par
r101,1613.59,20,1642.8768747103447,1637.7000000000003,case16,15
r102,1454.68,18,1472.814931476457,1467.6999999999996,case9,15
r103,1213.62,15,1225.0899669665398,1220.3000000000002,case15,15
r104,974.24,10,989.1710178976515,984.5000000000001,case15,15
r105,1360.78,16,1378.0763386905537,1373.1000000000001,case4,15
r106,1239.37,14,1263.8845707861142,1259.2999999999997,random16,35
r107,1072.12,12,1089.3114126044375,1084.6000000000006,case12,15
r108,938.2,11,956.8915468891131,952.3000000000001,case15,15
r109,1151.84,13,1170.6721677022106,1165.8999999999996,case12,15
r110,1072.41,12,1095.5378754241299,1091.2,case16,25
r111,1053.5,12,1069.999276910516,1065.3,case16,15
r112,953.63,11,976.27937565178,971.8000000000001,case16,15
r201,1144.48,8,1151.2075324266018,1146.6000000000004,case9,15
r202,1034.35,7,1040.376878973639,1035.8000000000002,case9,15
r203,874.87,6,880.8235564501512,877.0,case14,15
r204,735.8,5,746.744772481868,742.3999999999999,case16,15
r205,954.16,5,961.6445906286554,957.2000000000002,random16,35
r206,879.89,6,898.9332136800249,894.4000000000002,case15,15
r207,797.99,5,812.5555683583079,808.6000000000003,case16,35
r208,705.33,4,723.0331424182342,718.6999999999999,case16,15
r209,859.39,5,874.5859097808124,870.3000000000003,case16,15
r210,905.21,6,920.0527607983175,915.9999999999999,case16,15
r211,753.15,5,763.170841267192,758.6000000000003,case16,15
c101,828.94,10,828.936866942834,827.3,case3,15
c102,828.94,10,828.936866942834,827.2999999999998,case9,15
c103,828.07,10,828.064882198084,826.2999999999998,case2,15
c104,824.78,10,824.7767082212929,822.9,case15,15
c105,828.94,10,828.936866942834,827.3000000000001,case4,15
c106,828.94,10,828.936866942834,827.3,case3,15
c107,828.94,10,828.936866942834,827.3,case1,15
c108,828.94,10,828.936866942834,827.3,case3,15
c109,828.94,10,828.936866942834,827.2999999999997,case7,15
c201,591.56,3,591.5565566715014,589.1000000000001,case3,15
c202,591.56,3,591.5565566715014,589.1000000000001,case3,15
c203,591.17,3,591.1734427806315,588.7000000000002,case4,15
c204,590.6,3,590.5987456679449,588.1,case16,50
c205,588.88,3,588.8759626534237,586.4000000000001,case4,15
c206,588.49,3,588.4928487625538,586.0000000000001,case4,15
c207,588.29,3,588.2863214262126,585.8000000000002,case3,15
c208,588.32,3,588.3238006573991,585.8000000000002,case3,15
rc101,1623.58,16,1651.3400316451668,1647.5000000000002,case4,15
rc102,1461.23,14,1477.197073366041,1473.5,case4,15
rc103,1261.67,12,1286.2733385873826,1282.4999999999998,case9,15
rc104,1135.52,11,1162.6342280313565,1159.2,random16,15
rc105,1518.58,15,1559.2231862044648,1554.8999999999999,case15,15
rc106,1371.69,14,1401.9127643979405,1398.2,random16,15
rc107,1212.83,12,1254.1801913221227,1251.0,case1,15
rc108,1117.53,11,1135.8690863068048,1132.4999999999998,case14,15
rc201,1134.91,9,1272.3046476604097,1268.7999999999997,case4,15
rc202,1095.64,8,1099.5416363071556,1096.3000000000002,case9,15
rc203,926.82,5,937.4494913021776,934.4000000000007,case12,15
rc204,786.38,4,796.2659955612302,793.6000000000001,case15,20
rc205,1157.55,8,1166.595220291798,1162.7000000000005,case14,15
rc206,1054.61,7,1073.8009707176218,1070.2,case9,15
rc207,966.08,6,970.9259378815403,967.7,case15,15
rc208,778.93,4,781.3270937157105,778.4000000000003,case14,35
