Problem,Num_customer,NV,Opt,Our_floor,Our
C101,100,10.0,827.3,827.3,829.0
C102,100,10.0,827.3,827.3,829.0
C103,100,10.0,826.3,826.3,828.1
C104,100,10.0,822.9,822.9,824.8
C105,100,10.0,827.3,827.3,829.0
C106,100,10.0,827.3,827.3,829.0
C107,100,10.0,827.3,827.3,829.0
C108,100,10.0,827.3,827.3,829.0
C109,100,10.0,827.3,827.3,829.0
C201,100,3.0,589.1,589.2,591.6
C202,100,3.0,589.1,589.2,591.6
C203,100,3.0,588.7,588.8,591.2
C204,100,3.0,588.1,588.1,590.6
C205,100,3.0,586.4,586.5,588.9
C206,100,3.0,586.0,586.1,588.5
C207,100,3.0,585.8,585.9,588.3
C208,100,3.0,585.8,585.9,588.4
R101,100,20.0,1637.7,1637.8,1642.9
R102,100,18.0,1466.6,1467.7,1472.9
R103,100,14.0,1208.7,1220.4,1225.1
R104,100,11.0,971.5,984.6,989.2
R105,100,15.0,1355.3,1373.2,1378.1
R106,100,13.0,1234.6,1259.3,1263.9
R107,100,11.0,1064.6,1084.7,1089.4
R108,100,,,952.3,956.9
R109,100,13.0,1146.9,1165.9,1170.7
R110,100,12.0,1068.0,1091.2,1095.6
R111,100,12.0,1048.7,1065.3,1070.0
R112,100,,,971.8,976.3
R201,100,8.0,1143.2,1146.7,1151.3
R202,100,,,1035.9,1040.4
R203,100,,,877.0,880.9
R204,100,,,742.4,746.8
R205,100,,,957.3,961.7
R206,100,,,894.5,899.0
R207,100,,,808.7,812.6
R208,100,,,718.7,723.1
R209,100,,,870.4,874.6
R210,100,,,916.0,920.1
R211,100,,,758.7,763.2
RC101,100,15.0,1619.8,1647.6,1651.4
RC102,100,14.0,1457.4,1473.5,1477.2
RC103,100,11.0,1258.0,1282.5,1286.3
RC104,100,,,1159.2,1162.7
RC105,100,15.0,1513.7,1554.9,1559.3
RC106,100,,,1398.2,1402.0
RC107,100,12.0,1207.8,1251.0,1254.2
RC108,100,11.0,1114.2,1132.5,1135.9
RC201,100,9.0,1261.8,1268.8,1272.4
RC202,100,8.0,1092.3,1096.4,1099.6
RC203,100,,,934.5,937.5
RC204,100,,,793.7,796.3
RC205,100,7.0,1154.0,1162.8,1166.6
RC206,100,,,1070.2,1073.9
RC207,100,,,967.7,971.0
RC208,100,,,778.5,781.4
