Problem,Num_customer,NV,Opt,Our_NV,Our_floor,Our
C101,50,5.0,362.4,5,362.4,363.2
C102,50,5.0,361.4,5,361.4,362.2
C103,50,5.0,361.4,5,382.1,382.9
C104,50,5.0,358.0,5,361.1,362.2
C105,50,5.0,362.4,5,362.4,363.2
C106,50,5.0,362.4,5,362.4,363.2
C107,50,5.0,362.4,5,362.4,363.2
C108,50,5.0,362.4,5,362.4,363.2
C109,50,5.0,362.4,5,362.4,363.2
C201,50,3.0,360.2,3,360.2,361.8
C202,50,3.0,360.2,3,360.2,361.8
C203,50,3.0,359.8,3,359.8,361.4
C204,50,2.0,350.1,2,357.6,359.2
C205,50,3.0,359.8,3,359.8,361.4
C206,50,3.0,359.8,3,359.8,361.4
C207,50,3.0,359.6,3,359.6,361.2
C208,50,2.0,350.5,2,350.5,352.1
R101,50,12.0,1044.0,12,1049.2,1052.0
R102,50,11.0,909.0,11,909.0,911.4
R103,50,9.0,772.9,9,772.9,775.7
R104,50,6.0,625.4,6,636.0,638.7
R105,50,9.0,899.3,11,922.4,925.0
R106,50,5.0,793.0,9,795.5,797.9
R107,50,7.0,711.1,7,711.1,713.5
R108,50,6.0,617.7,6,623.7,626.0
R109,50,8.0,786.8,8,792.0,794.4
R110,50,7.0,697.0,8,718.5,720.9
R111,50,7.0,707.2,7,719.3,721.6
R112,50,6.0,630.2,6,650.3,652.5
R201,50,6.0,791.9,6,812.1,814.5
R202,50,5.0,698.5,6,715.4,717.5
R203,50,5.0,605.3,5,613.8,615.9
R204,50,2.0,506.4,3,512.7,515.7
R205,50,4.0,690.1,5,700.0,702.2
R206,50,4.0,632.4,5,643.4,645.9
R207,50,,,3,584.2,586.3
R208,50,,,2,496.2,498.5
R209,50,4.0,600.6,4,600.6,603.1
R210,50,4.0,645.6,5,655.5,657.7
R211,50,3.0,535.5,4,552.2,554.8
RC101,50,8.0,944.0,8,944.8,946.5
RC102,50,7.0,822.5,8,838.9,840.3
RC103,50,6.0,710.9,7,754.5,756.0
RC104,50,5.0,545.8,5,552.2,553.1
RC105,50,8.0,855.3,9,889.0,890.6
RC106,50,6.0,723.2,7,769.0,770.6
RC107,50,6.0,642.7,6,670.2,671.4
RC108,50,6.0,598.1,6,598.1,599.2
RC201,50,5.0,684.8,5,684.8,686.3
RC202,50,5.0,613.6,5,613.6,615.0
RC203,50,4.0,555.3,4,566.2,567.6
RC204,50,3.0,444.2,3,447.2,447.9
RC205,50,5.0,630.2,5,633.7,635.3
RC206,50,5.0,610.0,5,610.1,611.7
RC207,50,4.0,558.6,5,562.5,563.8
RC208,50,,,4,490.6,491.5
