Problem,Num_customer,NV,Opt,Our_floor,Our
R201,50,6.0,791.9,816.0000000000002,818.6691223275969
R202,50,5.0,698.5,715.4,717.4971342885885
R203,50,5.0,605.3,618.1000000000003,620.3700355994309
R204,50,2.0,506.4,512.7000000000002,515.6692012243784
R205,50,4.0,690.1,700.6000000000001,702.5799184689362
R206,50,4.0,632.4,663.8000000000002,666.2905000609511
R207,50,,,630.7000000000002,632.9242014779726
R208,50,,,507.7999999999999,510.38542606658183
R209,50,4.0,600.6,621.0000000000001,623.4095725287701
R210,50,4.0,645.6,655.5000000000002,657.7034498151907
R211,50,3.0,535.5,552.9000000000001,555.3630507892332
