Date: 03-06 at 00:04:13, particle: 15, iter: 1, fix: false, local: true, cut car: true, new generate: true, best obj: 256.12(3), mean: 490.63, max: 668.23
Date: 03-06 at 00:04:14, particle: 15, iter: 2, fix: false, local: true, cut car: true, new generate: true, best obj: 252.80(3), mean: 372.58, max: 562.50
Date: 03-06 at 00:04:19, particle: 15, iter: 3, fix: false, local: true, cut car: true, new generate: true, best obj: 227.89(3), mean: 275.48, max: 315.17
Date: 03-06 at 00:04:22, particle: 15, iter: 4, fix: false, local: true, cut car: true, new generate: true, best obj: 219.31(3), mean: 242.52, max: 275.82
Date: 03-06 at 00:04:26, particle: 15, iter: 5, fix: false, local: true, cut car: true, new generate: true, best obj: 187.45(3), mean: 221.21, max: 268.27
Date: 03-06 at 00:04:31, particle: 15, iter: 6, fix: false, local: true, cut car: true, new generate: true, best obj: 187.45(3), mean: 210.69, max: 255.33
Date: 03-06 at 00:04:37, particle: 15, iter: 7, fix: false, local: true, cut car: true, new generate: true, best obj: 187.45(3), mean: 204.95, max: 255.33
Date: 03-06 at 00:04:41, particle: 15, iter: 8, fix: false, local: true, cut car: true, new generate: true, best obj: 187.45(3), mean: 202.46, max: 255.36
Date: 03-06 at 00:04:47, particle: 15, iter: 9, fix: false, local: true, cut car: true, new generate: true, best obj: 187.45(3), mean: 202.75, max: 256.41
Date: 03-06 at 00:04:52, particle: 15, iter: 12, fix: false, local: true, cut car: true, new generate: true, best obj: 187.45(3), mean: 527.34, max: 650.33
Date: 03-06 at 00:04:53, particle: 15, iter: 13, fix: false, local: true, cut car: true, new generate: true, best obj: 187.45(3), mean: 320.95, max: 396.72
Date: 03-06 at 00:04:57, particle: 15, iter: 14, fix: false, local: true, cut car: true, new generate: true, best obj: 187.45(3), mean: 202.67, max: 237.96
Date: 03-06 at 00:05:02, particle: 15, iter: 15, fix: false, local: true, cut car: true, new generate: true, best obj: 187.45(3), mean: 188.07, max: 188.63
Date: 03-06 at 00:05:08, particle: 15, iter: 18, fix: false, local: true, cut car: true, new generate: true, best obj: 187.45(3), mean: 528.18, max: 671.70
Date: 03-06 at 00:05:11, particle: 15, iter: 19, fix: false, local: true, cut car: true, new generate: true, best obj: 187.45(3), mean: 365.45, max: 528.10
