Date: 03-24 at 14:17:00, particle: 15, iter: 1, fix: false, local: true, cut car: true, new generate: true, best obj: 438.52(2), mean: 966.67, max: 1094.47
Date: 03-24 at 14:17:01, particle: 15, iter: 2, fix: false, local: true, cut car: true, new generate: true, best obj: 378.69(2), mean: 433.29, max: 488.87
Date: 03-24 at 14:17:02, particle: 15, iter: 3, fix: false, local: true, cut car: true, new generate: true, best obj: 361.27(2), mean: 443.10, max: 509.82
Date: 03-24 at 14:17:03, particle: 15, iter: 4, fix: false, local: true, cut car: true, new generate: true, best obj: 361.27(2), mean: 404.91, max: 469.22
Date: 03-24 at 14:17:05, particle: 15, iter: 5, fix: false, local: true, cut car: true, new generate: true, best obj: 361.27(2), mean: 398.58, max: 433.11
Date: 03-24 at 14:17:08, particle: 15, iter: 6, fix: false, local: true, cut car: true, new generate: true, best obj: 361.27(2), mean: 361.27, max: 361.27
Date: 03-24 at 14:17:10, particle: 15, iter: 7, fix: false, local: true, cut car: true, new generate: true, best obj: 361.27(2), mean: 361.27, max: 361.27
Date: 03-24 at 14:17:13, particle: 15, iter: 10, fix: false, local: true, cut car: true, new generate: true, best obj: 361.27(2), mean: 905.71, max: 1062.06
Date: 03-24 at 14:17:14, particle: 15, iter: 11, fix: false, local: true, cut car: true, new generate: true, best obj: 350.75(2), mean: 444.90, max: 604.92
Date: 03-24 at 14:17:15, particle: 15, iter: 12, fix: false, local: true, cut car: true, new generate: true, best obj: 343.68(1), mean: 388.14, max: 439.41
Date: 03-24 at 14:17:18, particle: 15, iter: 13, fix: false, local: true, cut car: true, new generate: true, best obj: 343.68(1), mean: 343.68, max: 343.68
Date: 03-24 at 14:17:19, particle: 15, iter: 14, fix: false, local: true, cut car: true, new generate: true, best obj: 343.68(1), mean: 343.68, max: 343.68
Date: 03-24 at 14:17:19, particle: 15, iter: 15, fix: false, local: true, cut car: true, new generate: true, best obj: 343.68(1), mean: 343.68, max: 343.68
Date: 03-24 at 14:17:20, particle: 15, iter: 16, fix: false, local: true, cut car: true, new generate: true, best obj: 343.68(1), mean: 343.68, max: 343.68
Date: 03-24 at 14:17:21, particle: 15, iter: 19, fix: false, local: true, cut car: true, new generate: true, best obj: 343.68(1), mean: 917.02, max: 1062.06
Date: 03-24 at 14:17:24, particle: 15, iter: 20, fix: false, local: true, cut car: true, new generate: true, best obj: 343.68(1), mean: 343.68, max: 343.68
Date: 03-24 at 14:17:25, particle: 15, iter: 21, fix: false, local: true, cut car: true, new generate: true, best obj: 343.68(1), mean: 343.68, max: 343.68
Date: 03-24 at 14:17:25, particle: 15, iter: 22, fix: false, local: true, cut car: true, new generate: true, best obj: 343.68(1), mean: 343.68, max: 343.68
Date: 03-24 at 14:17:26, particle: 15, iter: 25, fix: false, local: true, cut car: true, new generate: true, best obj: 343.68(1), mean: 884.93, max: 1062.06
Date: 03-24 at 14:17:30, particle: 15, iter: 26, fix: false, local: true, cut car: true, new generate: true, best obj: 343.68(1), mean: 343.68, max: 343.68
