Date: 04-10 at 13:52:58, particle: 15, iter: 1, fix: false, local: true, cut car: true, new generate: true, best obj: 583.75(3), mean: 685.92, max: 794.48
Date: 04-10 at 13:52:59, particle: 15, iter: 2, fix: false, local: true, cut car: true, new generate: true, best obj: 579.36(3), mean: 662.40, max: 725.26
Date: 04-10 at 13:53:00, particle: 15, iter: 3, fix: false, local: true, cut car: true, new generate: true, best obj: 579.36(3), mean: 648.10, max: 718.35
Date: 04-10 at 13:53:01, particle: 15, iter: 4, fix: false, local: true, cut car: true, new generate: true, best obj: 579.36(3), mean: 646.26, max: 717.67
Date: 04-10 at 13:53:02, particle: 15, iter: 5, fix: false, local: true, cut car: true, new generate: true, best obj: 579.36(3), mean: 646.26, max: 717.67
Date: 04-10 at 13:53:03, particle: 15, iter: 6, fix: false, local: true, cut car: true, new generate: true, best obj: 579.36(3), mean: 682.46, max: 854.65
Date: 04-10 at 13:53:04, particle: 15, iter: 7, fix: false, local: true, cut car: true, new generate: true, best obj: 579.36(3), mean: 803.46, max: 1217.63
Date: 04-10 at 13:53:05, particle: 15, iter: 8, fix: false, local: true, cut car: true, new generate: true, best obj: 579.36(3), mean: 849.11, max: 1354.60
Date: 04-10 at 13:53:07, particle: 15, iter: 9, fix: false, local: true, cut car: true, new generate: true, best obj: 579.36(3), mean: 894.77, max: 1491.57
Date: 04-10 at 13:53:09, particle: 15, iter: 10, fix: false, local: true, cut car: true, new generate: true, best obj: 579.36(3), mean: 1015.76, max: 1854.56
Date: 04-10 at 13:53:12, particle: 15, iter: 11, fix: false, local: true, cut car: true, new generate: true, best obj: 579.36(3), mean: 1061.42, max: 1991.53
Date: 04-10 at 13:53:15, particle: 15, iter: 12, fix: false, local: true, cut car: true, new generate: true, best obj: 579.36(3), mean: 1182.42, max: 2354.51
