case,c1,c2,r1,r2,rc1,rc2
1,832.2156732570144,691.3767891062959,1219.3599290258164,948.1799152704865,1411.4878469689475,1106.2073110022218
2,839.2601433424675,697.4722328614026,1357.9527847832653,1069.6226086309239,1473.752597369187,1100.9355611517897
3,828.3777398910238,612.0121208899878,1462.200194453687,1081.3039424628453,1521.948599635861,1168.1619506594532
4,828.3777398910238,589.8982544949666,1562.6853461622673,1107.3766776469074,1494.6691033150994,1104.9636179955994
5,828.4630271547971,630.7231386634467,1222.8402867450147,923.8994410885487,1394.992998613493,1077.1411555547238
6,833.1915821776238,618.5570367577084,1458.7418066064647,1073.9579944248528,1524.4550637875307,1162.1734302948414
7,828.3777398910238,627.4677319397069,1461.5923100749023,1118.5997438009456,1489.3884449796994,1107.7633364214828
8,838.9973692155969,649.1212181597992,1233.8906790795966,941.3200953865091,1399.0170728032176,1101.348163972766
9,828.3777398910238,589.8982544949666,1557.9981760026612,1095.7922057001208,1476.0064515782963,1186.867594174205
10,831.6376879798577,605.9428528720595,1219.5091945925906,928.8555758091052,1440.0698826179712,1082.3629413639464
11,828.8278688497402,591.0164561743275,1210.7717947691922,1035.3130952090305,1466.8196910382446,1049.2579636045175
12,828.8278688497402,611.3472142962282,1453.7704714819638,1118.9979982344798,1487.0578070962165,1107.5544475980453
13,831.1454847973557,598.9914639782571,1198.9397551380875,972.1622473429728,1447.57731952438,1036.150025291748
14,828.3777398910238,591.2401413755013,1335.3442654974954,917.7644025822642,1389.5596026119167,1027.344952410151
15,828.3777398910238,590.2749358475653,1207.0240396699,898.0726429865165,1388.8124643220824,1026.763442706598
16,828.3777398910238,590.2749358475653,1213.3565077153983,900.3991605122959,1375.9258883902246,1026.5632345626843
