Date: 10-06 at 21:33:49, #particle: 15, iter: 1, fix: false, local: true, cut car: true, new generate: true, Khoo: 1.0e15, best obj: 2621755.00(34), mean: 8227229.87, max: 13184037.00
Date: 10-07 at 00:36:17, #particle: 15, iter: 2, fix: false, local: true, cut car: true, new generate: true, Khoo: 1.0e15, best obj: 2548114.00(34), mean: 7805337.73, max: 12815348.00
Date: 10-07 at 03:44:30, #particle: 15, iter: 3, fix: false, local: true, cut car: true, new generate: true, Khoo: 1.0e15, best obj: 2524056.00(34), mean: 7509277.93, max: 12415978.00
Date: 10-07 at 06:56:35, #particle: 15, iter: 4, fix: false, local: true, cut car: true, new generate: true, Khoo: 1.0e15, best obj: 2522348.00(34), mean: 7166559.80, max: 11775548.00
Date: 10-07 at 10:13:46, #particle: 15, iter: 5, fix: false, local: true, cut car: true, new generate: true, Khoo: 1.0e15, best obj: 2522348.00(34), mean: 6850531.07, max: 11222015.00
Date: 10-07 at 13:23:01, #particle: 15, iter: 6, fix: false, local: true, cut car: true, new generate: true, Khoo: 1.0e15, best obj: 2237616.00(42), mean: 6283095.67, max: 10464476.00
Date: 10-07 at 17:21:13, #particle: 15, iter: 7, fix: false, local: true, cut car: true, new generate: true, Khoo: 1.0e15, best obj: 2171270.00(42), mean: 6090779.27, max: 10141305.00
Date: 10-07 at 21:25:09, #particle: 15, iter: 8, fix: false, local: true, cut car: true, new generate: true, Khoo: 1.0e15, best obj: 2142744.00(42), mean: 5902924.67, max: 9887336.00
Date: 10-08 at 01:30:07, #particle: 15, iter: 9, fix: false, local: true, cut car: true, new generate: true, Khoo: 1.0e15, best obj: 2138535.00(42), mean: 5794883.07, max: 9834742.00
Date: 10-08 at 04:49:38, #particle: 15, iter: 10, fix: false, local: true, cut car: true, new generate: true, Khoo: 1.0e15, best obj: 2135279.00(42), mean: 5476466.80, max: 10092429.00
Date: 10-08 at 07:50:24, #particle: 15, iter: 11, fix: false, local: true, cut car: true, new generate: true, Khoo: 1.0e15, best obj: 2133981.00(42), mean: 5345566.07, max: 9733103.00
Date: 10-08 at 10:54:43, #particle: 15, iter: 12, fix: false, local: true, cut car: true, new generate: true, Khoo: 1.0e15, best obj: 2130376.00(42), mean: 5411544.40, max: 9434772.00
Date: 10-08 at 13:58:55, #particle: 15, iter: 13, fix: false, local: true, cut car: true, new generate: true, Khoo: 1.0e15, best obj: 2130376.00(42), mean: 5247391.00, max: 9013184.00
Date: 10-08 at 17:07:22, #particle: 15, iter: 14, fix: false, local: true, cut car: true, new generate: true, Khoo: 1.0e15, best obj: 2129784.00(42), mean: 5180913.47, max: 8878794.00
Date: 10-08 at 20:02:19, #particle: 15, iter: 15, fix: false, local: true, cut car: true, new generate: true, Khoo: 1.0e15, best obj: 2129670.00(42), mean: 4967073.00, max: 8415732.00
Date: 10-08 at 23:15:05, #particle: 15, iter: 16, fix: false, local: true, cut car: true, new generate: true, Khoo: 1.0e15, best obj: 2129670.00(42), mean: 4672058.00, max: 7914649.00
Date: 10-09 at 02:33:24, #particle: 15, iter: 17, fix: false, local: true, cut car: true, new generate: true, Khoo: 1.0e15, best obj: 2129670.00(42), mean: 4214188.73, max: 7505273.00
Date: 10-09 at 05:53:46, #particle: 15, iter: 18, fix: false, local: true, cut car: true, new generate: true, Khoo: 1.0e15, best obj: 2129670.00(42), mean: 3972686.33, max: 7583346.00
Date: 10-09 at 09:14:36, #particle: 15, iter: 19, fix: false, local: true, cut car: true, new generate: true, Khoo: 1.0e15, best obj: 2129670.00(42), mean: 3906101.93, max: 7303873.00
Date: 10-09 at 12:40:03, #particle: 15, iter: 21, fix: false, local: true, cut car: true, new generate: true, Khoo: 1.0e15, best obj: 2129670.00(42), mean: 3960442.20, max: 6751854.00
Date: 10-09 at 16:10:19, #particle: 15, iter: 22, fix: false, local: true, cut car: true, new generate: true, Khoo: 1.0e15, best obj: 1886442.00(54), mean: 3375346.27, max: 6751854.00
Date: 10-09 at 19:53:12, #particle: 15, iter: 23, fix: false, local: true, cut car: true, new generate: true, Khoo: 1.0e15, best obj: 1844787.00(54), mean: 3329330.60, max: 6623537.00
Date: 10-09 at 22:54:02, #particle: 15, iter: 24, fix: false, local: true, cut car: true, new generate: true, Khoo: 1.0e15, best obj: 1828650.00(54), mean: 3341800.60, max: 6493580.00
Date: 10-10 at 01:43:48, #particle: 15, iter: 25, fix: false, local: true, cut car: true, new generate: true, Khoo: 1.0e15, best obj: 1821054.00(54), mean: 3283061.00, max: 6212091.00
Date: 10-10 at 04:20:20, #particle: 15, iter: 26, fix: false, local: true, cut car: true, new generate: true, Khoo: 1.0e15, best obj: 1817715.00(54), mean: 3275250.00, max: 6028424.00
Date: 10-10 at 07:00:28, #particle: 15, iter: 27, fix: false, local: true, cut car: true, new generate: true, Khoo: 1.0e15, best obj: 1815469.00(54), mean: 3399288.93, max: 7454124.00
Date: 10-10 at 09:42:33, #particle: 15, iter: 28, fix: false, local: true, cut car: true, new generate: true, Khoo: 1.0e15, best obj: 1815440.00(54), mean: 3452198.87, max: 6656407.00
Date: 10-10 at 12:23:47, #particle: 15, iter: 29, fix: false, local: true, cut car: true, new generate: true, Khoo: 1.0e15, best obj: 1812083.00(54), mean: 3500871.27, max: 6500742.00
Date: 10-10 at 15:10:36, #particle: 15, iter: 30, fix: false, local: true, cut car: true, new generate: true, Khoo: 1.0e15, best obj: 1811762.00(54), mean: 3466707.73, max: 6434902.00
Date: 10-10 at 17:50:31, #particle: 15, iter: 31, fix: false, local: true, cut car: true, new generate: true, Khoo: 1.0e15, best obj: 1811762.00(54), mean: 3384376.93, max: 6096809.00
Date: 10-10 at 20:32:46, #particle: 15, iter: 32, fix: false, local: true, cut car: true, new generate: true, Khoo: 1.0e15, best obj: 1811762.00(54), mean: 3272119.13, max: 5873624.00
Date: 10-10 at 23:18:05, #particle: 15, iter: 33, fix: false, local: true, cut car: true, new generate: true, Khoo: 1.0e15, best obj: 1758156.00(57), mean: 3240292.80, max: 5840535.00
Date: 10-11 at 02:07:37, #particle: 15, iter: 34, fix: false, local: true, cut car: true, new generate: true, Khoo: 1.0e15, best obj: 1734977.00(57), mean: 3093702.47, max: 5385223.00
Date: 10-11 at 05:25:18, #particle: 15, iter: 35, fix: false, local: true, cut car: true, new generate: true, Khoo: 1.0e15, best obj: 1733957.00(57), mean: 2794917.27, max: 4806235.00
Date: 10-11 at 08:45:34, #particle: 15, iter: 36, fix: false, local: true, cut car: true, new generate: true, Khoo: 1.0e15, best obj: 1733864.00(57), mean: 2677971.13, max: 4554268.00
Date: 10-11 at 12:04:42, #particle: 15, iter: 37, fix: false, local: true, cut car: true, new generate: true, Khoo: 1.0e15, best obj: 1733830.00(57), mean: 2701874.00, max: 4461401.00
Date: 10-11 at 15:20:21, #particle: 15, iter: 38, fix: false, local: true, cut car: true, new generate: true, Khoo: 1.0e15, best obj: 1733661.00(57), mean: 2645968.73, max: 4323124.00
Date: 10-11 at 18:36:31, #particle: 15, iter: 39, fix: false, local: true, cut car: true, new generate: true, Khoo: 1.0e15, best obj: 1725293.00(59), mean: 2611053.20, max: 4261614.00
Date: 10-11 at 21:56:00, #particle: 15, iter: 40, fix: false, local: true, cut car: true, new generate: true, Khoo: 1.0e15, best obj: 1712896.00(59), mean: 2575389.27, max: 4135384.00
Date: 10-12 at 01:31:56, #particle: 15, iter: 41, fix: false, local: true, cut car: true, new generate: true, Khoo: 1.0e15, best obj: 1709178.00(59), mean: 2538301.93, max: 4152220.00
Date: 10-12 at 05:03:05, #particle: 15, iter: 42, fix: false, local: true, cut car: true, new generate: true, Khoo: 1.0e15, best obj: 1708724.00(59), mean: 2598518.07, max: 4227764.00
Date: 10-12 at 08:34:14, #particle: 15, iter: 43, fix: false, local: true, cut car: true, new generate: true, Khoo: 1.0e15, best obj: 1708622.00(59), mean: 2592437.60, max: 3957427.00
Date: 10-12 at 11:40:09, #particle: 15, iter: 44, fix: false, local: true, cut car: true, new generate: true, Khoo: 1.0e15, best obj: 1695608.00(61), mean: 2451746.00, max: 3891231.00
Date: 10-12 at 15:12:47, #particle: 15, iter: 45, fix: false, local: true, cut car: true, new generate: true, Khoo: 1.0e15, best obj: 1680551.00(61), mean: 2375276.20, max: 3834428.00
Date: 10-12 at 18:49:55, #particle: 15, iter: 46, fix: false, local: true, cut car: true, new generate: true, Khoo: 1.0e15, best obj: 1589418.00(70), mean: 2305409.00, max: 3726981.00
Date: 10-12 at 22:19:55, #particle: 15, iter: 47, fix: false, local: true, cut car: true, new generate: true, Khoo: 1.0e15, best obj: 1562958.00(70), mean: 2326131.93, max: 3893524.00
Date: 10-13 at 01:22:15, #particle: 15, iter: 48, fix: false, local: true, cut car: true, new generate: true, Khoo: 1.0e15, best obj: 1555061.00(70), mean: 2325308.27, max: 3782297.00
