Date: 11-26 at 04:25:01, #particle: 15, iter: 1, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94, best obj: 1292.66(13), mean: 3640.86, max: 4099.78
Date: 11-26 at 04:25:53, #particle: 15, iter: 2, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94, best obj: 1183.34(13), mean: 3534.49, max: 4008.01
Date: 11-26 at 04:26:44, #particle: 15, iter: 3, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94, best obj: 1167.82(13), mean: 3527.68, max: 3985.62
Date: 11-26 at 04:27:42, #particle: 15, iter: 4, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94, best obj: 1167.82(13), mean: 1320.82, max: 1484.91
Date: 11-26 at 04:28:32, #particle: 15, iter: 5, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94, best obj: 1167.82(13), mean: 1391.19, max: 1536.95
Date: 11-26 at 04:29:26, #particle: 15, iter: 6, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94, best obj: 1004.63(14), mean: 1256.09, max: 1507.57
Date: 11-26 at 04:30:16, #particle: 15, iter: 7, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94, best obj: 917.19(11), mean: 1215.53, max: 1534.51
Date: 11-26 at 04:31:11, #particle: 15, iter: 8, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94, best obj: 903.63(11), mean: 1124.30, max: 1434.09
Date: 11-26 at 04:32:02, #particle: 15, iter: 9, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94, best obj: 893.23(11), mean: 1037.60, max: 1272.38
Date: 11-26 at 04:32:57, #particle: 15, iter: 10, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94, best obj: 889.00(11), mean: 983.86, max: 1078.53
Date: 11-26 at 04:33:47, #particle: 15, iter: 11, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94, best obj: 886.69(11), mean: 961.89, max: 1064.50
Date: 11-26 at 04:34:36, #particle: 15, iter: 12, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94, best obj: 861.24(11), mean: 913.58, max: 1021.20
Date: 11-26 at 04:35:28, #particle: 15, iter: 13, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94, best obj: 861.24(11), mean: 913.45, max: 1021.20
Date: 11-26 at 04:36:19, #particle: 15, iter: 14, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94, best obj: 861.24(11), mean: 913.70, max: 1025.83
Date: 11-26 at 04:37:06, #particle: 15, iter: 15, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94, best obj: 828.94(10), mean: 900.76, max: 1004.17
Date: 11-26 at 04:37:56, #particle: 15, iter: 16, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94, best obj: 828.94(10), mean: 888.75, max: 930.88
Date: 11-26 at 04:38:47, #particle: 15, iter: 17, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94, best obj: 828.94(10), mean: 886.78, max: 923.76
Date: 11-26 at 04:39:34, #particle: 15, iter: 18, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94, best obj: 828.94(10), mean: 877.91, max: 921.57
Date: 11-26 at 04:40:23, #particle: 15, iter: 19, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94, best obj: 828.94(10), mean: 877.91, max: 921.57
Date: 11-26 at 04:41:14, #particle: 15, iter: 20, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94, best obj: 828.94(10), mean: 877.91, max: 921.57
Date: 11-26 at 04:42:03, #particle: 15, iter: 21, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94, best obj: 828.94(10), mean: 877.91, max: 921.57
Date: 11-26 at 04:42:51, #particle: 15, iter: 22, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94, best obj: 828.94(10), mean: 878.34, max: 919.31
Date: 11-26 at 04:43:42, #particle: 15, iter: 23, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94, best obj: 828.94(10), mean: 877.93, max: 919.31
Date: 11-26 at 04:44:34, #particle: 15, iter: 24, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94, best obj: 828.94(10), mean: 877.78, max: 919.31
Date: 11-26 at 04:45:19, #particle: 15, iter: 25, fix: false, local: false, cut car: false, new generate: false, Khoo: 828.94, best obj: 828.94(10), mean: 875.60, max: 889.00
