Date: 07-07 at 04:07:31, iter: 1, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1417.35(18) mean: 1772.13, max: 2851.56
Date: 07-07 at 04:08:56, iter: 2, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1371.81(18) mean: 1740.65, max: 2805.49
Date: 07-07 at 04:10:26, iter: 3, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1357.99(18) mean: 1764.01, max: 2780.76
Date: 07-07 at 04:11:49, iter: 4, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1344.45(18) mean: 1772.20, max: 2582.31
Date: 07-07 at 04:13:30, iter: 5, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1316.06(16) mean: 1412.01, max: 1499.57
Date: 07-07 at 04:14:53, iter: 6, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1295.31(16) mean: 1423.97, max: 1534.22
Date: 07-07 at 04:16:17, iter: 7, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1294.16(16) mean: 1467.20, max: 1599.16
Date: 07-07 at 04:17:46, iter: 8, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1289.16(16) mean: 1502.26, max: 1633.76
Date: 07-07 at 04:19:14, iter: 9, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1289.16(16) mean: 1445.67, max: 1613.36
Date: 07-07 at 04:20:44, iter: 10, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1289.16(16) mean: 1391.43, max: 1586.05
Date: 07-07 at 04:22:10, iter: 11, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1289.16(16) mean: 1437.86, max: 1644.51
Date: 07-07 at 04:23:34, iter: 12, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1289.16(16) mean: 1428.51, max: 1674.27
Date: 07-07 at 04:25:03, iter: 13, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1289.16(16) mean: 1436.29, max: 1713.64
Date: 07-07 at 04:26:37, iter: 14, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1289.16(16) mean: 1387.80, max: 1499.95
Date: 07-07 at 04:28:04, iter: 15, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1289.16(16) mean: 1366.41, max: 1477.23
Date: 07-07 at 04:29:26, iter: 16, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1289.16(16) mean: 1399.40, max: 1512.44
Date: 07-07 at 04:30:54, iter: 17, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1289.16(16) mean: 1396.02, max: 1542.53
Date: 07-07 at 04:32:20, iter: 18, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1289.16(16) mean: 1347.06, max: 1393.52
Date: 07-07 at 04:33:47, iter: 19, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1289.16(16) mean: 1341.79, max: 1439.32
Date: 07-07 at 04:35:01, iter: 20, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1289.16(16) mean: 1367.38, max: 1493.96
Date: 07-07 at 04:36:19, iter: 21, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1289.16(16) mean: 1393.60, max: 1539.02
Date: 07-07 at 04:37:46, iter: 22, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1289.16(16) mean: 1378.89, max: 1586.63
Date: 07-07 at 04:39:03, iter: 23, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1289.16(16) mean: 1364.25, max: 1424.88
Date: 07-07 at 04:40:28, iter: 24, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1288.13(16) mean: 1350.04, max: 1437.72
Date: 07-07 at 04:41:49, iter: 25, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1288.13(16) mean: 1361.25, max: 1433.60
Date: 07-07 at 04:43:10, iter: 26, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1284.22(16) mean: 1341.26, max: 1444.57
Date: 07-07 at 04:44:33, iter: 27, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1284.22(16) mean: 1364.09, max: 1483.48
Date: 07-07 at 04:45:55, iter: 28, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1284.22(16) mean: 1380.10, max: 1507.84
Date: 07-07 at 04:47:08, iter: 29, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1284.22(16) mean: 1430.26, max: 1583.18
Date: 07-07 at 04:48:39, iter: 30, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1284.22(16) mean: 1338.16, max: 1381.88
Date: 07-07 at 04:50:01, iter: 31, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1276.94(16) mean: 1334.59, max: 1430.74
Date: 07-07 at 04:51:16, iter: 32, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1276.94(16) mean: 1337.04, max: 1375.28
Date: 07-07 at 04:52:43, iter: 33, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1276.94(16) mean: 1320.97, max: 1362.96
Date: 07-07 at 04:54:06, iter: 34, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1276.94(16) mean: 1317.06, max: 1353.59
Date: 07-07 at 04:55:19, iter: 35, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1276.94(16) mean: 1341.61, max: 1396.24
Date: 07-07 at 04:56:40, iter: 36, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1276.94(16) mean: 1329.86, max: 1401.73
Date: 07-07 at 04:58:07, iter: 37, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1276.94(16) mean: 1337.49, max: 1447.42
Date: 07-07 at 04:59:22, iter: 38, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1276.94(16) mean: 1338.70, max: 1396.24
Date: 07-07 at 05:00:42, iter: 39, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1276.94(16) mean: 1325.26, max: 1409.83
Date: 07-07 at 05:02:03, iter: 40, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1276.94(16) mean: 1326.85, max: 1385.47
Date: 07-07 at 05:03:22, iter: 41, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1276.94(16) mean: 1329.10, max: 1398.81
Date: 07-07 at 05:04:42, iter: 42, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1276.94(16) mean: 1325.49, max: 1436.85
Date: 07-07 at 05:05:59, iter: 43, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1276.94(16) mean: 1355.10, max: 1437.03
Date: 07-07 at 05:07:21, iter: 44, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1276.94(16) mean: 1309.36, max: 1375.85
Date: 07-07 at 05:08:40, iter: 45, fix: false, local: false, cut car: false, new generate: false, Khoo: 1213.62 best obj: 1276.94(16) mean: 1303.45, max: 1335.81
