Date: 11-16 at 13:41:18, #particle: 15, iter: 1, fix: false, local: false, cut car: false, new generate: false, Khoo: 1054.61, best obj: 1444.36(11), mean: 3091.53, max: 4397.62
Date: 11-16 at 13:42:19, #particle: 15, iter: 2, fix: false, local: false, cut car: false, new generate: false, Khoo: 1054.61, best obj: 1404.63(10), mean: 2755.45, max: 3981.34
Date: 11-16 at 13:43:18, #particle: 15, iter: 3, fix: false, local: false, cut car: false, new generate: false, Khoo: 1054.61, best obj: 1389.02(10), mean: 2319.56, max: 3363.38
Date: 11-16 at 13:44:18, #particle: 15, iter: 4, fix: false, local: false, cut car: false, new generate: false, Khoo: 1054.61, best obj: 1356.76(9), mean: 1960.65, max: 2844.68
Date: 11-16 at 13:45:21, #particle: 15, iter: 5, fix: false, local: false, cut car: false, new generate: false, Khoo: 1054.61, best obj: 1355.00(9), mean: 1951.28, max: 2840.27
Date: 11-16 at 13:46:35, #particle: 15, iter: 6, fix: false, local: false, cut car: false, new generate: false, Khoo: 1054.61, best obj: 1294.95(8), mean: 1392.24, max: 1489.11
Date: 11-16 at 13:48:00, #particle: 15, iter: 7, fix: false, local: false, cut car: false, new generate: false, Khoo: 1054.61, best obj: 1291.05(8), mean: 1401.09, max: 1500.78
Date: 11-16 at 13:49:23, #particle: 15, iter: 8, fix: false, local: false, cut car: false, new generate: false, Khoo: 1054.61, best obj: 1281.95(8), mean: 1455.95, max: 1585.14
Date: 11-16 at 13:50:29, #particle: 15, iter: 9, fix: false, local: false, cut car: false, new generate: false, Khoo: 1054.61, best obj: 1230.53(8), mean: 1438.70, max: 1650.55
Date: 11-16 at 13:51:45, #particle: 15, iter: 10, fix: false, local: false, cut car: false, new generate: false, Khoo: 1054.61, best obj: 1216.97(8), mean: 1477.37, max: 1729.80
Date: 11-16 at 13:53:00, #particle: 15, iter: 11, fix: false, local: false, cut car: false, new generate: false, Khoo: 1054.61, best obj: 1216.97(8), mean: 1537.86, max: 1767.18
Date: 11-16 at 13:54:22, #particle: 15, iter: 12, fix: false, local: false, cut car: false, new generate: false, Khoo: 1054.61, best obj: 1216.97(8), mean: 1312.52, max: 1451.96
Date: 11-16 at 13:55:35, #particle: 15, iter: 13, fix: false, local: false, cut car: false, new generate: false, Khoo: 1054.61, best obj: 1216.97(8), mean: 1335.73, max: 1518.06
Date: 11-16 at 13:56:55, #particle: 15, iter: 14, fix: false, local: false, cut car: false, new generate: false, Khoo: 1054.61, best obj: 1216.97(8), mean: 1298.03, max: 1374.35
Date: 11-16 at 13:58:14, #particle: 15, iter: 15, fix: false, local: false, cut car: false, new generate: false, Khoo: 1054.61, best obj: 1216.97(8), mean: 1272.24, max: 1326.75
Date: 11-16 at 13:59:32, #particle: 15, iter: 16, fix: false, local: false, cut car: false, new generate: false, Khoo: 1054.61, best obj: 1216.97(8), mean: 1279.22, max: 1398.18
Date: 11-16 at 14:00:45, #particle: 15, iter: 17, fix: false, local: false, cut car: false, new generate: false, Khoo: 1054.61, best obj: 1216.97(8), mean: 1269.70, max: 1343.62
Date: 11-16 at 14:01:58, #particle: 15, iter: 18, fix: false, local: false, cut car: false, new generate: false, Khoo: 1054.61, best obj: 1216.97(8), mean: 1267.51, max: 1330.26
Date: 11-16 at 14:03:06, #particle: 15, iter: 19, fix: false, local: false, cut car: false, new generate: false, Khoo: 1054.61, best obj: 1216.97(8), mean: 1293.36, max: 1358.31
Date: 11-16 at 14:04:24, #particle: 15, iter: 20, fix: false, local: false, cut car: false, new generate: false, Khoo: 1054.61, best obj: 1216.97(8), mean: 1270.60, max: 1333.15
