Date: 07-12 at 02:31:31, iter: 1, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.94 best obj: 1639.34(13) mean: 3526.15, max: 3929.17
Date: 07-12 at 02:32:35, iter: 2, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.94 best obj: 1268.54(13) mean: 3428.96, max: 3895.68
Date: 07-12 at 02:33:39, iter: 3, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.94 best obj: 1181.76(12) mean: 3198.95, max: 3838.83
Date: 07-12 at 02:34:47, iter: 4, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.94 best obj: 1181.26(12) mean: 3161.43, max: 3721.63
Date: 07-12 at 02:35:54, iter: 5, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.94 best obj: 1174.10(12) mean: 2796.21, max: 3503.42
Date: 07-12 at 02:37:01, iter: 6, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.94 best obj: 1164.66(12) mean: 2602.46, max: 3410.55
Date: 07-12 at 02:38:04, iter: 7, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.94 best obj: 1164.66(11) mean: 1371.95, max: 1539.99
Date: 07-12 at 02:39:08, iter: 8, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.94 best obj: 1047.43(13) mean: 1223.02, max: 1510.98
Date: 07-12 at 02:40:14, iter: 9, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.94 best obj: 967.34(12) mean: 1228.31, max: 1555.24
Date: 07-12 at 02:41:14, iter: 10, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.94 best obj: 957.88(12) mean: 1178.91, max: 1428.32
Date: 07-12 at 02:42:15, iter: 11, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.94 best obj: 957.73(12) mean: 1118.31, max: 1285.15
Date: 07-12 at 02:43:19, iter: 12, fix: false, local: true, cut car: false, new generate: true, Khoo: 828.94 best obj: 957.73(12) mean: 1046.13, max: 1181.87
