Date: 01-03 at 18:58:21, #particle: 15, iter: 1, fix: false, local: true, cut car: false, new generate: true, Khoo: 588.88, best obj: 1270.84(4), mean: 3112.68, max: 3832.82
Date: 01-03 at 18:59:16, #particle: 15, iter: 2, fix: false, local: true, cut car: false, new generate: true, Khoo: 588.88, best obj: 877.36(4), mean: 2141.33, max: 2939.00
Date: 01-03 at 19:00:08, #particle: 15, iter: 3, fix: false, local: true, cut car: false, new generate: true, Khoo: 588.88, best obj: 803.11(4), mean: 1111.59, max: 1905.46
Date: 01-03 at 19:01:02, #particle: 15, iter: 4, fix: false, local: true, cut car: false, new generate: true, Khoo: 588.88, best obj: 743.42(4), mean: 1134.13, max: 1865.20
Date: 01-03 at 19:01:53, #particle: 15, iter: 5, fix: false, local: true, cut car: false, new generate: true, Khoo: 588.88, best obj: 722.02(4), mean: 894.32, max: 1048.69
Date: 01-03 at 19:02:45, #particle: 15, iter: 6, fix: false, local: true, cut car: false, new generate: true, Khoo: 588.88, best obj: 722.02(4), mean: 819.74, max: 944.40
Date: 01-03 at 19:03:35, #particle: 15, iter: 7, fix: false, local: true, cut car: false, new generate: true, Khoo: 588.88, best obj: 722.02(4), mean: 780.39, max: 862.26
Date: 01-03 at 19:04:31, #particle: 15, iter: 8, fix: false, local: true, cut car: false, new generate: true, Khoo: 588.88, best obj: 720.99(5), mean: 749.48, max: 787.83
Date: 01-03 at 19:05:28, #particle: 15, iter: 9, fix: false, local: true, cut car: false, new generate: true, Khoo: 588.88, best obj: 720.99(5), mean: 745.43, max: 766.20
Date: 01-03 at 19:06:25, #particle: 15, iter: 10, fix: false, local: true, cut car: false, new generate: true, Khoo: 588.88, best obj: 719.50(6), mean: 743.04, max: 764.69
Date: 01-03 at 19:07:16, #particle: 15, iter: 11, fix: false, local: true, cut car: false, new generate: true, Khoo: 588.88, best obj: 709.05(5), mean: 763.69, max: 793.02
Date: 01-03 at 19:08:08, #particle: 15, iter: 12, fix: false, local: true, cut car: false, new generate: true, Khoo: 588.88, best obj: 709.05(5), mean: 793.18, max: 843.54
Date: 01-03 at 19:08:59, #particle: 15, iter: 13, fix: false, local: true, cut car: false, new generate: true, Khoo: 588.88, best obj: 694.14(5), mean: 747.50, max: 799.86
Date: 01-03 at 19:09:54, #particle: 15, iter: 14, fix: false, local: true, cut car: false, new generate: true, Khoo: 588.88, best obj: 689.42(5), mean: 769.28, max: 822.20
Date: 01-03 at 19:10:43, #particle: 15, iter: 15, fix: false, local: true, cut car: false, new generate: true, Khoo: 588.88, best obj: 689.42(5), mean: 725.11, max: 786.94
Date: 01-03 at 19:11:40, #particle: 15, iter: 16, fix: false, local: true, cut car: false, new generate: true, Khoo: 588.88, best obj: 640.58(4), mean: 684.92, max: 689.42
Date: 01-03 at 19:12:31, #particle: 15, iter: 17, fix: false, local: true, cut car: false, new generate: true, Khoo: 588.88, best obj: 640.58(4), mean: 666.18, max: 670.77
Date: 01-03 at 19:13:21, #particle: 15, iter: 18, fix: false, local: true, cut car: false, new generate: true, Khoo: 588.88, best obj: 640.58(4), mean: 640.58, max: 640.58
Date: 01-03 at 19:14:12, #particle: 15, iter: 19, fix: false, local: true, cut car: false, new generate: true, Khoo: 588.88, best obj: 640.58(4), mean: 640.58, max: 640.58
Date: 01-03 at 19:15:02, #particle: 15, iter: 20, fix: false, local: true, cut car: false, new generate: true, Khoo: 588.88, best obj: 640.58(4), mean: 640.58, max: 640.58
Date: 01-03 at 19:15:56, #particle: 15, iter: 22, fix: false, local: true, cut car: false, new generate: true, Khoo: 588.88, best obj: 640.58(4), mean: 2851.33, max: 3314.72
Date: 01-03 at 19:16:48, #particle: 15, iter: 23, fix: false, local: true, cut car: false, new generate: true, Khoo: 588.88, best obj: 640.58(4), mean: 1023.22, max: 2512.21
Date: 01-03 at 19:17:41, #particle: 15, iter: 24, fix: false, local: true, cut car: false, new generate: true, Khoo: 588.88, best obj: 640.58(4), mean: 847.28, max: 985.90
Date: 01-03 at 19:18:34, #particle: 15, iter: 25, fix: false, local: true, cut car: false, new generate: true, Khoo: 588.88, best obj: 640.58(4), mean: 813.25, max: 996.74
Date: 01-03 at 19:19:26, #particle: 15, iter: 27, fix: false, local: true, cut car: false, new generate: true, Khoo: 588.88, best obj: 640.58(4), mean: 2585.30, max: 3213.83
Date: 01-03 at 19:20:21, #particle: 15, iter: 28, fix: false, local: true, cut car: false, new generate: true, Khoo: 588.88, best obj: 640.58(4), mean: 1270.25, max: 2592.97
