Date: 07-20 at 20:44:51, #particle: 35, iter: 1, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1790.46(21), mean: 2462.07, max: 2816.93
Date: 07-20 at 20:47:40, #particle: 35, iter: 2, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1774.13(21), mean: 2352.80, max: 2800.16
Date: 07-20 at 20:50:31, #particle: 35, iter: 3, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1720.32(22), mean: 2268.14, max: 2800.98
Date: 07-20 at 20:53:20, #particle: 35, iter: 4, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1719.32(22), mean: 2258.70, max: 2759.78
Date: 07-20 at 20:56:10, #particle: 35, iter: 5, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1716.25(21), mean: 2260.43, max: 2771.28
Date: 07-20 at 20:59:01, #particle: 35, iter: 6, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1712.77(21), mean: 2138.20, max: 2729.34
Date: 07-20 at 21:01:53, #particle: 35, iter: 7, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1710.38(22), mean: 2117.90, max: 2775.46
Date: 07-20 at 21:04:43, #particle: 35, iter: 8, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1707.68(22), mean: 2024.20, max: 2710.43
Date: 07-20 at 21:07:38, #particle: 35, iter: 9, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1707.68(22), mean: 1942.87, max: 2723.97
Date: 07-20 at 21:10:26, #particle: 35, iter: 10, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1696.31(21), mean: 1851.52, max: 2666.54
Date: 07-20 at 21:13:14, #particle: 35, iter: 11, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1679.38(21), mean: 1837.98, max: 2694.72
Date: 07-20 at 21:16:01, #particle: 35, iter: 12, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1679.38(21), mean: 1898.32, max: 2723.16
Date: 07-20 at 21:18:48, #particle: 35, iter: 13, fix: false, local: true, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1679.38(21), mean: 1896.69, max: 2026.68
