Date: 01-22 at 17:27:15, #particle: 15, iter: 1, fix: false, local: true, cut car: false, new generate: true, Khoo: 1072.41, best obj: 1307.28(16), mean: 2307.59, max: 2842.56
Date: 01-22 at 17:28:15, #particle: 15, iter: 2, fix: false, local: true, cut car: false, new generate: true, Khoo: 1072.41, best obj: 1238.90(15), mean: 2201.55, max: 2780.97
Date: 01-22 at 17:29:14, #particle: 15, iter: 3, fix: false, local: true, cut car: false, new generate: true, Khoo: 1072.41, best obj: 1197.20(14), mean: 2186.50, max: 2790.62
Date: 01-22 at 17:30:16, #particle: 15, iter: 4, fix: false, local: true, cut car: false, new generate: true, Khoo: 1072.41, best obj: 1145.95(13), mean: 1912.51, max: 2647.60
Date: 01-22 at 17:31:17, #particle: 15, iter: 5, fix: false, local: true, cut car: false, new generate: true, Khoo: 1072.41, best obj: 1145.95(13), mean: 1731.18, max: 2606.52
Date: 01-22 at 17:32:19, #particle: 15, iter: 6, fix: false, local: true, cut car: false, new generate: true, Khoo: 1072.41, best obj: 1145.95(13), mean: 1318.96, max: 1456.33
Date: 01-22 at 17:33:19, #particle: 15, iter: 7, fix: false, local: true, cut car: false, new generate: true, Khoo: 1072.41, best obj: 1145.95(13), mean: 1338.01, max: 1466.18
Date: 01-22 at 17:34:17, #particle: 15, iter: 8, fix: false, local: true, cut car: false, new generate: true, Khoo: 1072.41, best obj: 1145.95(13), mean: 1354.47, max: 1510.73
Date: 01-22 at 17:35:18, #particle: 15, iter: 10, fix: false, local: true, cut car: false, new generate: true, Khoo: 1072.41, best obj: 1145.95(13), mean: 2138.30, max: 2641.67
Date: 01-22 at 17:36:19, #particle: 15, iter: 11, fix: false, local: true, cut car: false, new generate: true, Khoo: 1072.41, best obj: 1145.95(13), mean: 1336.41, max: 1512.26
Date: 01-22 at 17:37:17, #particle: 15, iter: 12, fix: false, local: true, cut car: false, new generate: true, Khoo: 1072.41, best obj: 1145.95(13), mean: 1358.54, max: 1563.34
Date: 01-22 at 17:38:14, #particle: 15, iter: 13, fix: false, local: true, cut car: false, new generate: true, Khoo: 1072.41, best obj: 1145.95(13), mean: 1391.68, max: 1595.23
Date: 01-22 at 17:39:14, #particle: 15, iter: 15, fix: false, local: true, cut car: false, new generate: true, Khoo: 1072.41, best obj: 1145.95(13), mean: 2179.81, max: 2670.10
Date: 01-22 at 17:40:12, #particle: 15, iter: 16, fix: false, local: true, cut car: false, new generate: true, Khoo: 1072.41, best obj: 1145.95(13), mean: 1362.38, max: 1478.21
