Date: 07-07 at 15:57:18, iter: 1, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1395.60(10) mean: 2847.91, max: 3381.39
Date: 07-07 at 15:58:54, iter: 2, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1301.71(10) mean: 2836.50, max: 3346.13
Date: 07-07 at 16:00:29, iter: 3, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1291.87(10) mean: 2545.46, max: 3334.56
Date: 07-07 at 16:02:00, iter: 4, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1266.66(10) mean: 2371.24, max: 3083.85
Date: 07-07 at 16:03:36, iter: 5, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1255.27(10) mean: 1649.36, max: 2426.79
Date: 07-07 at 16:05:10, iter: 6, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1218.69(10) mean: 1349.66, max: 1619.05
Date: 07-07 at 16:06:48, iter: 7, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1155.29(9) mean: 1353.24, max: 1526.58
Date: 07-07 at 16:08:16, iter: 8, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1148.53(9) mean: 1246.72, max: 1365.46
Date: 07-07 at 16:09:52, iter: 9, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1148.53(9) mean: 1270.34, max: 1386.71
Date: 07-07 at 16:11:24, iter: 10, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1145.04(9) mean: 1240.42, max: 1310.73
Date: 07-07 at 16:13:00, iter: 11, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1145.04(9) mean: 1255.00, max: 1313.87
Date: 07-07 at 16:14:35, iter: 12, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1145.04(9) mean: 1230.39, max: 1348.21
Date: 07-07 at 16:16:09, iter: 13, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1145.04(9) mean: 1271.71, max: 1417.72
Date: 07-07 at 16:17:46, iter: 14, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1145.04(9) mean: 1202.97, max: 1310.01
Date: 07-07 at 16:19:29, iter: 15, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1145.04(9) mean: 1185.11, max: 1226.53
Date: 07-07 at 16:21:14, iter: 16, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1144.94(10) mean: 1184.24, max: 1245.64
Date: 07-07 at 16:22:47, iter: 17, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1144.94(10) mean: 1223.31, max: 1314.91
Date: 07-07 at 16:24:25, iter: 18, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1144.94(10) mean: 1183.80, max: 1277.59
Date: 07-07 at 16:25:58, iter: 19, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1144.94(10) mean: 1192.79, max: 1264.50
Date: 07-07 at 16:27:24, iter: 20, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1144.94(10) mean: 1172.41, max: 1228.88
Date: 07-07 at 16:29:02, iter: 21, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1144.94(10) mean: 1178.39, max: 1276.21
Date: 07-07 at 16:30:48, iter: 22, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1144.94(10) mean: 1170.64, max: 1291.73
Date: 07-07 at 16:32:19, iter: 23, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1144.94(10) mean: 1178.96, max: 1265.20
Date: 07-07 at 16:33:58, iter: 24, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1144.94(10) mean: 1163.08, max: 1216.58
Date: 07-07 at 16:35:39, iter: 25, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1142.12(10) mean: 1159.72, max: 1216.58
Date: 07-07 at 16:37:05, iter: 26, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1142.12(10) mean: 1156.58, max: 1216.58
Date: 07-07 at 16:38:32, iter: 27, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1142.12(10) mean: 1193.43, max: 1257.62
Date: 07-07 at 16:40:01, iter: 28, fix: false, local: true, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1142.12(10) mean: 1179.66, max: 1258.51
