Date: 01-04 at 06:50:26, #particle: 15, iter: 1, fix: false, local: true, cut car: false, new generate: true, Khoo: 1461.23, best obj: 1796.16(18), mean: 2968.72, max: 3518.42
Date: 01-04 at 06:51:32, #particle: 15, iter: 2, fix: false, local: true, cut car: false, new generate: true, Khoo: 1461.23, best obj: 1749.97(18), mean: 2830.28, max: 3356.43
Date: 01-04 at 06:52:38, #particle: 15, iter: 3, fix: false, local: true, cut car: false, new generate: true, Khoo: 1461.23, best obj: 1718.56(17), mean: 2391.37, max: 3327.79
Date: 01-04 at 06:53:46, #particle: 15, iter: 4, fix: false, local: true, cut car: false, new generate: true, Khoo: 1461.23, best obj: 1650.37(16), mean: 2315.51, max: 3345.16
Date: 01-04 at 06:54:50, #particle: 15, iter: 5, fix: false, local: true, cut car: false, new generate: true, Khoo: 1461.23, best obj: 1642.20(16), mean: 1999.70, max: 2915.16
Date: 01-04 at 06:55:58, #particle: 15, iter: 6, fix: false, local: true, cut car: false, new generate: true, Khoo: 1461.23, best obj: 1617.18(16), mean: 1914.30, max: 2939.14
Date: 01-04 at 06:57:03, #particle: 15, iter: 7, fix: false, local: true, cut car: false, new generate: true, Khoo: 1461.23, best obj: 1613.03(15), mean: 1911.25, max: 2942.76
Date: 01-04 at 06:58:03, #particle: 15, iter: 8, fix: false, local: true, cut car: false, new generate: true, Khoo: 1461.23, best obj: 1610.97(17), mean: 1904.06, max: 2943.52
Date: 01-04 at 06:59:08, #particle: 15, iter: 9, fix: false, local: true, cut car: false, new generate: true, Khoo: 1461.23, best obj: 1608.95(16), mean: 1918.20, max: 2973.10
Date: 01-04 at 07:00:12, #particle: 15, iter: 10, fix: false, local: true, cut car: false, new generate: true, Khoo: 1461.23, best obj: 1608.78(16), mean: 1733.16, max: 1873.94
Date: 01-04 at 07:01:15, #particle: 15, iter: 11, fix: false, local: true, cut car: false, new generate: true, Khoo: 1461.23, best obj: 1608.78(16), mean: 1769.87, max: 1910.47
Date: 01-04 at 07:02:17, #particle: 15, iter: 12, fix: false, local: true, cut car: false, new generate: true, Khoo: 1461.23, best obj: 1608.78(16), mean: 1825.29, max: 1964.92
Date: 01-04 at 07:03:22, #particle: 15, iter: 13, fix: false, local: true, cut car: false, new generate: true, Khoo: 1461.23, best obj: 1598.27(17), mean: 1859.59, max: 2052.18
Date: 01-04 at 07:04:25, #particle: 15, iter: 14, fix: false, local: true, cut car: false, new generate: true, Khoo: 1461.23, best obj: 1597.82(16), mean: 1734.25, max: 2074.42
Date: 01-04 at 07:05:29, #particle: 15, iter: 15, fix: false, local: true, cut car: false, new generate: true, Khoo: 1461.23, best obj: 1597.82(16), mean: 1786.98, max: 2143.58
Date: 01-04 at 07:06:33, #particle: 15, iter: 16, fix: false, local: true, cut car: false, new generate: true, Khoo: 1461.23, best obj: 1597.82(16), mean: 1688.43, max: 1769.11
Date: 01-04 at 07:07:34, #particle: 15, iter: 17, fix: false, local: true, cut car: false, new generate: true, Khoo: 1461.23, best obj: 1597.82(16), mean: 1734.44, max: 1838.06
Date: 01-04 at 07:08:37, #particle: 15, iter: 18, fix: false, local: true, cut car: false, new generate: true, Khoo: 1461.23, best obj: 1597.82(16), mean: 1669.26, max: 1758.09
Date: 01-04 at 07:09:37, #particle: 15, iter: 20, fix: false, local: true, cut car: false, new generate: true, Khoo: 1461.23, best obj: 1597.82(16), mean: 2799.12, max: 3286.89
Date: 01-04 at 07:10:42, #particle: 15, iter: 21, fix: false, local: true, cut car: false, new generate: true, Khoo: 1461.23, best obj: 1597.82(16), mean: 1788.98, max: 1966.10
Date: 01-04 at 07:11:44, #particle: 15, iter: 22, fix: false, local: true, cut car: false, new generate: true, Khoo: 1461.23, best obj: 1597.82(16), mean: 1841.11, max: 2006.38
Date: 01-04 at 07:12:47, #particle: 15, iter: 23, fix: false, local: true, cut car: false, new generate: true, Khoo: 1461.23, best obj: 1597.82(16), mean: 1728.28, max: 1880.69
Date: 01-04 at 07:13:53, #particle: 15, iter: 25, fix: false, local: true, cut car: false, new generate: true, Khoo: 1461.23, best obj: 1597.82(16), mean: 2702.72, max: 3092.15
Date: 01-04 at 07:14:58, #particle: 15, iter: 26, fix: false, local: true, cut car: false, new generate: true, Khoo: 1461.23, best obj: 1597.82(16), mean: 1827.83, max: 1952.68
