Date: 07-20 at 15:15:27, #particle: 10, iter: 1, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1843.08(22), mean: 2524.57, max: 2773.73
Date: 07-20 at 15:16:11, #particle: 10, iter: 2, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1766.17(22), mean: 2382.60, max: 2804.66
Date: 07-20 at 15:16:57, #particle: 10, iter: 3, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1726.67(22), mean: 2130.81, max: 2669.64
Date: 07-20 at 15:17:38, #particle: 10, iter: 4, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1718.78(22), mean: 2158.24, max: 2694.14
Date: 07-20 at 15:18:23, #particle: 10, iter: 5, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1718.78(22), mean: 1978.41, max: 2528.28
Date: 07-20 at 15:19:04, #particle: 10, iter: 6, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1718.78(22), mean: 2002.27, max: 2529.44
Date: 07-20 at 15:19:50, #particle: 10, iter: 7, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1718.78(22), mean: 1892.41, max: 2446.78
Date: 07-20 at 15:20:35, #particle: 10, iter: 8, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1718.78(22), mean: 1896.01, max: 2457.69
Date: 07-20 at 15:21:15, #particle: 10, iter: 10, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1718.78(22), mean: 2025.00, max: 2533.88
Date: 07-20 at 15:22:02, #particle: 10, iter: 11, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1715.48(23), mean: 1810.83, max: 2067.89
Date: 07-20 at 15:22:46, #particle: 10, iter: 12, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1714.35(23), mean: 1830.31, max: 2091.41
Date: 07-20 at 15:23:31, #particle: 10, iter: 13, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1714.35(23), mean: 1834.47, max: 2118.91
Date: 07-20 at 15:24:10, #particle: 10, iter: 14, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1714.35(23), mean: 1865.97, max: 2173.82
Date: 07-20 at 15:24:57, #particle: 10, iter: 15, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1714.35(23), mean: 1778.52, max: 1844.71
Date: 07-20 at 15:25:44, #particle: 10, iter: 16, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1714.35(23), mean: 1764.18, max: 1848.50
Date: 07-20 at 15:26:29, #particle: 10, iter: 18, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1714.35(23), mean: 1803.22, max: 1908.82
Date: 07-20 at 15:27:07, #particle: 10, iter: 19, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1714.35(23), mean: 1820.25, max: 1906.32
Date: 07-20 at 15:27:50, #particle: 10, iter: 20, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1714.35(23), mean: 1799.79, max: 1905.87
Date: 07-20 at 15:28:32, #particle: 10, iter: 21, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1714.35(23), mean: 1836.89, max: 1928.42
Date: 07-20 at 15:29:16, #particle: 10, iter: 23, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1714.35(23), mean: 1882.75, max: 1982.44
Date: 07-20 at 15:30:03, #particle: 10, iter: 24, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1714.35(23), mean: 1797.80, max: 1948.30
Date: 07-20 at 15:30:43, #particle: 10, iter: 25, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1714.35(23), mean: 1804.79, max: 1944.22
Date: 07-20 at 15:31:30, #particle: 10, iter: 26, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1714.35(23), mean: 1764.01, max: 1840.70
Date: 07-20 at 15:32:12, #particle: 10, iter: 28, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1714.35(23), mean: 1825.00, max: 1873.61
Date: 07-20 at 15:33:00, #particle: 10, iter: 29, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1714.35(23), mean: 1738.65, max: 1762.59
Date: 07-20 at 15:33:43, #particle: 10, iter: 30, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1711.53(23), mean: 1738.89, max: 1789.25
Date: 07-20 at 15:34:27, #particle: 10, iter: 31, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1711.53(23), mean: 1737.94, max: 1776.45
Date: 07-20 at 15:35:08, #particle: 10, iter: 32, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1711.53(23), mean: 1778.00, max: 1829.88
Date: 07-20 at 15:35:56, #particle: 10, iter: 33, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1711.53(23), mean: 1763.09, max: 1856.69
Date: 07-20 at 15:36:39, #particle: 10, iter: 34, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1711.53(23), mean: 1747.24, max: 1777.29
Date: 07-20 at 15:37:24, #particle: 10, iter: 36, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1707.89(23), mean: 1779.96, max: 1944.71
Date: 07-20 at 15:38:12, #particle: 10, iter: 37, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1707.89(23), mean: 1718.75, max: 1748.55
Date: 07-20 at 15:38:53, #particle: 10, iter: 38, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1707.89(23), mean: 1747.05, max: 1779.18
Date: 07-20 at 15:39:41, #particle: 10, iter: 39, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1694.74(22), mean: 1727.60, max: 1806.50
Date: 07-20 at 15:40:20, #particle: 10, iter: 40, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1694.74(22), mean: 1763.77, max: 1859.90
Date: 07-20 at 15:41:03, #particle: 10, iter: 41, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1694.74(22), mean: 1746.36, max: 1840.97
Date: 07-20 at 15:41:49, #particle: 10, iter: 42, fix: false, local: false, cut car: true, new generate: true, Khoo: 1613.59, best obj: 1694.74(22), mean: 1740.40, max: 1870.34
