Date: 01-25 at 09:38:07, #particle: 15, iter: 1, fix: false, local: false, cut car: true, new generate: true, Khoo: 1360.78, best obj: 1579.91(18), mean: 2358.49, max: 2775.92
Date: 01-25 at 09:39:06, #particle: 15, iter: 2, fix: false, local: false, cut car: true, new generate: true, Khoo: 1360.78, best obj: 1524.30(18), mean: 2310.63, max: 2773.35
Date: 01-25 at 09:39:58, #particle: 15, iter: 3, fix: false, local: false, cut car: true, new generate: true, Khoo: 1360.78, best obj: 1515.72(18), mean: 2318.04, max: 2778.25
Date: 01-25 at 09:40:52, #particle: 15, iter: 4, fix: false, local: false, cut car: true, new generate: true, Khoo: 1360.78, best obj: 1515.72(18), mean: 2331.81, max: 2764.07
Date: 01-25 at 09:41:49, #particle: 15, iter: 5, fix: false, local: false, cut car: true, new generate: true, Khoo: 1360.78, best obj: 1515.72(18), mean: 2171.55, max: 2653.43
Date: 01-25 at 09:42:48, #particle: 15, iter: 6, fix: false, local: false, cut car: true, new generate: true, Khoo: 1360.78, best obj: 1515.72(18), mean: 2138.09, max: 2618.93
Date: 01-25 at 09:43:54, #particle: 15, iter: 7, fix: false, local: false, cut car: true, new generate: true, Khoo: 1360.78, best obj: 1499.54(18), mean: 1595.86, max: 1696.16
Date: 01-25 at 09:44:48, #particle: 15, iter: 8, fix: false, local: false, cut car: true, new generate: true, Khoo: 1360.78, best obj: 1499.39(18), mean: 1629.96, max: 1731.73
Date: 01-25 at 09:45:42, #particle: 15, iter: 9, fix: false, local: false, cut car: true, new generate: true, Khoo: 1360.78, best obj: 1499.39(18), mean: 1657.24, max: 1801.18
Date: 01-25 at 09:46:42, #particle: 15, iter: 10, fix: false, local: false, cut car: true, new generate: true, Khoo: 1360.78, best obj: 1499.39(18), mean: 1571.12, max: 1651.70
Date: 01-25 at 09:47:39, #particle: 15, iter: 11, fix: false, local: false, cut car: true, new generate: true, Khoo: 1360.78, best obj: 1499.39(18), mean: 1626.17, max: 1711.74
Date: 01-25 at 09:48:40, #particle: 15, iter: 12, fix: false, local: false, cut car: true, new generate: true, Khoo: 1360.78, best obj: 1499.39(18), mean: 1570.33, max: 1713.14
Date: 01-25 at 09:49:35, #particle: 15, iter: 15, fix: false, local: false, cut car: true, new generate: true, Khoo: 1360.78, best obj: 1499.39(18), mean: 2332.38, max: 2739.13
Date: 01-25 at 09:50:32, #particle: 15, iter: 16, fix: false, local: false, cut car: true, new generate: true, Khoo: 1360.78, best obj: 1499.39(18), mean: 2250.64, max: 2727.50
Date: 01-25 at 09:51:23, #particle: 15, iter: 17, fix: false, local: false, cut car: true, new generate: true, Khoo: 1360.78, best obj: 1499.39(18), mean: 2176.22, max: 2709.61
Date: 01-25 at 09:52:20, #particle: 15, iter: 18, fix: false, local: false, cut car: true, new generate: true, Khoo: 1360.78, best obj: 1488.85(19), mean: 1945.98, max: 2487.54
Date: 01-25 at 09:53:16, #particle: 15, iter: 19, fix: false, local: false, cut car: true, new generate: true, Khoo: 1360.78, best obj: 1473.47(19), mean: 1919.69, max: 2447.51
Date: 01-25 at 09:54:09, #particle: 15, iter: 20, fix: false, local: false, cut car: true, new generate: true, Khoo: 1360.78, best obj: 1473.47(19), mean: 1927.51, max: 2469.53
Date: 01-25 at 09:55:03, #particle: 15, iter: 21, fix: false, local: false, cut car: true, new generate: true, Khoo: 1360.78, best obj: 1473.47(19), mean: 1938.55, max: 2492.31
Date: 01-25 at 09:56:00, #particle: 15, iter: 22, fix: false, local: false, cut car: true, new generate: true, Khoo: 1360.78, best obj: 1473.47(19), mean: 1987.07, max: 2540.72
Date: 01-25 at 09:57:00, #particle: 15, iter: 23, fix: false, local: false, cut car: true, new generate: true, Khoo: 1360.78, best obj: 1473.47(19), mean: 1897.92, max: 2413.31
Date: 01-25 at 09:57:59, #particle: 15, iter: 26, fix: false, local: false, cut car: true, new generate: true, Khoo: 1360.78, best obj: 1473.47(19), mean: 2411.97, max: 2701.17
Date: 01-25 at 09:58:57, #particle: 15, iter: 27, fix: false, local: false, cut car: true, new generate: true, Khoo: 1360.78, best obj: 1473.47(19), mean: 2347.23, max: 2700.35
Date: 01-25 at 09:59:55, #particle: 15, iter: 28, fix: false, local: false, cut car: true, new generate: true, Khoo: 1360.78, best obj: 1473.47(19), mean: 2176.97, max: 2622.48
Date: 01-25 at 10:00:56, #particle: 15, iter: 29, fix: false, local: false, cut car: true, new generate: true, Khoo: 1360.78, best obj: 1473.47(19), mean: 1620.87, max: 1735.12
Date: 01-25 at 10:01:55, #particle: 15, iter: 32, fix: false, local: false, cut car: true, new generate: true, Khoo: 1360.78, best obj: 1473.47(19), mean: 2469.71, max: 2700.85
Date: 01-25 at 10:02:46, #particle: 15, iter: 33, fix: false, local: false, cut car: true, new generate: true, Khoo: 1360.78, best obj: 1473.47(19), mean: 2395.68, max: 2727.57
