Date: 07-14 at 06:37:51, iter: 1, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1820.37(18) mean: 2801.43, max: 3477.27
Date: 07-14 at 06:38:54, iter: 2, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1663.97(17) mean: 2761.33, max: 3386.47
Date: 07-14 at 06:39:51, iter: 3, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1644.32(17) mean: 2612.64, max: 3304.79
Date: 07-14 at 06:40:51, iter: 4, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1640.28(16) mean: 2385.71, max: 2900.61
Date: 07-14 at 06:41:57, iter: 5, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1640.28(16) mean: 1782.24, max: 1878.34
Date: 07-14 at 06:42:51, iter: 6, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1640.28(16) mean: 1800.04, max: 1915.10
Date: 07-14 at 06:43:47, iter: 7, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1640.28(16) mean: 1852.02, max: 1999.60
Date: 07-14 at 06:44:50, iter: 8, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1640.28(16) mean: 1755.27, max: 1882.59
Date: 07-14 at 06:45:51, iter: 10, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1640.28(16) mean: 1801.15, max: 2027.61
Date: 07-14 at 06:46:50, iter: 11, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1640.28(16) mean: 1829.61, max: 2049.49
Date: 07-14 at 06:47:43, iter: 12, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1640.28(16) mean: 1836.37, max: 2068.20
Date: 07-14 at 06:48:45, iter: 13, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1640.28(16) mean: 1750.84, max: 2002.89
Date: 07-14 at 06:49:46, iter: 15, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1626.69(16) mean: 1820.60, max: 2048.12
Date: 07-14 at 06:50:45, iter: 16, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1572.38(16) mean: 1710.59, max: 1945.51
Date: 07-14 at 06:51:44, iter: 17, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1560.69(16) mean: 1730.65, max: 1944.89
Date: 07-14 at 06:52:41, iter: 18, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1560.69(16) mean: 1717.57, max: 1961.43
Date: 07-14 at 06:53:36, iter: 19, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1560.69(16) mean: 1769.20, max: 2000.17
Date: 07-14 at 06:54:34, iter: 20, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1560.69(16) mean: 1827.97, max: 2057.13
Date: 07-14 at 06:55:36, iter: 21, fix: false, local: false, cut car: true, new generate: true, Khoo: 1461.23 best obj: 1560.69(16) mean: 1731.62, max: 2021.91
