Date: 01-08 at 06:31:38, #particle: 15, iter: 1, fix: false, local: false, cut car: true, new generate: true, Khoo: 1135.52, best obj: 1431.92(14), mean: 2330.83, max: 2994.17
Date: 01-08 at 06:32:31, #particle: 15, iter: 2, fix: false, local: false, cut car: true, new generate: true, Khoo: 1135.52, best obj: 1358.44(13), mean: 2375.09, max: 2973.17
Date: 01-08 at 06:33:21, #particle: 15, iter: 3, fix: false, local: false, cut car: true, new generate: true, Khoo: 1135.52, best obj: 1339.65(13), mean: 2403.31, max: 2999.49
Date: 01-08 at 06:34:15, #particle: 15, iter: 4, fix: false, local: false, cut car: true, new generate: true, Khoo: 1135.52, best obj: 1337.87(13), mean: 2392.77, max: 2979.12
Date: 01-08 at 06:35:12, #particle: 15, iter: 5, fix: false, local: false, cut car: true, new generate: true, Khoo: 1135.52, best obj: 1337.87(13), mean: 2376.39, max: 2983.98
Date: 01-08 at 06:36:17, #particle: 15, iter: 6, fix: false, local: false, cut car: true, new generate: true, Khoo: 1135.52, best obj: 1337.87(13), mean: 1488.55, max: 1621.63
Date: 01-08 at 06:37:07, #particle: 15, iter: 7, fix: false, local: false, cut car: true, new generate: true, Khoo: 1135.52, best obj: 1337.87(13), mean: 1557.20, max: 1689.77
Date: 01-08 at 06:38:04, #particle: 15, iter: 8, fix: false, local: false, cut car: true, new generate: true, Khoo: 1135.52, best obj: 1337.87(13), mean: 1492.19, max: 1755.74
Date: 01-08 at 06:38:59, #particle: 15, iter: 11, fix: false, local: false, cut car: true, new generate: true, Khoo: 1135.52, best obj: 1334.96(13), mean: 2281.51, max: 2727.28
Date: 01-08 at 06:39:57, #particle: 15, iter: 12, fix: false, local: false, cut car: true, new generate: true, Khoo: 1135.52, best obj: 1334.96(13), mean: 2014.03, max: 2499.50
Date: 01-08 at 06:40:48, #particle: 15, iter: 13, fix: false, local: false, cut car: true, new generate: true, Khoo: 1135.52, best obj: 1334.96(13), mean: 1867.14, max: 2401.46
Date: 01-08 at 06:41:38, #particle: 15, iter: 14, fix: false, local: false, cut car: true, new generate: true, Khoo: 1135.52, best obj: 1334.96(13), mean: 1905.59, max: 2423.00
Date: 01-08 at 06:42:33, #particle: 15, iter: 17, fix: false, local: false, cut car: true, new generate: true, Khoo: 1135.52, best obj: 1330.48(13), mean: 2236.51, max: 2785.15
Date: 01-08 at 06:43:27, #particle: 15, iter: 18, fix: false, local: false, cut car: true, new generate: true, Khoo: 1135.52, best obj: 1311.28(13), mean: 2162.17, max: 2680.48
