Date: 01-20 at 21:48:02, #particle: 15, iter: 1, fix: false, local: true, cut car: true, new generate: false, Khoo: 828.94, best obj: 1612.42(15), mean: 3294.52, max: 3828.23
Date: 01-20 at 21:48:52, #particle: 15, iter: 2, fix: false, local: true, cut car: true, new generate: false, Khoo: 828.94, best obj: 1380.84(15), mean: 3182.17, max: 3687.27
Date: 01-20 at 21:49:37, #particle: 15, iter: 3, fix: false, local: true, cut car: true, new generate: false, Khoo: 828.94, best obj: 1334.75(15), mean: 3018.04, max: 3468.09
Date: 01-20 at 21:50:27, #particle: 15, iter: 4, fix: false, local: true, cut car: true, new generate: false, Khoo: 828.94, best obj: 1301.49(14), mean: 2784.79, max: 3396.20
Date: 01-20 at 21:51:17, #particle: 15, iter: 5, fix: false, local: true, cut car: true, new generate: false, Khoo: 828.94, best obj: 1283.35(14), mean: 2779.00, max: 3375.57
Date: 01-20 at 21:52:13, #particle: 15, iter: 6, fix: false, local: true, cut car: true, new generate: false, Khoo: 828.94, best obj: 1283.35(14), mean: 2697.44, max: 3333.64
Date: 01-20 at 21:53:06, #particle: 15, iter: 7, fix: false, local: true, cut car: true, new generate: false, Khoo: 828.94, best obj: 1283.35(14), mean: 2514.47, max: 3286.67
Date: 01-20 at 21:54:02, #particle: 15, iter: 8, fix: false, local: true, cut car: true, new generate: false, Khoo: 828.94, best obj: 1283.35(14), mean: 2288.07, max: 3228.58
Date: 01-20 at 21:54:57, #particle: 15, iter: 9, fix: false, local: true, cut car: true, new generate: false, Khoo: 828.94, best obj: 1057.02(14), mean: 1604.83, max: 2994.59
Date: 01-20 at 21:55:50, #particle: 15, iter: 10, fix: false, local: true, cut car: true, new generate: false, Khoo: 828.94, best obj: 1023.22(13), mean: 1259.99, max: 1493.59
Date: 01-20 at 21:56:40, #particle: 15, iter: 11, fix: false, local: true, cut car: true, new generate: false, Khoo: 828.94, best obj: 972.96(12), mean: 1096.27, max: 1272.41
