Date: 07-16 at 02:15:21, iter: 1, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 1047.29(4) mean: 3262.04, max: 4048.48
Date: 07-16 at 02:16:02, iter: 2, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 950.73(4) mean: 2343.67, max: 3114.26
Date: 07-16 at 02:16:36, iter: 3, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 875.59(4) mean: 1660.03, max: 2405.86
Date: 07-16 at 02:17:15, iter: 4, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 875.51(4) mean: 1371.10, max: 2110.37
Date: 07-16 at 02:17:57, iter: 5, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 875.51(4) mean: 1020.43, max: 1190.09
Date: 07-16 at 02:18:31, iter: 6, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 875.51(4) mean: 1105.92, max: 1283.03
Date: 07-16 at 02:19:00, iter: 7, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 857.03(5) mean: 901.76, max: 1058.73
Date: 07-16 at 02:19:30, iter: 8, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 823.89(5) mean: 857.54, max: 884.54
Date: 07-16 at 02:20:04, iter: 9, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 813.62(5) mean: 879.41, max: 927.63
Date: 07-16 at 02:20:57, iter: 10, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 806.58(5) mean: 854.13, max: 945.26
Date: 07-16 at 02:21:40, iter: 11, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 794.61(7) mean: 831.52, max: 885.52
Date: 07-16 at 02:22:18, iter: 12, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 741.95(6) mean: 828.66, max: 869.11
Date: 07-16 at 02:23:09, iter: 13, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 741.29(6) mean: 875.70, max: 897.86
Date: 07-16 at 02:23:49, iter: 14, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 741.29(6) mean: 864.35, max: 901.09
Date: 07-16 at 02:24:28, iter: 15, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 741.29(6) mean: 800.28, max: 916.17
Date: 07-16 at 02:25:11, iter: 16, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 741.29(6) mean: 795.35, max: 866.77
Date: 07-16 at 02:25:54, iter: 17, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 730.02(6) mean: 774.55, max: 830.16
Date: 07-16 at 02:26:50, iter: 18, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 690.16(5) mean: 752.01, max: 811.35
Date: 07-16 at 02:27:24, iter: 19, fix: false, local: true, cut car: true, new generate: false, Khoo: 588.49 best obj: 690.16(5) mean: 722.84, max: 758.73
