Date: 07-15 at 04:17:02, iter: 1, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1786.02(19) mean: 2685.63, max: 3531.87
Date: 07-15 at 04:18:03, iter: 2, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1665.72(18) mean: 2625.46, max: 3496.56
Date: 07-15 at 04:19:05, iter: 3, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1648.55(17) mean: 2577.19, max: 3414.34
Date: 07-15 at 04:20:08, iter: 4, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1648.55(17) mean: 2305.52, max: 3316.64
Date: 07-15 at 04:21:13, iter: 5, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1648.55(17) mean: 2332.56, max: 3305.42
Date: 07-15 at 04:22:20, iter: 6, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1648.55(17) mean: 2130.11, max: 3237.25
Date: 07-15 at 04:23:22, iter: 7, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1648.55(17) mean: 2058.23, max: 3188.44
Date: 07-15 at 04:24:37, iter: 9, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1648.55(17) mean: 1877.03, max: 2103.90
Date: 07-15 at 04:25:40, iter: 10, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1648.55(17) mean: 1836.91, max: 2094.56
Date: 07-15 at 04:26:43, iter: 11, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1648.55(17) mean: 1893.87, max: 2147.01
Date: 07-15 at 04:27:54, iter: 12, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1648.55(17) mean: 1740.92, max: 1994.64
Date: 07-15 at 04:28:58, iter: 14, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1633.02(17) mean: 1896.97, max: 2136.89
Date: 07-15 at 04:30:00, iter: 15, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1610.38(18) mean: 1694.05, max: 1916.62
Date: 07-15 at 04:30:58, iter: 16, fix: false, local: true, cut car: true, new generate: false, Khoo: 1461.23 best obj: 1578.19(16) mean: 1740.68, max: 1930.75
