Date: 07-04 at 19:08:33, iter: 1, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1865.98(6) mean: 3821.30, max: 4836.70
Date: 07-04 at 19:09:30, iter: 2, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1611.33(12) mean: 3079.21, max: 4275.57
Date: 07-04 at 19:10:37, iter: 3, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1504.00(11) mean: 2538.97, max: 3533.75
Date: 07-04 at 19:11:36, iter: 4, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1477.99(10) mean: 2509.97, max: 3391.30
Date: 07-04 at 19:12:49, iter: 5, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1477.60(10) mean: 2525.43, max: 3363.86
Date: 07-04 at 19:14:09, iter: 6, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1477.23(10) mean: 2209.43, max: 3139.18
Date: 07-04 at 19:15:42, iter: 7, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1477.23(10) mean: 2084.47, max: 3159.92
Date: 07-04 at 19:16:48, iter: 8, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1477.23(10) mean: 2053.04, max: 3226.53
Date: 07-04 at 19:17:53, iter: 9, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1477.23(10) mean: 1590.31, max: 1640.83
Date: 07-04 at 19:18:57, iter: 10, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1473.68(9) mean: 1561.22, max: 1606.58
Date: 07-04 at 19:20:15, iter: 11, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1461.14(9) mean: 1635.93, max: 1703.22
Date: 07-04 at 19:21:39, iter: 12, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1461.14(9) mean: 1652.82, max: 1715.47
Date: 07-04 at 19:23:15, iter: 13, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1461.14(9) mean: 1545.40, max: 1601.66
Date: 07-04 at 19:24:36, iter: 14, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1461.14(9) mean: 1594.77, max: 1689.05
Date: 07-04 at 19:26:05, iter: 15, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1461.14(9) mean: 1531.68, max: 1601.72
Date: 07-04 at 19:27:29, iter: 16, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1444.52(10) mean: 1522.99, max: 1593.82
Date: 07-04 at 19:28:57, iter: 17, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1425.12(10) mean: 1518.35, max: 1593.82
Date: 07-04 at 19:30:06, iter: 18, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1425.12(10) mean: 1571.55, max: 1671.07
Date: 07-04 at 19:31:29, iter: 19, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1425.12(10) mean: 1586.88, max: 1697.50
Date: 07-04 at 19:32:49, iter: 20, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1425.12(10) mean: 1499.29, max: 1582.96
Date: 07-04 at 19:34:18, iter: 21, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1425.12(10) mean: 1500.09, max: 1591.44
Date: 07-04 at 19:36:02, iter: 22, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1425.12(10) mean: 1481.13, max: 1572.13
Date: 07-04 at 19:37:43, iter: 23, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1419.12(10) mean: 1470.36, max: 1529.26
Date: 07-04 at 19:39:03, iter: 24, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1417.18(10) mean: 1516.41, max: 1595.81
Date: 07-04 at 19:40:24, iter: 25, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1417.18(10) mean: 1485.57, max: 1539.12
Date: 07-04 at 19:41:40, iter: 26, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1417.18(10) mean: 1507.39, max: 1569.05
Date: 07-04 at 19:42:55, iter: 27, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1417.18(10) mean: 1518.69, max: 1618.32
Date: 07-04 at 19:44:06, iter: 28, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1417.18(10) mean: 1478.09, max: 1663.83
Date: 07-04 at 19:45:31, iter: 29, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1417.18(10) mean: 1467.60, max: 1633.82
Date: 07-04 at 19:46:49, iter: 30, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1411.66(12) mean: 1444.68, max: 1466.69
Date: 07-04 at 19:48:08, iter: 31, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1411.66(12) mean: 1458.12, max: 1544.13
Date: 07-04 at 19:49:26, iter: 32, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1402.90(11) mean: 1484.98, max: 1586.89
Date: 07-04 at 19:50:44, iter: 33, fix: false, local: true, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1384.83(11) mean: 1441.48, max: 1546.21
