Date: 09-16 at 20:50:10, #particle: 15, iter: 1, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 1276.34(11), mean: 3212.99, max: 3657.09
Date: 09-16 at 20:50:52, #particle: 15, iter: 2, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 1141.84(11), mean: 3163.29, max: 3622.94
Date: 09-16 at 20:51:33, #particle: 15, iter: 3, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 1051.69(11), mean: 3118.70, max: 3520.08
Date: 09-16 at 20:52:17, #particle: 15, iter: 4, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 1036.10(11), mean: 2709.53, max: 3268.62
Date: 09-16 at 20:53:02, #particle: 15, iter: 5, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 1036.05(11), mean: 2696.49, max: 3278.31
Date: 09-16 at 20:53:49, #particle: 15, iter: 6, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 1036.05(11), mean: 2175.96, max: 3011.55
Date: 09-16 at 20:54:39, #particle: 15, iter: 7, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 1036.05(11), mean: 1255.35, max: 1351.34
Date: 09-16 at 20:55:22, #particle: 15, iter: 8, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 1036.05(11), mean: 1266.47, max: 1380.11
Date: 09-16 at 20:56:08, #particle: 15, iter: 9, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 1036.05(11), mean: 1198.07, max: 1381.02
Date: 09-16 at 20:56:56, #particle: 15, iter: 11, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 1011.90(13), mean: 1339.36, max: 1679.52
Date: 09-16 at 20:57:40, #particle: 15, iter: 12, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 1007.57(13), mean: 1328.90, max: 1691.42
Date: 09-16 at 20:58:26, #particle: 15, iter: 13, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 1005.00(13), mean: 1383.85, max: 1728.16
Date: 09-16 at 20:59:12, #particle: 15, iter: 14, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 1005.00(13), mean: 1219.20, max: 1421.82
Date: 09-16 at 21:00:03, #particle: 15, iter: 15, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 1005.00(13), mean: 1170.09, max: 1440.07
Date: 09-16 at 21:00:45, #particle: 15, iter: 16, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 1005.00(13), mean: 1170.41, max: 1367.10
Date: 09-16 at 21:01:29, #particle: 15, iter: 17, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 1005.00(13), mean: 1207.41, max: 1408.15
Date: 09-16 at 21:02:22, #particle: 15, iter: 19, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 1001.43(13), mean: 1218.17, max: 1451.46
Date: 09-16 at 21:03:06, #particle: 15, iter: 20, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 985.83(13), mean: 1248.35, max: 1455.53
Date: 09-16 at 21:03:51, #particle: 15, iter: 21, fix: false, local: false, cut car: true, new generate: true, Khoo: 824.78, best obj: 985.83(13), mean: 1179.08, max: 1351.05
