Date: 07-10 at 05:28:46, iter: 1, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 1162.97(5) mean: 2982.23, max: 4173.43
Date: 07-10 at 05:29:20, iter: 2, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 1050.16(4) mean: 1965.21, max: 3253.61
Date: 07-10 at 05:29:50, iter: 3, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 983.01(4) mean: 1664.52, max: 2513.35
Date: 07-10 at 05:30:19, iter: 4, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 968.16(4) mean: 1056.86, max: 1174.23
Date: 07-10 at 05:30:45, iter: 5, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 960.74(4) mean: 1122.63, max: 1260.27
Date: 07-10 at 05:31:13, iter: 6, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 941.80(4) mean: 1142.05, max: 1281.03
Date: 07-10 at 05:31:49, iter: 7, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 899.37(6) mean: 1039.42, max: 1306.03
Date: 07-10 at 05:32:19, iter: 8, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 822.75(6) mean: 933.32, max: 1012.81
Date: 07-10 at 05:32:57, iter: 9, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 820.59(6) mean: 995.02, max: 1087.58
Date: 07-10 at 05:33:31, iter: 10, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 820.59(6) mean: 1032.96, max: 1142.94
Date: 07-10 at 05:33:59, iter: 11, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 820.59(6) mean: 955.39, max: 1093.63
Date: 07-10 at 05:34:46, iter: 12, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 820.59(6) mean: 884.05, max: 927.86
Date: 07-10 at 05:35:16, iter: 13, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 820.59(6) mean: 912.26, max: 964.49
Date: 07-10 at 05:35:46, iter: 15, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 799.04(6) mean: 1029.53, max: 1425.33
Date: 07-10 at 05:36:14, iter: 16, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 764.04(5) mean: 912.90, max: 1489.81
Date: 07-10 at 05:36:51, iter: 17, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 763.07(5) mean: 908.63, max: 1502.80
Date: 07-10 at 05:37:25, iter: 18, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 751.31(6) mean: 827.89, max: 900.47
Date: 07-10 at 05:37:56, iter: 19, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 750.55(6) mean: 822.23, max: 898.28
Date: 07-10 at 05:38:38, iter: 20, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 750.55(6) mean: 794.09, max: 930.78
Date: 07-10 at 05:39:07, iter: 21, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 750.55(6) mean: 776.63, max: 832.35
Date: 07-10 at 05:39:41, iter: 22, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 750.55(6) mean: 768.42, max: 784.26
Date: 07-10 at 05:40:12, iter: 23, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 720.58(5) mean: 765.97, max: 784.26
Date: 07-10 at 05:40:46, iter: 24, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 720.58(5) mean: 765.97, max: 784.26
Date: 07-10 at 05:41:19, iter: 25, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 720.58(5) mean: 771.96, max: 819.87
Date: 07-10 at 05:41:46, iter: 26, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 720.58(5) mean: 804.47, max: 826.39
Date: 07-10 at 05:42:16, iter: 27, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 720.58(5) mean: 769.54, max: 803.15
Date: 07-10 at 05:42:48, iter: 29, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 720.58(5) mean: 1076.36, max: 1674.91
Date: 07-10 at 05:43:15, iter: 30, fix: false, local: false, cut car: true, new generate: true, Khoo: 591.17 best obj: 720.32(5) mean: 907.83, max: 1450.14
