Date: 06-29 at 12:17:19, iter: 1, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1842.50(23) mean: 2576.04, max: 2806.75
Date: 06-29 at 12:18:30, iter: 2, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1775.29(22) mean: 2578.04, max: 2804.82
Date: 06-29 at 12:19:44, iter: 3, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1769.48(22) mean: 2449.06, max: 2783.29
Date: 06-29 at 12:21:04, iter: 4, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1751.98(23) mean: 2443.91, max: 2798.15
Date: 06-29 at 12:22:25, iter: 5, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1747.58(23) mean: 2319.44, max: 2819.69
Date: 06-29 at 12:23:36, iter: 6, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1747.58(23) mean: 2277.01, max: 2777.89
Date: 06-29 at 12:25:14, iter: 7, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1747.58(23) mean: 1865.50, max: 2049.43
Date: 06-29 at 12:26:51, iter: 8, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1747.58(23) mean: 1893.46, max: 2108.24
Date: 06-29 at 12:28:27, iter: 9, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1732.88(23) mean: 1823.74, max: 2119.20
Date: 06-29 at 12:29:54, iter: 10, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1721.25(23) mean: 1862.31, max: 2161.32
Date: 06-29 at 12:31:36, iter: 11, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1721.25(23) mean: 1831.82, max: 2007.66
Date: 06-29 at 12:33:13, iter: 12, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1721.25(23) mean: 1796.07, max: 1850.57
Date: 06-29 at 12:34:47, iter: 13, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1721.25(23) mean: 1792.77, max: 1864.19
Date: 06-29 at 12:36:17, iter: 14, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1721.25(23) mean: 1794.18, max: 1848.74
Date: 06-29 at 12:37:44, iter: 16, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1721.25(23) mean: 1890.00, max: 2167.88
Date: 06-29 at 12:39:04, iter: 17, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1721.25(23) mean: 1956.88, max: 2212.55
Date: 06-29 at 12:40:36, iter: 18, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1721.25(23) mean: 1945.68, max: 2238.61
Date: 06-29 at 12:42:07, iter: 19, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1720.04(22) mean: 1877.21, max: 2115.35
Date: 06-29 at 12:43:27, iter: 20, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1716.44(22) mean: 1886.69, max: 2110.91
Date: 06-29 at 12:45:06, iter: 21, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1716.44(22) mean: 1880.96, max: 2164.29
Date: 06-29 at 12:46:30, iter: 22, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1716.44(22) mean: 1857.12, max: 2126.63
Date: 06-29 at 12:47:53, iter: 23, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1716.44(22) mean: 1902.01, max: 2141.94
Date: 06-29 at 12:49:28, iter: 24, fix: false, local: false, cut car: true, new generate: false, Khoo: 1613.59 best obj: 1716.44(22) mean: 1793.47, max: 1879.96
