Date: 07-06 at 02:53:52, iter: 1, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1663.47(20) mean: 2459.32, max: 2882.07
Date: 07-06 at 02:55:06, iter: 2, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1603.75(19) mean: 2454.69, max: 2864.69
Date: 07-06 at 02:56:31, iter: 3, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1565.20(19) mean: 2045.63, max: 2828.45
Date: 07-06 at 02:57:49, iter: 4, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1563.71(19) mean: 1908.15, max: 2815.92
Date: 07-06 at 02:59:08, iter: 5, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1561.98(19) mean: 1842.31, max: 2816.32
Date: 07-06 at 03:00:27, iter: 6, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1561.90(19) mean: 1806.73, max: 2792.24
Date: 07-06 at 03:01:40, iter: 7, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1561.90(19) mean: 1783.87, max: 2757.69
Date: 07-06 at 03:03:04, iter: 8, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1561.90(19) mean: 1754.30, max: 2737.73
Date: 07-06 at 03:04:30, iter: 9, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1561.90(19) mean: 1630.49, max: 1772.46
Date: 07-06 at 03:05:39, iter: 10, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1561.90(19) mean: 1652.23, max: 1784.92
Date: 07-06 at 03:06:50, iter: 12, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1561.90(19) mean: 1727.84, max: 1866.37
Date: 07-06 at 03:08:10, iter: 13, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1561.90(19) mean: 1681.10, max: 1887.17
Date: 07-06 at 03:09:26, iter: 14, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1561.90(19) mean: 1679.77, max: 1937.55
Date: 07-06 at 03:10:44, iter: 15, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1561.90(19) mean: 1714.81, max: 1997.86
Date: 07-06 at 03:12:09, iter: 17, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1561.90(19) mean: 1757.55, max: 2006.72
Date: 07-06 at 03:13:18, iter: 18, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1561.90(19) mean: 1749.04, max: 2033.00
Date: 07-06 at 03:14:45, iter: 19, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1561.90(19) mean: 1645.90, max: 1817.77
Date: 07-06 at 03:15:58, iter: 20, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1561.90(19) mean: 1666.73, max: 1849.58
Date: 07-06 at 03:17:23, iter: 22, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1561.90(19) mean: 1654.01, max: 1897.13
Date: 07-06 at 03:18:42, iter: 23, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1531.36(19) mean: 1620.78, max: 1924.11
Date: 07-06 at 03:19:59, iter: 24, fix: false, local: false, cut car: true, new generate: true, Khoo: 1454.68 best obj: 1515.68(19) mean: 1574.29, max: 1629.79
