Date: 09-23 at 03:22:08, #particle: 15, iter: 1, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 1293.16(14), mean: 2709.67, max: 3918.63
Date: 09-23 at 03:23:40, #particle: 15, iter: 2, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 1196.42(13), mean: 2505.19, max: 3668.74
Date: 09-23 at 03:25:13, #particle: 15, iter: 3, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 1185.63(13), mean: 2350.41, max: 3583.38
Date: 09-23 at 03:26:44, #particle: 15, iter: 4, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 1182.13(13), mean: 2318.70, max: 3482.32
Date: 09-23 at 03:28:19, #particle: 15, iter: 5, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 1182.13(13), mean: 2067.22, max: 2986.61
Date: 09-23 at 03:29:56, #particle: 15, iter: 6, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 1182.13(13), mean: 2088.85, max: 3004.68
Date: 09-23 at 03:31:36, #particle: 15, iter: 7, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 1151.24(15), mean: 1310.27, max: 1523.82
Date: 09-23 at 03:33:07, #particle: 15, iter: 8, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 1090.18(14), mean: 1353.99, max: 1591.54
Date: 09-23 at 03:34:40, #particle: 15, iter: 9, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 1044.37(13), mean: 1381.40, max: 1618.80
Date: 09-23 at 03:36:16, #particle: 15, iter: 10, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 1044.37(13), mean: 1256.00, max: 1543.15
Date: 09-23 at 03:37:57, #particle: 15, iter: 11, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 1020.68(13), mean: 1105.21, max: 1170.46
Date: 09-23 at 03:39:27, #particle: 15, iter: 12, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 995.79(12), mean: 1160.49, max: 1240.56
Date: 09-23 at 03:41:04, #particle: 15, iter: 13, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 995.79(12), mean: 1075.71, max: 1132.21
Date: 09-23 at 03:42:40, #particle: 15, iter: 14, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 995.79(12), mean: 1071.91, max: 1119.18
Date: 09-23 at 03:44:20, #particle: 15, iter: 15, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 957.94(13), mean: 1043.19, max: 1105.03
Date: 09-23 at 03:45:52, #particle: 15, iter: 16, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 956.80(13), mean: 1077.19, max: 1140.25
Date: 09-23 at 03:47:30, #particle: 15, iter: 17, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 956.80(13), mean: 1054.43, max: 1130.13
Date: 09-23 at 03:49:05, #particle: 15, iter: 18, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 903.27(12), mean: 993.46, max: 1060.90
Date: 09-23 at 03:50:39, #particle: 15, iter: 19, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 900.94(12), mean: 985.79, max: 1060.90
Date: 09-23 at 03:52:11, #particle: 15, iter: 20, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 900.94(12), mean: 998.71, max: 1084.52
Date: 09-23 at 03:53:40, #particle: 15, iter: 21, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 900.09(12), mean: 1015.76, max: 1097.51
Date: 09-23 at 03:55:12, #particle: 15, iter: 22, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 900.09(11), mean: 990.16, max: 1038.15
Date: 09-23 at 03:56:41, #particle: 15, iter: 23, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 900.09(11), mean: 980.58, max: 1038.40
Date: 09-23 at 03:58:16, #particle: 15, iter: 24, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 900.09(11), mean: 978.47, max: 1038.15
Date: 09-23 at 03:59:53, #particle: 15, iter: 25, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 900.09(11), mean: 978.42, max: 1038.15
Date: 09-23 at 04:01:23, #particle: 15, iter: 27, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 900.09(11), mean: 1119.84, max: 1336.01
Date: 09-23 at 04:02:50, #particle: 15, iter: 28, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 900.09(11), mean: 1092.55, max: 1341.96
Date: 09-23 at 04:04:20, #particle: 15, iter: 29, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 900.09(11), mean: 1022.09, max: 1367.57
Date: 09-23 at 04:05:48, #particle: 15, iter: 30, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 900.09(11), mean: 986.31, max: 1105.49
Date: 09-23 at 04:07:13, #particle: 15, iter: 32, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 881.36(11), mean: 1066.32, max: 1581.16
Date: 09-23 at 04:08:39, #particle: 15, iter: 34, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 872.19(11), mean: 3195.99, max: 3845.40
Date: 09-23 at 04:10:16, #particle: 15, iter: 35, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 870.50(11), mean: 1281.12, max: 1472.51
Date: 09-23 at 04:11:46, #particle: 15, iter: 36, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 870.50(11), mean: 1316.34, max: 1508.42
Date: 09-23 at 04:13:18, #particle: 15, iter: 37, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 870.50(11), mean: 1260.49, max: 1502.71
Date: 09-23 at 04:14:51, #particle: 15, iter: 38, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 870.50(11), mean: 1131.04, max: 1360.38
Date: 09-23 at 04:16:25, #particle: 15, iter: 39, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.07, best obj: 870.50(11), mean: 1058.60, max: 1167.01
