Date: 07-17 at 13:41:51, iter: 1, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1844.81(23) mean: 2569.15, max: 2799.96
Date: 07-17 at 13:42:54, iter: 2, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1802.80(21) mean: 2603.46, max: 2848.08
Date: 07-17 at 13:43:58, iter: 3, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1795.29(23) mean: 2299.63, max: 2701.25
Date: 07-17 at 13:45:02, iter: 4, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1743.37(22) mean: 2249.32, max: 2694.98
Date: 07-17 at 13:46:05, iter: 5, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1709.15(21) mean: 2165.95, max: 2714.69
Date: 07-17 at 13:47:10, iter: 6, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1709.15(21) mean: 2173.29, max: 2693.09
Date: 07-17 at 13:48:17, iter: 7, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1709.15(21) mean: 2115.99, max: 2650.07
Date: 07-17 at 13:49:23, iter: 8, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1709.15(21) mean: 1826.34, max: 2000.89
Date: 07-17 at 13:50:26, iter: 9, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1709.15(21) mean: 1851.26, max: 2035.87
Date: 07-17 at 13:51:30, iter: 11, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1709.15(21) mean: 1931.44, max: 2068.87
Date: 07-17 at 13:52:34, iter: 12, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1709.15(21) mean: 1901.16, max: 2102.69
Date: 07-17 at 13:53:37, iter: 13, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1709.15(21) mean: 1852.43, max: 2064.04
Date: 07-17 at 13:54:40, iter: 14, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1709.15(21) mean: 1799.03, max: 2070.87
Date: 07-17 at 13:55:42, iter: 16, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1709.15(21) mean: 1901.39, max: 2091.19
Date: 07-17 at 13:56:44, iter: 17, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1709.15(21) mean: 1864.58, max: 2055.38
Date: 07-17 at 13:57:47, iter: 18, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1709.15(21) mean: 1860.28, max: 2077.17
Date: 07-17 at 13:58:50, iter: 19, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1709.15(21) mean: 1877.61, max: 2141.36
Date: 07-17 at 13:59:53, iter: 21, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1709.15(21) mean: 1845.06, max: 2148.19
Date: 07-17 at 14:00:56, iter: 22, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1709.15(21) mean: 1863.85, max: 2145.04
Date: 07-17 at 14:01:58, iter: 23, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1709.15(21) mean: 1883.33, max: 2185.37
Date: 07-17 at 14:03:01, iter: 24, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1709.15(21) mean: 1811.80, max: 2028.77
Date: 07-17 at 14:04:02, iter: 26, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1706.75(22) mean: 1830.54, max: 1933.58
Date: 07-17 at 14:05:03, iter: 27, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1706.75(22) mean: 1799.07, max: 1928.69
Date: 07-17 at 14:06:04, iter: 28, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1706.75(22) mean: 1810.42, max: 1959.64
Date: 07-17 at 14:07:05, iter: 30, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1706.75(22) mean: 2211.71, max: 2880.28
Date: 07-17 at 14:08:09, iter: 32, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1706.75(22) mean: 1848.50, max: 2007.09
Date: 07-17 at 14:09:08, iter: 33, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1706.75(22) mean: 1845.15, max: 2041.46
Date: 07-17 at 14:10:11, iter: 34, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1706.75(22) mean: 1852.80, max: 2106.60
Date: 07-17 at 14:11:10, iter: 35, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1706.75(22) mean: 1858.44, max: 2097.82
Date: 07-17 at 14:12:14, iter: 37, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1706.75(22) mean: 1910.35, max: 2089.39
Date: 07-17 at 14:13:15, iter: 38, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1706.75(22) mean: 1869.47, max: 2140.42
Date: 07-17 at 14:14:18, iter: 39, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1706.75(22) mean: 1848.13, max: 2161.04
Date: 07-17 at 14:15:20, iter: 40, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1706.75(22) mean: 1786.55, max: 1925.15
Date: 07-17 at 14:16:25, iter: 42, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1698.72(21) mean: 1806.95, max: 2068.44
Date: 07-17 at 14:17:27, iter: 43, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1698.51(21) mean: 1795.75, max: 2078.72
Date: 07-17 at 14:18:27, iter: 44, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1689.00(21) mean: 1831.56, max: 2135.05
Date: 07-17 at 14:19:28, iter: 45, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1688.56(21) mean: 1851.61, max: 2141.68
Date: 07-17 at 14:20:29, iter: 46, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1688.56(21) mean: 1772.69, max: 1977.66
Date: 07-17 at 14:21:30, iter: 47, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1688.56(21) mean: 1747.23, max: 2019.77
Date: 07-17 at 14:22:36, iter: 48, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1688.56(21) mean: 1726.76, max: 1784.59
Date: 07-17 at 14:23:38, iter: 49, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1688.56(21) mean: 1726.65, max: 1814.06
Date: 07-17 at 14:24:40, iter: 51, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1688.56(21) mean: 1766.08, max: 1934.77
Date: 07-17 at 14:25:43, iter: 52, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1688.56(21) mean: 1810.35, max: 2000.87
Date: 07-17 at 14:26:44, iter: 53, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1688.56(21) mean: 1770.72, max: 2023.20
Date: 07-17 at 14:27:44, iter: 54, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1683.17(21) mean: 1750.00, max: 2048.96
Date: 07-17 at 14:28:47, iter: 55, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1683.17(21) mean: 1775.03, max: 2072.13
Date: 07-17 at 14:29:47, iter: 56, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1683.17(21) mean: 1819.50, max: 2139.75
Date: 07-17 at 14:30:50, iter: 57, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1683.17(21) mean: 1815.87, max: 1881.94
Date: 07-17 at 14:31:59, iter: 58, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1683.17(21) mean: 1748.32, max: 1918.63
Date: 07-17 at 14:33:01, iter: 60, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1674.79(22) mean: 1767.84, max: 1932.40
Date: 07-17 at 14:34:03, iter: 61, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1664.90(21) mean: 1785.34, max: 1942.28
Date: 07-17 at 14:35:04, iter: 62, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1664.90(21) mean: 1743.62, max: 1888.12
Date: 07-17 at 14:36:08, iter: 63, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1664.90(21) mean: 1719.32, max: 1829.04
Date: 07-17 at 14:37:12, iter: 64, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1664.90(21) mean: 1722.35, max: 1796.15
Date: 07-17 at 14:38:14, iter: 65, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1664.90(21) mean: 1742.74, max: 1780.43
Date: 07-17 at 14:39:22, iter: 67, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1664.90(21) mean: 1764.30, max: 1980.92
Date: 07-17 at 14:40:23, iter: 68, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1664.90(21) mean: 1744.98, max: 1968.56
Date: 07-17 at 14:41:26, iter: 69, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1664.90(21) mean: 1769.67, max: 2001.72
Date: 07-17 at 14:42:27, iter: 70, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1664.90(21) mean: 1762.67, max: 2022.30
Date: 07-17 at 14:43:32, iter: 72, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1664.90(21) mean: 1807.02, max: 2013.47
Date: 07-17 at 14:44:34, iter: 73, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1664.90(21) mean: 1779.64, max: 2081.09
Date: 07-17 at 14:45:36, iter: 74, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1664.90(21) mean: 1727.44, max: 1977.80
Date: 07-17 at 14:46:37, iter: 75, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 1689.89, max: 1762.75
Date: 07-17 at 14:47:35, iter: 76, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 1699.99, max: 1826.15
Date: 07-17 at 14:48:38, iter: 77, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 1689.15, max: 1810.91
Date: 07-17 at 14:49:41, iter: 78, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 1698.00, max: 1735.97
Date: 07-17 at 14:50:44, iter: 79, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 1689.98, max: 1750.30
Date: 07-17 at 14:51:48, iter: 81, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 1698.71, max: 1866.36
Date: 07-17 at 14:52:47, iter: 82, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 1685.57, max: 1743.80
Date: 07-17 at 14:53:55, iter: 83, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 1684.06, max: 1731.87
Date: 07-17 at 14:54:59, iter: 84, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 1683.02, max: 1731.87
Date: 07-17 at 14:56:05, iter: 86, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 1716.41, max: 1823.51
Date: 07-17 at 14:57:12, iter: 87, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 1698.24, max: 1850.88
Date: 07-17 at 14:58:16, iter: 88, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 1687.10, max: 1751.29
Date: 07-17 at 14:59:24, iter: 89, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 1685.03, max: 1797.37
Date: 07-17 at 15:00:30, iter: 91, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 1725.16, max: 1844.79
Date: 07-17 at 15:01:32, iter: 92, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 1706.92, max: 1837.15
Date: 07-17 at 15:02:35, iter: 93, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 1699.34, max: 1820.01
Date: 07-17 at 15:03:47, iter: 94, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 1688.70, max: 1782.34
Date: 07-17 at 15:04:52, iter: 96, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 1709.36, max: 1850.91
Date: 07-17 at 15:05:59, iter: 97, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 1709.55, max: 1856.40
Date: 07-17 at 15:07:04, iter: 98, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 1683.78, max: 1736.03
Date: 07-17 at 15:08:08, iter: 100, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 2162.47, max: 2895.20
Date: 07-17 at 15:09:16, iter: 102, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 1769.26, max: 2031.56
Date: 07-17 at 15:10:20, iter: 103, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 1778.05, max: 2084.74
Date: 07-17 at 15:11:28, iter: 104, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 1776.76, max: 2100.13
Date: 07-17 at 15:12:33, iter: 105, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 1777.50, max: 2123.81
Date: 07-17 at 15:13:41, iter: 107, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 1805.89, max: 2202.78
Date: 07-17 at 15:14:45, iter: 108, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 1706.46, max: 1828.17
Date: 07-17 at 15:15:49, iter: 109, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 1712.02, max: 1876.41
Date: 07-17 at 15:16:52, iter: 110, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 1705.40, max: 1889.75
Date: 07-17 at 15:17:56, iter: 112, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 1767.86, max: 1964.16
Date: 07-17 at 15:19:01, iter: 113, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 1761.05, max: 2013.99
Date: 07-17 at 15:20:04, iter: 114, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 1754.96, max: 2062.29
Date: 07-17 at 15:21:08, iter: 115, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 1699.00, max: 1849.73
Date: 07-17 at 15:22:14, iter: 117, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 1719.79, max: 1914.50
Date: 07-17 at 15:23:16, iter: 118, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 1719.68, max: 1941.76
Date: 07-17 at 15:24:22, iter: 119, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 1688.07, max: 1744.48
Date: 07-17 at 15:25:24, iter: 120, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 1693.50, max: 1772.83
Date: 07-17 at 15:26:30, iter: 122, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 1721.73, max: 1934.80
Date: 07-17 at 15:27:31, iter: 123, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 1721.87, max: 1969.17
Date: 07-17 at 15:28:33, iter: 125, fix: false, local: true, cut car: true, new generate: true, Khoo: 1613.59 best obj: 1663.26(21) mean: 2140.18, max: 3012.52
