Date: 07-23 at 18:21:14, #particle: 10, iter: 1, fix: false, local: true, cut car: true, new generate: true, Khoo: 1034.35, best obj: 1343.76(12), mean: 2107.95, max: 3411.58
Date: 07-23 at 18:21:55, #particle: 10, iter: 2, fix: false, local: true, cut car: true, new generate: true, Khoo: 1034.35, best obj: 1292.44(12), mean: 2069.94, max: 3218.19
Date: 07-23 at 18:22:34, #particle: 10, iter: 3, fix: false, local: true, cut car: true, new generate: true, Khoo: 1034.35, best obj: 1260.73(11), mean: 2047.25, max: 3170.27
Date: 07-23 at 18:23:14, #particle: 10, iter: 4, fix: false, local: true, cut car: true, new generate: true, Khoo: 1034.35, best obj: 1215.60(10), mean: 1855.94, max: 2951.11
Date: 07-23 at 18:23:54, #particle: 10, iter: 5, fix: false, local: true, cut car: true, new generate: true, Khoo: 1034.35, best obj: 1214.67(10), mean: 1802.21, max: 2728.46
Date: 07-23 at 18:24:36, #particle: 10, iter: 6, fix: false, local: true, cut car: true, new generate: true, Khoo: 1034.35, best obj: 1214.62(10), mean: 1794.08, max: 2610.92
Date: 07-23 at 18:25:19, #particle: 10, iter: 7, fix: false, local: true, cut car: true, new generate: true, Khoo: 1034.35, best obj: 1214.62(10), mean: 1672.61, max: 2368.18
Date: 07-23 at 18:26:00, #particle: 10, iter: 8, fix: false, local: true, cut car: true, new generate: true, Khoo: 1034.35, best obj: 1183.32(10), mean: 1309.68, max: 1447.15
Date: 07-23 at 18:26:41, #particle: 10, iter: 9, fix: false, local: true, cut car: true, new generate: true, Khoo: 1034.35, best obj: 1182.26(10), mean: 1312.57, max: 1436.79
Date: 07-23 at 18:27:25, #particle: 10, iter: 10, fix: false, local: true, cut car: true, new generate: true, Khoo: 1034.35, best obj: 1181.94(10), mean: 1339.07, max: 1469.18
Date: 07-23 at 18:28:07, #particle: 10, iter: 11, fix: false, local: true, cut car: true, new generate: true, Khoo: 1034.35, best obj: 1181.94(10), mean: 1326.21, max: 1426.09
Date: 07-23 at 18:28:49, #particle: 10, iter: 12, fix: false, local: true, cut car: true, new generate: true, Khoo: 1034.35, best obj: 1181.94(10), mean: 1261.39, max: 1449.32
Date: 07-23 at 18:29:30, #particle: 10, iter: 13, fix: false, local: true, cut car: true, new generate: true, Khoo: 1034.35, best obj: 1181.94(10), mean: 1221.69, max: 1251.44
Date: 07-23 at 18:30:08, #particle: 10, iter: 14, fix: false, local: true, cut car: true, new generate: true, Khoo: 1034.35, best obj: 1181.94(10), mean: 1246.14, max: 1309.34
Date: 07-23 at 18:30:48, #particle: 10, iter: 16, fix: false, local: true, cut car: true, new generate: true, Khoo: 1034.35, best obj: 1177.15(10), mean: 1402.53, max: 1522.43
Date: 07-23 at 18:31:29, #particle: 10, iter: 17, fix: false, local: true, cut car: true, new generate: true, Khoo: 1034.35, best obj: 1177.09(10), mean: 1320.34, max: 1539.43
