Date: 09-11 at 12:09:32, #particle: 15, iter: 1, fix: false, local: true, cut car: true, new generate: true, Khoo: 786.38, best obj: 1107.17(5), mean: 3303.90, max: 4351.59
Date: 09-11 at 12:10:43, #particle: 15, iter: 2, fix: false, local: true, cut car: true, new generate: true, Khoo: 786.38, best obj: 1032.57(5), mean: 1968.23, max: 3541.41
Date: 09-11 at 12:11:50, #particle: 15, iter: 3, fix: false, local: true, cut car: true, new generate: true, Khoo: 786.38, best obj: 1009.84(5), mean: 1599.18, max: 2893.35
Date: 09-11 at 12:13:01, #particle: 15, iter: 4, fix: false, local: true, cut car: true, new generate: true, Khoo: 786.38, best obj: 1006.44(5), mean: 1400.66, max: 2288.92
Date: 09-11 at 12:14:07, #particle: 15, iter: 5, fix: false, local: true, cut car: true, new generate: true, Khoo: 786.38, best obj: 1005.90(5), mean: 1144.03, max: 1326.13
Date: 09-11 at 12:15:12, #particle: 15, iter: 6, fix: false, local: true, cut car: true, new generate: true, Khoo: 786.38, best obj: 995.47(5), mean: 1072.56, max: 1271.34
Date: 09-11 at 12:16:21, #particle: 15, iter: 7, fix: false, local: true, cut car: true, new generate: true, Khoo: 786.38, best obj: 994.76(5), mean: 1137.41, max: 1321.47
Date: 09-11 at 12:17:27, #particle: 15, iter: 8, fix: false, local: true, cut car: true, new generate: true, Khoo: 786.38, best obj: 994.74(5), mean: 1123.75, max: 1258.98
Date: 09-11 at 12:18:34, #particle: 15, iter: 9, fix: false, local: true, cut car: true, new generate: true, Khoo: 786.38, best obj: 994.74(5), mean: 1078.35, max: 1297.13
Date: 09-11 at 12:19:37, #particle: 15, iter: 10, fix: false, local: true, cut car: true, new generate: true, Khoo: 786.38, best obj: 994.74(5), mean: 1084.58, max: 1171.00
Date: 09-11 at 12:20:45, #particle: 15, iter: 11, fix: false, local: true, cut car: true, new generate: true, Khoo: 786.38, best obj: 994.74(5), mean: 1131.90, max: 1248.68
Date: 09-11 at 12:21:46, #particle: 15, iter: 12, fix: false, local: true, cut car: true, new generate: true, Khoo: 786.38, best obj: 994.74(5), mean: 1033.50, max: 1075.86
Date: 09-11 at 12:22:57, #particle: 15, iter: 14, fix: false, local: true, cut car: true, new generate: true, Khoo: 786.38, best obj: 994.74(5), mean: 1318.03, max: 1689.97
Date: 09-11 at 12:24:02, #particle: 15, iter: 15, fix: false, local: true, cut car: true, new generate: true, Khoo: 786.38, best obj: 994.74(5), mean: 1218.11, max: 1714.93
Date: 09-11 at 12:25:08, #particle: 15, iter: 16, fix: false, local: true, cut car: true, new generate: true, Khoo: 786.38, best obj: 987.17(4), mean: 1119.06, max: 1621.78
Date: 09-11 at 12:26:12, #particle: 15, iter: 17, fix: false, local: true, cut car: true, new generate: true, Khoo: 786.38, best obj: 981.16(4), mean: 1078.55, max: 1551.26
Date: 09-11 at 12:27:19, #particle: 15, iter: 18, fix: false, local: true, cut car: true, new generate: true, Khoo: 786.38, best obj: 981.16(4), mean: 1125.32, max: 1612.79
Date: 09-11 at 12:28:22, #particle: 15, iter: 19, fix: false, local: true, cut car: true, new generate: true, Khoo: 786.38, best obj: 981.16(4), mean: 1094.48, max: 1606.93
Date: 09-11 at 12:29:24, #particle: 15, iter: 20, fix: false, local: true, cut car: true, new generate: true, Khoo: 786.38, best obj: 981.12(4), mean: 1028.46, max: 1140.94
Date: 09-11 at 12:30:26, #particle: 15, iter: 21, fix: false, local: true, cut car: true, new generate: true, Khoo: 786.38, best obj: 981.12(4), mean: 1036.36, max: 1183.58
Date: 09-11 at 12:31:29, #particle: 15, iter: 22, fix: false, local: true, cut car: true, new generate: true, Khoo: 786.38, best obj: 981.12(4), mean: 1038.37, max: 1226.14
Date: 09-11 at 12:32:33, #particle: 15, iter: 23, fix: false, local: true, cut car: true, new generate: true, Khoo: 786.38, best obj: 981.12(4), mean: 1004.49, max: 1092.22
Date: 09-11 at 12:33:37, #particle: 15, iter: 24, fix: false, local: true, cut car: true, new generate: true, Khoo: 786.38, best obj: 981.12(4), mean: 1005.95, max: 1107.09
Date: 09-11 at 12:34:49, #particle: 15, iter: 26, fix: false, local: true, cut car: true, new generate: true, Khoo: 786.38, best obj: 981.12(4), mean: 1222.32, max: 1612.78
Date: 09-11 at 12:35:53, #particle: 15, iter: 27, fix: false, local: true, cut car: true, new generate: true, Khoo: 786.38, best obj: 981.12(4), mean: 1083.73, max: 1446.45
Date: 09-11 at 12:36:55, #particle: 15, iter: 28, fix: false, local: true, cut car: true, new generate: true, Khoo: 786.38, best obj: 981.12(4), mean: 1089.68, max: 1460.63
