Date: 08-24 at 23:56:33, #particle: 15, iter: 1, fix: false, local: true, cut car: true, new generate: true, Khoo: 1878.85, best obj: 4117.99(10), mean: 10444.42, max: 12250.45
Date: 08-25 at 00:02:31, #particle: 15, iter: 2, fix: false, local: true, cut car: true, new generate: true, Khoo: 1878.85, best obj: 3666.99(10), mean: 9925.07, max: 11671.56
Date: 08-25 at 00:07:55, #particle: 15, iter: 3, fix: false, local: true, cut car: true, new generate: true, Khoo: 1878.85, best obj: 3582.91(10), mean: 9016.84, max: 10183.41
Date: 08-25 at 00:13:57, #particle: 15, iter: 4, fix: false, local: true, cut car: true, new generate: true, Khoo: 1878.85, best obj: 3513.11(10), mean: 8371.05, max: 9566.13
Date: 08-25 at 00:19:33, #particle: 15, iter: 5, fix: false, local: true, cut car: true, new generate: true, Khoo: 1878.85, best obj: 3505.86(10), mean: 7513.80, max: 9050.65
Date: 08-25 at 00:25:48, #particle: 15, iter: 6, fix: false, local: true, cut car: true, new generate: true, Khoo: 1878.85, best obj: 3483.06(10), mean: 7545.80, max: 9038.36
Date: 08-25 at 00:31:35, #particle: 15, iter: 7, fix: false, local: true, cut car: true, new generate: true, Khoo: 1878.85, best obj: 3357.97(15), mean: 4513.67, max: 8314.97
Date: 08-25 at 00:37:51, #particle: 15, iter: 8, fix: false, local: true, cut car: true, new generate: true, Khoo: 1878.85, best obj: 3085.85(15), mean: 4583.84, max: 8307.03
Date: 08-25 at 00:43:44, #particle: 15, iter: 9, fix: false, local: true, cut car: true, new generate: true, Khoo: 1878.85, best obj: 2992.96(14), mean: 4374.81, max: 8085.88
Date: 08-25 at 00:50:23, #particle: 15, iter: 10, fix: false, local: true, cut car: true, new generate: true, Khoo: 1878.85, best obj: 2987.20(14), mean: 4152.13, max: 7869.38
Date: 08-25 at 00:56:37, #particle: 15, iter: 11, fix: false, local: true, cut car: true, new generate: true, Khoo: 1878.85, best obj: 2987.20(14), mean: 3559.30, max: 4328.14
Date: 08-25 at 01:03:06, #particle: 15, iter: 12, fix: false, local: true, cut car: true, new generate: true, Khoo: 1878.85, best obj: 2936.81(13), mean: 3532.92, max: 3943.56
Date: 08-25 at 01:08:50, #particle: 15, iter: 13, fix: false, local: true, cut car: true, new generate: true, Khoo: 1878.85, best obj: 2905.81(13), mean: 3482.64, max: 3975.35
Date: 08-25 at 01:15:07, #particle: 15, iter: 14, fix: false, local: true, cut car: true, new generate: true, Khoo: 1878.85, best obj: 2905.04(13), mean: 3418.24, max: 4078.07
Date: 08-25 at 01:21:39, #particle: 15, iter: 15, fix: false, local: true, cut car: true, new generate: true, Khoo: 1878.85, best obj: 2867.75(13), mean: 3470.47, max: 4179.29
Date: 08-25 at 01:28:04, #particle: 15, iter: 16, fix: false, local: true, cut car: true, new generate: true, Khoo: 1878.85, best obj: 2846.25(13), mean: 3470.45, max: 4280.34
Date: 08-25 at 01:34:40, #particle: 15, iter: 17, fix: false, local: true, cut car: true, new generate: true, Khoo: 1878.85, best obj: 2828.90(13), mean: 3329.82, max: 3721.41
Date: 08-25 at 01:41:19, #particle: 15, iter: 18, fix: false, local: true, cut car: true, new generate: true, Khoo: 1878.85, best obj: 2828.90(13), mean: 3403.73, max: 3844.09
Date: 08-25 at 01:47:44, #particle: 15, iter: 19, fix: false, local: true, cut car: true, new generate: true, Khoo: 1878.85, best obj: 2828.90(13), mean: 3249.81, max: 3611.61
Date: 08-25 at 01:54:07, #particle: 15, iter: 20, fix: false, local: true, cut car: true, new generate: true, Khoo: 1878.85, best obj: 2828.90(13), mean: 3276.02, max: 3725.67
Date: 08-25 at 02:00:28, #particle: 15, iter: 21, fix: false, local: true, cut car: true, new generate: true, Khoo: 1878.85, best obj: 2743.34(15), mean: 3166.84, max: 3843.54
Date: 08-25 at 02:06:46, #particle: 15, iter: 22, fix: false, local: true, cut car: true, new generate: true, Khoo: 1878.85, best obj: 2739.58(15), mean: 3172.22, max: 3812.66
Date: 08-25 at 02:13:14, #particle: 15, iter: 23, fix: false, local: true, cut car: true, new generate: true, Khoo: 1878.85, best obj: 2739.58(15), mean: 3226.38, max: 3867.54
Date: 08-25 at 02:20:38, #particle: 15, iter: 24, fix: false, local: true, cut car: true, new generate: true, Khoo: 1878.85, best obj: 2739.58(15), mean: 3119.88, max: 3920.31
Date: 08-25 at 02:27:16, #particle: 15, iter: 25, fix: false, local: true, cut car: true, new generate: true, Khoo: 1878.85, best obj: 2713.88(14), mean: 3207.50, max: 4059.96
Date: 08-25 at 02:33:41, #particle: 15, iter: 26, fix: false, local: true, cut car: true, new generate: true, Khoo: 1878.85, best obj: 2713.88(14), mean: 3120.82, max: 3466.45
Date: 08-25 at 02:41:09, #particle: 15, iter: 27, fix: false, local: true, cut car: true, new generate: true, Khoo: 1878.85, best obj: 2713.88(14), mean: 2941.94, max: 3281.87
Date: 08-25 at 02:47:46, #particle: 15, iter: 28, fix: false, local: true, cut car: true, new generate: true, Khoo: 1878.85, best obj: 2713.88(14), mean: 2985.21, max: 3118.64
Date: 08-25 at 02:53:50, #particle: 15, iter: 29, fix: false, local: true, cut car: true, new generate: true, Khoo: 1878.85, best obj: 2713.88(14), mean: 3015.43, max: 3254.23
Date: 08-25 at 03:00:29, #particle: 15, iter: 31, fix: false, local: true, cut car: true, new generate: true, Khoo: 1878.85, best obj: 2713.88(14), mean: 3310.96, max: 3795.19
Date: 08-25 at 03:07:08, #particle: 15, iter: 32, fix: false, local: true, cut car: true, new generate: true, Khoo: 1878.85, best obj: 2713.88(14), mean: 3217.83, max: 3675.94
Date: 08-25 at 03:14:31, #particle: 15, iter: 33, fix: false, local: true, cut car: true, new generate: true, Khoo: 1878.85, best obj: 2678.49(15), mean: 2966.02, max: 3506.19
Date: 08-25 at 03:20:56, #particle: 15, iter: 34, fix: false, local: true, cut car: true, new generate: true, Khoo: 1878.85, best obj: 2672.24(15), mean: 2990.80, max: 3450.19
Date: 08-25 at 03:27:12, #particle: 15, iter: 35, fix: false, local: true, cut car: true, new generate: true, Khoo: 1878.85, best obj: 2672.24(15), mean: 2912.09, max: 3119.98
Date: 08-25 at 03:33:24, #particle: 15, iter: 36, fix: false, local: true, cut car: true, new generate: true, Khoo: 1878.85, best obj: 2672.24(15), mean: 2993.26, max: 3223.68
Date: 08-25 at 03:40:42, #particle: 15, iter: 37, fix: false, local: true, cut car: true, new generate: true, Khoo: 1878.85, best obj: 2672.24(15), mean: 2895.43, max: 3247.31
Date: 08-25 at 03:47:08, #particle: 15, iter: 38, fix: false, local: true, cut car: true, new generate: true, Khoo: 1878.85, best obj: 2672.24(15), mean: 2818.65, max: 3111.47
Date: 08-25 at 03:54:04, #particle: 15, iter: 40, fix: false, local: true, cut car: true, new generate: true, Khoo: 1878.85, best obj: 2634.58(15), mean: 3085.60, max: 3694.00
Date: 08-25 at 04:01:18, #particle: 15, iter: 41, fix: false, local: true, cut car: true, new generate: true, Khoo: 1878.85, best obj: 2623.05(15), mean: 3140.83, max: 3780.54
Date: 08-25 at 04:07:23, #particle: 15, iter: 42, fix: false, local: true, cut car: true, new generate: true, Khoo: 1878.85, best obj: 2621.99(15), mean: 3241.87, max: 3917.59
Date: 08-25 at 04:14:05, #particle: 15, iter: 43, fix: false, local: true, cut car: true, new generate: true, Khoo: 1878.85, best obj: 2621.99(15), mean: 3005.67, max: 3534.44
Date: 08-25 at 04:20:59, #particle: 15, iter: 44, fix: false, local: true, cut car: true, new generate: true, Khoo: 1878.85, best obj: 2621.99(15), mean: 2938.92, max: 3469.33
Date: 08-25 at 04:27:55, #particle: 15, iter: 45, fix: false, local: true, cut car: true, new generate: true, Khoo: 1878.85, best obj: 2617.07(16), mean: 2831.19, max: 3091.91
Date: 08-25 at 04:33:58, #particle: 15, iter: 46, fix: false, local: true, cut car: true, new generate: true, Khoo: 1878.85, best obj: 2614.77(16), mean: 2883.21, max: 3146.94
Date: 08-25 at 04:41:04, #particle: 15, iter: 47, fix: false, local: true, cut car: true, new generate: true, Khoo: 1878.85, best obj: 2614.77(16), mean: 2884.71, max: 3156.69
Date: 08-25 at 04:47:31, #particle: 15, iter: 48, fix: false, local: true, cut car: true, new generate: true, Khoo: 1878.85, best obj: 2582.61(15), mean: 2850.61, max: 3248.29
Date: 08-25 at 04:54:06, #particle: 15, iter: 49, fix: false, local: true, cut car: true, new generate: true, Khoo: 1878.85, best obj: 2582.25(15), mean: 2781.11, max: 3181.59
Date: 08-25 at 05:00:24, #particle: 15, iter: 50, fix: false, local: true, cut car: true, new generate: true, Khoo: 1878.85, best obj: 2582.25(15), mean: 2802.38, max: 3269.17
Date: 08-25 at 05:07:27, #particle: 15, iter: 51, fix: false, local: true, cut car: true, new generate: true, Khoo: 1878.85, best obj: 2576.71(14), mean: 2742.91, max: 2927.24
Date: 08-25 at 05:14:18, #particle: 15, iter: 52, fix: false, local: true, cut car: true, new generate: true, Khoo: 1878.85, best obj: 2576.71(14), mean: 2728.20, max: 2906.27
Date: 08-25 at 05:20:45, #particle: 15, iter: 53, fix: false, local: true, cut car: true, new generate: true, Khoo: 1878.85, best obj: 2576.71(14), mean: 2748.77, max: 2894.05
Date: 08-25 at 05:27:45, #particle: 15, iter: 54, fix: false, local: true, cut car: true, new generate: true, Khoo: 1878.85, best obj: 2540.89(15), mean: 2657.30, max: 2957.87
Date: 08-25 at 05:34:47, #particle: 15, iter: 55, fix: false, local: true, cut car: true, new generate: true, Khoo: 1878.85, best obj: 2536.32(15), mean: 2618.92, max: 2692.08
Date: 08-25 at 05:41:47, #particle: 15, iter: 56, fix: false, local: true, cut car: true, new generate: true, Khoo: 1878.85, best obj: 2511.84(13), mean: 2622.20, max: 2715.48
Date: 08-25 at 05:48:20, #particle: 15, iter: 57, fix: false, local: true, cut car: true, new generate: true, Khoo: 1878.85, best obj: 2509.46(13), mean: 2662.28, max: 2841.12
Date: 08-25 at 05:55:06, #particle: 15, iter: 58, fix: false, local: true, cut car: true, new generate: true, Khoo: 1878.85, best obj: 2509.46(13), mean: 2622.17, max: 2714.81
Date: 08-25 at 06:02:52, #particle: 15, iter: 59, fix: false, local: true, cut car: true, new generate: true, Khoo: 1878.85, best obj: 2509.46(13), mean: 2621.31, max: 2682.81
Date: 08-25 at 06:09:51, #particle: 15, iter: 60, fix: false, local: true, cut car: true, new generate: true, Khoo: 1878.85, best obj: 2509.46(13), mean: 2610.02, max: 2680.92
Date: 08-25 at 06:16:39, #particle: 15, iter: 61, fix: false, local: true, cut car: true, new generate: true, Khoo: 1878.85, best obj: 2509.46(13), mean: 2613.05, max: 2692.36
Date: 08-25 at 06:24:25, #particle: 15, iter: 63, fix: false, local: true, cut car: true, new generate: true, Khoo: 1878.85, best obj: 2509.46(13), mean: 2957.94, max: 3768.07
Date: 08-25 at 06:30:48, #particle: 15, iter: 64, fix: false, local: true, cut car: true, new generate: true, Khoo: 1878.85, best obj: 2501.43(15), mean: 2700.02, max: 2938.80
Date: 08-25 at 06:37:06, #particle: 15, iter: 65, fix: false, local: true, cut car: true, new generate: true, Khoo: 1878.85, best obj: 2445.98(15), mean: 2727.81, max: 2997.58
Date: 08-25 at 06:43:40, #particle: 15, iter: 66, fix: false, local: true, cut car: true, new generate: true, Khoo: 1878.85, best obj: 2374.11(15), mean: 2609.56, max: 3053.41
Date: 08-25 at 06:50:00, #particle: 15, iter: 67, fix: false, local: true, cut car: true, new generate: true, Khoo: 1878.85, best obj: 2370.12(15), mean: 2598.82, max: 2955.49
Date: 08-25 at 06:55:58, #particle: 15, iter: 68, fix: false, local: true, cut car: true, new generate: true, Khoo: 1878.85, best obj: 2370.03(15), mean: 2627.19, max: 2954.25
Date: 08-25 at 07:02:24, #particle: 15, iter: 69, fix: false, local: true, cut car: true, new generate: true, Khoo: 1878.85, best obj: 2320.33(14), mean: 2507.98, max: 2650.92
Date: 08-25 at 07:08:43, #particle: 15, iter: 70, fix: false, local: true, cut car: true, new generate: true, Khoo: 1878.85, best obj: 2318.71(14), mean: 2488.16, max: 2730.60
Date: 08-25 at 07:14:30, #particle: 15, iter: 71, fix: false, local: true, cut car: true, new generate: true, Khoo: 1878.85, best obj: 2318.71(14), mean: 2473.78, max: 2695.74
Date: 08-25 at 07:20:59, #particle: 15, iter: 72, fix: false, local: true, cut car: true, new generate: true, Khoo: 1878.85, best obj: 2295.64(14), mean: 2417.45, max: 2567.85
Date: 08-25 at 07:27:10, #particle: 15, iter: 73, fix: false, local: true, cut car: true, new generate: true, Khoo: 1878.85, best obj: 2295.64(14), mean: 2385.92, max: 2557.24
Date: 08-25 at 07:34:29, #particle: 15, iter: 74, fix: false, local: true, cut car: true, new generate: true, Khoo: 1878.85, best obj: 2283.14(14), mean: 2355.34, max: 2512.56
Date: 08-25 at 07:41:55, #particle: 15, iter: 75, fix: false, local: true, cut car: true, new generate: true, Khoo: 1878.85, best obj: 2283.14(13), mean: 2343.46, max: 2485.15
Date: 08-25 at 07:47:49, #particle: 15, iter: 76, fix: false, local: true, cut car: true, new generate: true, Khoo: 1878.85, best obj: 2283.14(13), mean: 2399.37, max: 2568.93
