Date: 09-04 at 00:38:23, #particle: 15, iter: 1, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 6304.79(24), mean: 9079.06, max: 9483.10
Date: 09-04 at 00:43:31, #particle: 15, iter: 2, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5991.75(24), mean: 9089.24, max: 9589.94
Date: 09-04 at 00:48:42, #particle: 15, iter: 3, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5936.23(24), mean: 9102.52, max: 9632.15
Date: 09-04 at 00:53:46, #particle: 15, iter: 4, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5927.71(24), mean: 9145.77, max: 9720.82
Date: 09-04 at 00:58:59, #particle: 15, iter: 5, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5926.23(24), mean: 9108.01, max: 9603.96
Date: 09-04 at 01:04:22, #particle: 15, iter: 6, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5926.23(24), mean: 9083.59, max: 9693.88
Date: 09-04 at 01:09:59, #particle: 15, iter: 7, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5926.23(24), mean: 8913.24, max: 9768.01
Date: 09-04 at 01:16:36, #particle: 15, iter: 8, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5881.70(29), mean: 6232.90, max: 6469.32
Date: 09-04 at 01:21:59, #particle: 15, iter: 9, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5536.25(29), mean: 6344.64, max: 6647.41
Date: 09-04 at 01:27:41, #particle: 15, iter: 10, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5519.13(29), mean: 6452.14, max: 6738.78
Date: 09-04 at 01:33:28, #particle: 15, iter: 11, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5484.34(29), mean: 6507.00, max: 6872.12
Date: 09-04 at 01:38:56, #particle: 15, iter: 12, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5484.34(29), mean: 6529.79, max: 6937.69
Date: 09-04 at 01:44:53, #particle: 15, iter: 13, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5484.34(29), mean: 6553.99, max: 7050.57
Date: 09-04 at 01:50:44, #particle: 15, iter: 14, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5484.34(29), mean: 6587.38, max: 7137.17
Date: 09-04 at 01:56:35, #particle: 15, iter: 15, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5484.34(29), mean: 6670.58, max: 7246.21
Date: 09-04 at 02:02:43, #particle: 15, iter: 17, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5484.34(29), mean: 6827.87, max: 7450.47
Date: 09-04 at 02:08:33, #particle: 15, iter: 18, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5484.34(29), mean: 6904.21, max: 7586.24
Date: 09-04 at 02:14:25, #particle: 15, iter: 19, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5484.34(29), mean: 6971.18, max: 7693.54
Date: 09-04 at 02:20:30, #particle: 15, iter: 20, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5484.34(29), mean: 6676.01, max: 7727.10
Date: 09-04 at 02:26:37, #particle: 15, iter: 22, fix: false, local: true, cut car: true, new generate: true, Khoo: 4784.11, best obj: 5484.34(29), mean: 6666.15, max: 7920.05
