Date: 10-16 at 21:23:27, #particle: 15, iter: 1, fix: false, local: true, cut car: true, new generate: true, Khoo: 2038.56, best obj: 3640.22(5), mean: 8731.85, max: 11752.55
Date: 10-16 at 21:26:00, #particle: 15, iter: 2, fix: false, local: true, cut car: true, new generate: true, Khoo: 2038.56, best obj: 3284.82(5), mean: 7337.38, max: 10202.47
Date: 10-16 at 21:28:27, #particle: 15, iter: 3, fix: false, local: true, cut car: true, new generate: true, Khoo: 2038.56, best obj: 3162.21(5), mean: 7252.59, max: 9945.79
Date: 10-16 at 21:31:33, #particle: 15, iter: 4, fix: false, local: true, cut car: true, new generate: true, Khoo: 2038.56, best obj: 3097.85(5), mean: 7327.32, max: 9968.12
Date: 10-16 at 21:33:58, #particle: 15, iter: 5, fix: false, local: true, cut car: true, new generate: true, Khoo: 2038.56, best obj: 3057.54(5), mean: 5750.18, max: 7586.00
Date: 10-16 at 21:37:20, #particle: 15, iter: 6, fix: false, local: true, cut car: true, new generate: true, Khoo: 2038.56, best obj: 2975.15(5), mean: 4616.15, max: 6955.77
Date: 10-16 at 21:40:44, #particle: 15, iter: 7, fix: false, local: true, cut car: true, new generate: true, Khoo: 2038.56, best obj: 2965.94(5), mean: 3945.61, max: 6057.80
Date: 10-16 at 21:44:07, #particle: 15, iter: 8, fix: false, local: true, cut car: true, new generate: true, Khoo: 2038.56, best obj: 2962.24(5), mean: 3952.87, max: 6085.58
Date: 10-16 at 21:46:37, #particle: 15, iter: 9, fix: false, local: true, cut car: true, new generate: true, Khoo: 2038.56, best obj: 2962.24(5), mean: 3891.55, max: 6095.57
Date: 10-16 at 21:49:17, #particle: 15, iter: 10, fix: false, local: true, cut car: true, new generate: true, Khoo: 2038.56, best obj: 2962.24(5), mean: 3256.35, max: 3508.91
Date: 10-16 at 21:52:45, #particle: 15, iter: 11, fix: false, local: true, cut car: true, new generate: true, Khoo: 2038.56, best obj: 2962.24(5), mean: 3248.15, max: 3549.52
Date: 10-16 at 21:55:23, #particle: 15, iter: 12, fix: false, local: true, cut car: true, new generate: true, Khoo: 2038.56, best obj: 2962.24(5), mean: 3150.92, max: 3421.71
Date: 10-16 at 21:57:47, #particle: 15, iter: 14, fix: false, local: true, cut car: true, new generate: true, Khoo: 2038.56, best obj: 2962.24(5), mean: 3819.43, max: 4589.67
Date: 10-16 at 22:01:22, #particle: 15, iter: 15, fix: false, local: true, cut car: true, new generate: true, Khoo: 2038.56, best obj: 2962.24(5), mean: 3351.81, max: 4218.06
Date: 10-16 at 22:05:08, #particle: 15, iter: 16, fix: false, local: true, cut car: true, new generate: true, Khoo: 2038.56, best obj: 2922.52(8), mean: 3111.99, max: 3403.33
Date: 10-16 at 22:08:56, #particle: 15, iter: 17, fix: false, local: true, cut car: true, new generate: true, Khoo: 2038.56, best obj: 2853.22(8), mean: 3039.27, max: 3155.57
Date: 10-16 at 22:12:48, #particle: 15, iter: 18, fix: false, local: true, cut car: true, new generate: true, Khoo: 2038.56, best obj: 2828.86(8), mean: 3111.84, max: 3259.18
Date: 10-16 at 22:15:37, #particle: 15, iter: 19, fix: false, local: true, cut car: true, new generate: true, Khoo: 2038.56, best obj: 2808.82(8), mean: 3262.47, max: 3579.03
Date: 10-16 at 22:19:05, #particle: 15, iter: 20, fix: false, local: true, cut car: true, new generate: true, Khoo: 2038.56, best obj: 2775.52(8), mean: 3422.60, max: 3761.93
Date: 10-16 at 22:22:40, #particle: 15, iter: 21, fix: false, local: true, cut car: true, new generate: true, Khoo: 2038.56, best obj: 2771.28(8), mean: 3420.55, max: 3890.83
Date: 10-16 at 22:27:04, #particle: 15, iter: 22, fix: false, local: true, cut car: true, new generate: true, Khoo: 2038.56, best obj: 2755.52(8), mean: 3299.32, max: 3906.00
Date: 10-16 at 22:31:50, #particle: 15, iter: 23, fix: false, local: true, cut car: true, new generate: true, Khoo: 2038.56, best obj: 2728.87(8), mean: 2977.38, max: 3305.92
Date: 10-16 at 22:36:01, #particle: 15, iter: 24, fix: false, local: true, cut car: true, new generate: true, Khoo: 2038.56, best obj: 2650.62(8), mean: 3016.30, max: 3289.01
Date: 10-16 at 22:40:13, #particle: 15, iter: 25, fix: false, local: true, cut car: true, new generate: true, Khoo: 2038.56, best obj: 2642.29(8), mean: 2996.68, max: 3399.11
Date: 10-16 at 22:43:34, #particle: 15, iter: 26, fix: false, local: true, cut car: true, new generate: true, Khoo: 2038.56, best obj: 2634.78(8), mean: 3069.34, max: 3439.90
Date: 10-16 at 22:47:41, #particle: 15, iter: 27, fix: false, local: true, cut car: true, new generate: true, Khoo: 2038.56, best obj: 2629.09(8), mean: 3030.72, max: 3318.34
Date: 10-16 at 22:51:09, #particle: 15, iter: 28, fix: false, local: true, cut car: true, new generate: true, Khoo: 2038.56, best obj: 2613.34(8), mean: 3011.13, max: 3563.81
Date: 10-16 at 22:55:21, #particle: 15, iter: 29, fix: false, local: true, cut car: true, new generate: true, Khoo: 2038.56, best obj: 2559.90(8), mean: 2874.70, max: 3339.49
Date: 10-16 at 22:58:50, #particle: 15, iter: 30, fix: false, local: true, cut car: true, new generate: true, Khoo: 2038.56, best obj: 2549.17(8), mean: 2890.88, max: 3179.89
Date: 10-16 at 23:03:05, #particle: 15, iter: 31, fix: false, local: true, cut car: true, new generate: true, Khoo: 2038.56, best obj: 2518.15(8), mean: 2743.49, max: 3021.46
Date: 10-16 at 23:05:52, #particle: 15, iter: 32, fix: false, local: true, cut car: true, new generate: true, Khoo: 2038.56, best obj: 2503.86(8), mean: 2933.30, max: 3115.50
Date: 10-16 at 23:10:16, #particle: 15, iter: 33, fix: false, local: true, cut car: true, new generate: true, Khoo: 2038.56, best obj: 2503.86(8), mean: 2742.11, max: 3008.21
Date: 10-16 at 23:13:58, #particle: 15, iter: 34, fix: false, local: true, cut car: true, new generate: true, Khoo: 2038.56, best obj: 2503.86(8), mean: 2841.29, max: 3107.72
Date: 10-16 at 23:17:38, #particle: 15, iter: 35, fix: false, local: true, cut car: true, new generate: true, Khoo: 2038.56, best obj: 2503.86(8), mean: 2833.25, max: 3231.53
Date: 10-16 at 23:21:44, #particle: 15, iter: 36, fix: false, local: true, cut car: true, new generate: true, Khoo: 2038.56, best obj: 2503.86(8), mean: 2774.97, max: 3005.12
Date: 10-16 at 23:25:54, #particle: 15, iter: 38, fix: false, local: true, cut car: true, new generate: true, Khoo: 2038.56, best obj: 2503.86(8), mean: 2974.15, max: 3499.36
Date: 10-16 at 23:29:15, #particle: 15, iter: 39, fix: false, local: true, cut car: true, new generate: true, Khoo: 2038.56, best obj: 2503.86(8), mean: 2963.70, max: 3764.35
Date: 10-16 at 23:32:49, #particle: 15, iter: 40, fix: false, local: true, cut car: true, new generate: true, Khoo: 2038.56, best obj: 2503.86(8), mean: 2921.46, max: 3333.01
Date: 10-16 at 23:35:49, #particle: 15, iter: 41, fix: false, local: true, cut car: true, new generate: true, Khoo: 2038.56, best obj: 2503.86(8), mean: 2765.82, max: 3321.05
Date: 10-16 at 23:39:18, #particle: 15, iter: 43, fix: false, local: true, cut car: true, new generate: true, Khoo: 2038.56, best obj: 2503.86(8), mean: 3007.77, max: 3666.04
Date: 10-16 at 23:43:43, #particle: 15, iter: 45, fix: false, local: true, cut car: true, new generate: true, Khoo: 2038.56, best obj: 2503.86(8), mean: 7744.03, max: 9351.94
Date: 10-16 at 23:47:09, #particle: 15, iter: 46, fix: false, local: true, cut car: true, new generate: true, Khoo: 2038.56, best obj: 2503.86(8), mean: 3170.73, max: 3493.54
Date: 10-16 at 23:50:56, #particle: 15, iter: 47, fix: false, local: true, cut car: true, new generate: true, Khoo: 2038.56, best obj: 2503.86(8), mean: 3252.59, max: 3591.00
Date: 10-16 at 23:54:14, #particle: 15, iter: 49, fix: false, local: true, cut car: true, new generate: true, Khoo: 2038.56, best obj: 2503.86(8), mean: 3637.83, max: 4252.93
Date: 10-16 at 23:57:05, #particle: 15, iter: 50, fix: false, local: true, cut car: true, new generate: true, Khoo: 2038.56, best obj: 2503.86(8), mean: 3484.05, max: 4314.29
Date: 10-17 at 00:01:10, #particle: 15, iter: 51, fix: false, local: true, cut car: true, new generate: true, Khoo: 2038.56, best obj: 2503.86(8), mean: 3115.06, max: 3910.78
