Date: 10-06 at 20:06:47, #particle: 15, iter: 1, fix: false, local: true, cut car: true, new generate: true, Khoo: 1.0e15, best obj: 135305.00(12), mean: 239995.47, max: 325601.00
Date: 10-06 at 22:04:13, #particle: 15, iter: 2, fix: false, local: true, cut car: true, new generate: true, Khoo: 1.0e15, best obj: 127823.00(12), mean: 217747.40, max: 317894.00
Date: 10-06 at 23:44:26, #particle: 15, iter: 3, fix: false, local: true, cut car: true, new generate: true, Khoo: 1.0e15, best obj: 123961.00(12), mean: 210504.87, max: 294845.00
Date: 10-07 at 01:21:22, #particle: 15, iter: 4, fix: false, local: true, cut car: true, new generate: true, Khoo: 1.0e15, best obj: 123065.00(12), mean: 190672.60, max: 239768.00
Date: 10-07 at 03:22:05, #particle: 15, iter: 5, fix: false, local: true, cut car: true, new generate: true, Khoo: 1.0e15, best obj: 122708.00(12), mean: 190478.27, max: 238267.00
Date: 10-07 at 05:26:25, #particle: 15, iter: 6, fix: false, local: true, cut car: true, new generate: true, Khoo: 1.0e15, best obj: 122708.00(12), mean: 190454.07, max: 236205.00
Date: 10-07 at 07:47:11, #particle: 15, iter: 7, fix: false, local: true, cut car: true, new generate: true, Khoo: 1.0e15, best obj: 122708.00(12), mean: 155198.40, max: 219084.00
Date: 10-07 at 10:21:23, #particle: 15, iter: 8, fix: false, local: true, cut car: true, new generate: true, Khoo: 1.0e15, best obj: 122708.00(12), mean: 156220.87, max: 218025.00
Date: 10-07 at 12:44:58, #particle: 15, iter: 9, fix: false, local: true, cut car: true, new generate: true, Khoo: 1.0e15, best obj: 122708.00(12), mean: 158412.27, max: 218984.00
Date: 10-07 at 14:49:44, #particle: 15, iter: 11, fix: false, local: true, cut car: true, new generate: true, Khoo: 1.0e15, best obj: 122708.00(12), mean: 166650.33, max: 215002.00
Date: 10-07 at 16:53:48, #particle: 15, iter: 12, fix: false, local: true, cut car: true, new generate: true, Khoo: 1.0e15, best obj: 122708.00(12), mean: 170967.73, max: 207278.00
Date: 10-07 at 19:29:36, #particle: 15, iter: 13, fix: false, local: true, cut car: true, new generate: true, Khoo: 1.0e15, best obj: 122708.00(12), mean: 159331.40, max: 207278.00
Date: 10-07 at 21:42:47, #particle: 15, iter: 14, fix: false, local: true, cut car: true, new generate: true, Khoo: 1.0e15, best obj: 122708.00(12), mean: 152897.40, max: 207278.00
Date: 10-07 at 23:43:26, #particle: 15, iter: 16, fix: false, local: true, cut car: true, new generate: true, Khoo: 1.0e15, best obj: 122708.00(12), mean: 150938.13, max: 192636.00
Date: 10-08 at 02:06:34, #particle: 15, iter: 17, fix: false, local: true, cut car: true, new generate: true, Khoo: 1.0e15, best obj: 122708.00(12), mean: 141650.73, max: 169718.00
