Date: 09-04 at 20:10:38, #particle: 15, iter: 1, fix: false, local: true, cut car: true, new generate: true, Khoo: 938.2, best obj: 1234.03(12), mean: 2174.70, max: 2904.01
Date: 09-04 at 20:11:30, #particle: 15, iter: 2, fix: false, local: true, cut car: true, new generate: true, Khoo: 938.2, best obj: 1186.51(12), mean: 2154.18, max: 2777.29
Date: 09-04 at 20:12:18, #particle: 15, iter: 3, fix: false, local: true, cut car: true, new generate: true, Khoo: 938.2, best obj: 1145.55(12), mean: 1955.47, max: 2694.25
Date: 09-04 at 20:13:07, #particle: 15, iter: 4, fix: false, local: true, cut car: true, new generate: true, Khoo: 938.2, best obj: 1083.43(12), mean: 1825.01, max: 2626.36
Date: 09-04 at 20:14:06, #particle: 15, iter: 5, fix: false, local: true, cut car: true, new generate: true, Khoo: 938.2, best obj: 1072.73(12), mean: 1153.57, max: 1220.79
Date: 09-04 at 20:14:49, #particle: 15, iter: 6, fix: false, local: true, cut car: true, new generate: true, Khoo: 938.2, best obj: 1062.02(12), mean: 1193.73, max: 1284.17
Date: 09-04 at 20:15:32, #particle: 15, iter: 7, fix: false, local: true, cut car: true, new generate: true, Khoo: 938.2, best obj: 1054.35(12), mean: 1219.61, max: 1320.30
Date: 09-04 at 20:16:23, #particle: 15, iter: 8, fix: false, local: true, cut car: true, new generate: true, Khoo: 938.2, best obj: 1050.31(12), mean: 1155.65, max: 1326.38
Date: 09-04 at 20:17:10, #particle: 15, iter: 9, fix: false, local: true, cut car: true, new generate: true, Khoo: 938.2, best obj: 1018.82(11), mean: 1135.19, max: 1198.30
Date: 09-04 at 20:18:05, #particle: 15, iter: 10, fix: false, local: true, cut car: true, new generate: true, Khoo: 938.2, best obj: 1018.82(11), mean: 1117.08, max: 1183.88
Date: 09-04 at 20:18:48, #particle: 15, iter: 11, fix: false, local: true, cut car: true, new generate: true, Khoo: 938.2, best obj: 1018.82(11), mean: 1153.94, max: 1231.97
Date: 09-04 at 20:19:35, #particle: 15, iter: 12, fix: false, local: true, cut car: true, new generate: true, Khoo: 938.2, best obj: 1018.82(11), mean: 1135.94, max: 1263.81
Date: 09-04 at 20:20:24, #particle: 15, iter: 13, fix: false, local: true, cut car: true, new generate: true, Khoo: 938.2, best obj: 1018.82(11), mean: 1086.57, max: 1184.14
Date: 09-04 at 20:21:13, #particle: 15, iter: 15, fix: false, local: true, cut car: true, new generate: true, Khoo: 938.2, best obj: 1018.82(11), mean: 1242.98, max: 1469.17
Date: 09-04 at 20:22:01, #particle: 15, iter: 16, fix: false, local: true, cut car: true, new generate: true, Khoo: 938.2, best obj: 1018.82(11), mean: 1146.13, max: 1336.59
Date: 09-04 at 20:22:51, #particle: 15, iter: 17, fix: false, local: true, cut car: true, new generate: true, Khoo: 938.2, best obj: 1018.82(11), mean: 1126.63, max: 1285.34
Date: 09-04 at 20:23:44, #particle: 15, iter: 18, fix: false, local: true, cut car: true, new generate: true, Khoo: 938.2, best obj: 1018.82(11), mean: 1084.03, max: 1146.21
Date: 09-04 at 20:24:29, #particle: 15, iter: 20, fix: false, local: true, cut car: true, new generate: true, Khoo: 938.2, best obj: 1018.82(11), mean: 1230.43, max: 1419.69
Date: 09-04 at 20:25:19, #particle: 15, iter: 22, fix: false, local: true, cut car: true, new generate: true, Khoo: 938.2, best obj: 1018.82(11), mean: 1909.75, max: 2222.96
Date: 09-04 at 20:26:09, #particle: 15, iter: 23, fix: false, local: true, cut car: true, new generate: true, Khoo: 938.2, best obj: 1018.82(11), mean: 1159.19, max: 1230.59
Date: 09-04 at 20:26:59, #particle: 15, iter: 24, fix: false, local: true, cut car: true, new generate: true, Khoo: 938.2, best obj: 1018.82(11), mean: 1138.44, max: 1245.77
Date: 09-04 at 20:27:44, #particle: 15, iter: 26, fix: false, local: true, cut car: true, new generate: true, Khoo: 938.2, best obj: 1018.82(11), mean: 1245.60, max: 1395.69
Date: 09-04 at 20:28:34, #particle: 15, iter: 27, fix: false, local: true, cut car: true, new generate: true, Khoo: 938.2, best obj: 1018.82(11), mean: 1191.02, max: 1385.58
Date: 09-04 at 20:29:21, #particle: 15, iter: 28, fix: false, local: true, cut car: true, new generate: true, Khoo: 938.2, best obj: 1018.82(11), mean: 1087.85, max: 1179.48
Date: 09-04 at 20:30:15, #particle: 15, iter: 29, fix: false, local: true, cut car: true, new generate: true, Khoo: 938.2, best obj: 1018.82(11), mean: 1104.94, max: 1218.92
Date: 09-04 at 20:30:59, #particle: 15, iter: 31, fix: false, local: true, cut car: true, new generate: true, Khoo: 938.2, best obj: 1008.28(11), mean: 1198.51, max: 1419.83
Date: 09-04 at 20:31:48, #particle: 15, iter: 32, fix: false, local: true, cut car: true, new generate: true, Khoo: 938.2, best obj: 1008.28(11), mean: 1112.03, max: 1253.08
Date: 09-04 at 20:32:36, #particle: 15, iter: 34, fix: false, local: true, cut car: true, new generate: true, Khoo: 938.2, best obj: 1008.28(11), mean: 1875.46, max: 2365.46
Date: 09-04 at 20:33:29, #particle: 15, iter: 35, fix: false, local: true, cut car: true, new generate: true, Khoo: 938.2, best obj: 1008.28(11), mean: 1163.54, max: 1233.28
Date: 09-04 at 20:34:17, #particle: 15, iter: 37, fix: false, local: true, cut car: true, new generate: true, Khoo: 938.2, best obj: 1008.28(11), mean: 1283.40, max: 1476.26
Date: 09-04 at 20:35:00, #particle: 15, iter: 38, fix: false, local: true, cut car: true, new generate: true, Khoo: 938.2, best obj: 1008.28(11), mean: 1313.56, max: 1524.17
Date: 09-04 at 20:35:48, #particle: 15, iter: 39, fix: false, local: true, cut car: true, new generate: true, Khoo: 938.2, best obj: 1008.28(11), mean: 1156.53, max: 1487.39
Date: 09-04 at 20:36:33, #particle: 15, iter: 40, fix: false, local: true, cut car: true, new generate: true, Khoo: 938.2, best obj: 1008.28(11), mean: 1103.09, max: 1303.64
Date: 09-04 at 20:37:21, #particle: 15, iter: 42, fix: false, local: true, cut car: true, new generate: true, Khoo: 938.2, best obj: 1008.28(11), mean: 1193.94, max: 1447.91
Date: 09-04 at 20:38:10, #particle: 15, iter: 43, fix: false, local: true, cut car: true, new generate: true, Khoo: 938.2, best obj: 1008.28(11), mean: 1143.00, max: 1495.10
Date: 09-04 at 20:38:57, #particle: 15, iter: 44, fix: false, local: true, cut car: true, new generate: true, Khoo: 938.2, best obj: 997.94(11), mean: 1053.35, max: 1295.63
Date: 09-04 at 20:39:46, #particle: 15, iter: 45, fix: false, local: true, cut car: true, new generate: true, Khoo: 938.2, best obj: 992.43(11), mean: 1070.18, max: 1270.24
Date: 09-04 at 20:40:28, #particle: 15, iter: 46, fix: false, local: true, cut car: true, new generate: true, Khoo: 938.2, best obj: 992.43(11), mean: 1079.70, max: 1181.00
Date: 09-04 at 20:41:17, #particle: 15, iter: 47, fix: false, local: true, cut car: true, new generate: true, Khoo: 938.2, best obj: 984.38(11), mean: 1007.46, max: 1050.38
Date: 09-04 at 20:42:00, #particle: 15, iter: 48, fix: false, local: true, cut car: true, new generate: true, Khoo: 938.2, best obj: 984.38(11), mean: 1027.90, max: 1093.33
Date: 09-04 at 20:42:49, #particle: 15, iter: 49, fix: false, local: true, cut car: true, new generate: true, Khoo: 938.2, best obj: 983.10(11), mean: 995.55, max: 1039.89
Date: 09-04 at 20:43:36, #particle: 15, iter: 50, fix: false, local: true, cut car: true, new generate: true, Khoo: 938.2, best obj: 983.02(11), mean: 995.71, max: 1024.22
Date: 09-04 at 20:44:27, #particle: 15, iter: 51, fix: false, local: true, cut car: true, new generate: true, Khoo: 938.2, best obj: 983.02(11), mean: 1018.64, max: 1049.02
