Date: 08-03 at 11:39:11, #particle: 20, iter: 1, fix: false, local: true, cut car: true, new generate: true, Khoo: 1212.83, best obj: 1550.53(14), mean: 2739.67, max: 3076.69
Date: 08-03 at 11:39:51, #particle: 20, iter: 2, fix: false, local: true, cut car: true, new generate: true, Khoo: 1212.83, best obj: 1521.34(14), mean: 2504.40, max: 3070.69
Date: 08-03 at 11:40:31, #particle: 20, iter: 3, fix: false, local: true, cut car: true, new generate: true, Khoo: 1212.83, best obj: 1518.68(14), mean: 2378.96, max: 3043.71
Date: 08-03 at 11:41:12, #particle: 20, iter: 4, fix: false, local: true, cut car: true, new generate: true, Khoo: 1212.83, best obj: 1518.68(14), mean: 2236.70, max: 3010.57
Date: 08-03 at 11:41:56, #particle: 20, iter: 5, fix: false, local: true, cut car: true, new generate: true, Khoo: 1212.83, best obj: 1518.68(14), mean: 2128.36, max: 2996.38
Date: 08-03 at 11:42:40, #particle: 20, iter: 6, fix: false, local: true, cut car: true, new generate: true, Khoo: 1212.83, best obj: 1497.92(16), mean: 2131.40, max: 2940.74
Date: 08-03 at 11:43:24, #particle: 20, iter: 7, fix: false, local: true, cut car: true, new generate: true, Khoo: 1212.83, best obj: 1466.98(15), mean: 2033.57, max: 2947.95
Date: 08-03 at 11:44:10, #particle: 20, iter: 8, fix: false, local: true, cut car: true, new generate: true, Khoo: 1212.83, best obj: 1463.17(15), mean: 1789.97, max: 2910.76
Date: 08-03 at 11:44:49, #particle: 20, iter: 9, fix: false, local: true, cut car: true, new generate: true, Khoo: 1212.83, best obj: 1447.53(15), mean: 1796.76, max: 2921.08
Date: 08-03 at 11:45:32, #particle: 20, iter: 10, fix: false, local: true, cut car: true, new generate: true, Khoo: 1212.83, best obj: 1422.91(15), mean: 1656.65, max: 1908.95
Date: 08-03 at 11:46:18, #particle: 20, iter: 11, fix: false, local: true, cut car: true, new generate: true, Khoo: 1212.83, best obj: 1422.70(15), mean: 1504.18, max: 1576.20
Date: 08-03 at 11:47:00, #particle: 20, iter: 12, fix: false, local: true, cut car: true, new generate: true, Khoo: 1212.83, best obj: 1422.70(15), mean: 1537.13, max: 1645.27
