Date: 07-04 at 22:34:40, iter: 1, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1834.10(7) mean: 3547.30, max: 4721.21
Date: 07-04 at 22:36:06, iter: 2, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1682.02(12) mean: 3431.48, max: 4565.96
Date: 07-04 at 22:37:36, iter: 3, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1594.43(12) mean: 3046.64, max: 4476.51
Date: 07-04 at 22:38:55, iter: 4, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1581.94(11) mean: 2582.46, max: 4187.76
Date: 07-04 at 22:40:23, iter: 5, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1581.17(11) mean: 2572.05, max: 4139.15
Date: 07-04 at 22:41:37, iter: 6, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1576.08(11) mean: 2150.03, max: 3258.64
Date: 07-04 at 22:43:08, iter: 7, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1576.08(11) mean: 2031.98, max: 3104.25
Date: 07-04 at 22:44:32, iter: 8, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1576.08(11) mean: 1977.74, max: 3055.64
Date: 07-04 at 22:45:54, iter: 9, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1566.72(11) mean: 1698.35, max: 1809.94
Date: 07-04 at 22:47:18, iter: 10, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1547.66(11) mean: 1720.96, max: 1875.08
Date: 07-04 at 22:48:28, iter: 11, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1523.29(10) mean: 1759.69, max: 1923.31
Date: 07-04 at 22:49:51, iter: 12, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1494.13(10) mean: 1641.88, max: 1861.37
Date: 07-04 at 22:51:16, iter: 13, fix: false, local: true, cut car: true, new generate: true, Khoo: 1134.91 best obj: 1485.56(10) mean: 1638.94, max: 1929.33
