Date: 07-24 at 22:39:36, #particle: 15, iter: 1, fix: false, local: true, cut car: true, new generate: true, Khoo: 1095.64, best obj: 1566.88(6), mean: 3219.06, max: 4178.62
Date: 07-24 at 22:40:04, #particle: 15, iter: 2, fix: false, local: true, cut car: true, new generate: true, Khoo: 1095.64, best obj: 1502.78(5), mean: 2852.73, max: 3504.61
Date: 07-24 at 22:40:42, #particle: 15, iter: 3, fix: false, local: true, cut car: true, new generate: true, Khoo: 1095.64, best obj: 1416.56(8), mean: 1942.32, max: 2776.10
Date: 07-24 at 22:41:26, #particle: 15, iter: 4, fix: false, local: true, cut car: true, new generate: true, Khoo: 1095.64, best obj: 1336.81(7), mean: 1837.06, max: 2552.26
Date: 07-24 at 22:42:22, #particle: 15, iter: 5, fix: false, local: true, cut car: true, new generate: true, Khoo: 1095.64, best obj: 1277.20(7), mean: 1708.05, max: 2295.53
Date: 07-24 at 22:43:10, #particle: 15, iter: 6, fix: false, local: true, cut car: true, new generate: true, Khoo: 1095.64, best obj: 1276.84(7), mean: 1553.83, max: 2297.97
Date: 07-24 at 22:44:04, #particle: 15, iter: 7, fix: false, local: true, cut car: true, new generate: true, Khoo: 1095.64, best obj: 1276.84(7), mean: 1441.42, max: 2025.07
Date: 07-24 at 22:44:50, #particle: 15, iter: 8, fix: false, local: true, cut car: true, new generate: true, Khoo: 1095.64, best obj: 1276.84(7), mean: 1380.13, max: 1462.48
Date: 07-24 at 22:45:44, #particle: 15, iter: 9, fix: false, local: true, cut car: true, new generate: true, Khoo: 1095.64, best obj: 1276.84(7), mean: 1361.97, max: 1456.32
Date: 07-24 at 22:46:42, #particle: 15, iter: 10, fix: false, local: true, cut car: true, new generate: true, Khoo: 1095.64, best obj: 1238.15(8), mean: 1312.39, max: 1392.64
Date: 07-24 at 22:47:42, #particle: 15, iter: 11, fix: false, local: true, cut car: true, new generate: true, Khoo: 1095.64, best obj: 1226.76(9), mean: 1284.89, max: 1335.23
Date: 07-24 at 22:48:26, #particle: 15, iter: 12, fix: false, local: true, cut car: true, new generate: true, Khoo: 1095.64, best obj: 1223.60(9), mean: 1343.36, max: 1393.58
