Date: 07-17 at 16:01:31, iter: 1, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29 best obj: 1210.56(6) mean: 3382.85, max: 4575.26
Date: 07-17 at 16:02:07, iter: 2, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29 best obj: 1018.27(10) mean: 2054.68, max: 3693.13
Date: 07-17 at 16:02:49, iter: 3, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29 best obj: 895.77(9) mean: 1925.15, max: 3667.25
Date: 07-17 at 16:03:23, iter: 4, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29 best obj: 861.63(8) mean: 1510.47, max: 3178.84
Date: 07-17 at 16:04:05, iter: 5, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29 best obj: 861.48(8) mean: 1014.00, max: 1190.73
Date: 07-17 at 16:04:37, iter: 6, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29 best obj: 861.48(8) mean: 1086.24, max: 1263.08
Date: 07-17 at 16:05:09, iter: 7, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29 best obj: 853.31(8) mean: 930.71, max: 1132.80
Date: 07-17 at 16:05:45, iter: 8, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29 best obj: 853.31(8) mean: 984.10, max: 1173.35
Date: 07-17 at 16:06:19, iter: 9, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29 best obj: 785.71(7) mean: 880.43, max: 963.78
Date: 07-17 at 16:06:59, iter: 10, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29 best obj: 762.15(6) mean: 900.08, max: 988.72
Date: 07-17 at 16:07:28, iter: 11, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29 best obj: 762.15(6) mean: 860.57, max: 1018.60
Date: 07-17 at 16:07:58, iter: 12, fix: false, local: false, cut car: false, new generate: false, Khoo: 588.29 best obj: 762.15(6) mean: 845.57, max: 929.40
