Date: 12-18 at 14:31:49, #particle: 15, iter: 1, fix: false, local: false, cut car: false, new generate: false, Khoo: 938.2, best obj: 1166.53(13), mean: 2042.27, max: 2742.72
Date: 12-18 at 14:32:44, #particle: 15, iter: 2, fix: false, local: false, cut car: false, new generate: false, Khoo: 938.2, best obj: 1114.27(12), mean: 2041.43, max: 2677.45
Date: 12-18 at 14:33:38, #particle: 15, iter: 3, fix: false, local: false, cut car: false, new generate: false, Khoo: 938.2, best obj: 1091.71(12), mean: 2012.59, max: 2570.00
Date: 12-18 at 14:34:35, #particle: 15, iter: 4, fix: false, local: false, cut car: false, new generate: false, Khoo: 938.2, best obj: 1087.86(12), mean: 1900.76, max: 2455.67
Date: 12-18 at 14:35:39, #particle: 15, iter: 5, fix: false, local: false, cut car: false, new generate: false, Khoo: 938.2, best obj: 1087.86(12), mean: 1839.17, max: 2429.77
Date: 12-18 at 14:36:35, #particle: 15, iter: 6, fix: false, local: false, cut car: false, new generate: false, Khoo: 938.2, best obj: 1087.86(12), mean: 1747.05, max: 2424.85
Date: 12-18 at 14:37:33, #particle: 15, iter: 7, fix: false, local: false, cut car: false, new generate: false, Khoo: 938.2, best obj: 1087.86(12), mean: 1771.25, max: 2435.78
Date: 12-18 at 14:38:48, #particle: 15, iter: 8, fix: false, local: false, cut car: false, new generate: false, Khoo: 938.2, best obj: 1087.86(12), mean: 1187.65, max: 1265.43
Date: 12-18 at 14:39:43, #particle: 15, iter: 9, fix: false, local: false, cut car: false, new generate: false, Khoo: 938.2, best obj: 1083.67(13), mean: 1163.96, max: 1248.54
Date: 12-18 at 14:40:40, #particle: 15, iter: 10, fix: false, local: false, cut car: false, new generate: false, Khoo: 938.2, best obj: 1083.55(13), mean: 1171.80, max: 1290.12
Date: 12-18 at 14:41:37, #particle: 15, iter: 11, fix: false, local: false, cut car: false, new generate: false, Khoo: 938.2, best obj: 1083.55(13), mean: 1224.95, max: 1351.07
Date: 12-18 at 14:42:34, #particle: 15, iter: 12, fix: false, local: false, cut car: false, new generate: false, Khoo: 938.2, best obj: 1083.55(13), mean: 1230.02, max: 1390.53
Date: 12-18 at 14:43:30, #particle: 15, iter: 13, fix: false, local: false, cut car: false, new generate: false, Khoo: 938.2, best obj: 1083.55(13), mean: 1231.27, max: 1413.89
Date: 12-18 at 14:44:24, #particle: 15, iter: 14, fix: false, local: false, cut car: false, new generate: false, Khoo: 938.2, best obj: 1083.55(13), mean: 1230.08, max: 1386.75
Date: 12-18 at 14:45:27, #particle: 15, iter: 15, fix: false, local: false, cut car: false, new generate: false, Khoo: 938.2, best obj: 1083.55(13), mean: 1197.47, max: 1325.44
Date: 12-18 at 14:46:24, #particle: 15, iter: 16, fix: false, local: false, cut car: false, new generate: false, Khoo: 938.2, best obj: 1076.19(13), mean: 1203.02, max: 1356.83
Date: 12-18 at 14:47:24, #particle: 15, iter: 17, fix: false, local: false, cut car: false, new generate: false, Khoo: 938.2, best obj: 1072.39(13), mean: 1134.00, max: 1218.39
Date: 12-18 at 14:48:21, #particle: 15, iter: 18, fix: false, local: false, cut car: false, new generate: false, Khoo: 938.2, best obj: 1072.39(13), mean: 1133.99, max: 1256.02
Date: 12-18 at 14:49:11, #particle: 15, iter: 19, fix: false, local: false, cut car: false, new generate: false, Khoo: 938.2, best obj: 1072.39(13), mean: 1182.90, max: 1311.77
Date: 12-18 at 14:50:12, #particle: 15, iter: 20, fix: false, local: false, cut car: false, new generate: false, Khoo: 938.2, best obj: 1064.23(13), mean: 1129.71, max: 1267.26
Date: 12-18 at 14:51:11, #particle: 15, iter: 21, fix: false, local: false, cut car: false, new generate: false, Khoo: 938.2, best obj: 1059.92(13), mean: 1094.81, max: 1270.92
Date: 12-18 at 14:52:04, #particle: 15, iter: 22, fix: false, local: false, cut car: false, new generate: false, Khoo: 938.2, best obj: 1059.92(13), mean: 1117.56, max: 1171.65
Date: 12-18 at 14:53:03, #particle: 15, iter: 23, fix: false, local: false, cut car: false, new generate: false, Khoo: 938.2, best obj: 1055.68(12), mean: 1086.40, max: 1172.46
Date: 12-18 at 14:53:55, #particle: 15, iter: 24, fix: false, local: false, cut car: false, new generate: false, Khoo: 938.2, best obj: 1051.05(12), mean: 1118.17, max: 1192.69
Date: 12-18 at 14:54:47, #particle: 15, iter: 25, fix: false, local: false, cut car: false, new generate: false, Khoo: 938.2, best obj: 1050.90(12), mean: 1139.40, max: 1212.95
Date: 12-18 at 14:55:47, #particle: 15, iter: 26, fix: false, local: false, cut car: false, new generate: false, Khoo: 938.2, best obj: 1044.93(12), mean: 1060.04, max: 1085.60
Date: 12-18 at 14:56:44, #particle: 15, iter: 27, fix: false, local: false, cut car: false, new generate: false, Khoo: 938.2, best obj: 1035.29(12), mean: 1079.80, max: 1107.42
