Date: 07-03 at 09:26:05, iter: 1, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 2034.22(22) mean: 2805.95, max: 3178.25
Date: 07-03 at 09:27:39, iter: 2, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1840.22(20) mean: 2689.80, max: 3247.96
Date: 07-03 at 09:28:58, iter: 3, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1811.70(19) mean: 2598.90, max: 3147.03
Date: 07-03 at 09:30:42, iter: 4, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1809.35(19) mean: 2231.99, max: 3130.57
Date: 07-03 at 09:32:08, iter: 5, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1809.35(19) mean: 2270.37, max: 3103.00
Date: 07-03 at 09:33:35, iter: 6, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1809.35(19) mean: 2295.63, max: 3111.62
Date: 07-03 at 09:35:07, iter: 7, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1809.35(19) mean: 2336.44, max: 3127.45
Date: 07-03 at 09:36:46, iter: 8, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1809.35(19) mean: 2249.49, max: 3118.09
Date: 07-03 at 09:38:23, iter: 9, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1809.35(19) mean: 1937.94, max: 2065.25
Date: 07-03 at 09:39:49, iter: 10, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1809.35(19) mean: 1977.84, max: 2116.53
Date: 07-03 at 09:41:20, iter: 11, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1809.35(19) mean: 1981.53, max: 2197.69
Date: 07-03 at 09:43:01, iter: 12, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1798.52(19) mean: 1851.99, max: 1980.00
Date: 07-03 at 09:44:38, iter: 13, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1744.83(18) mean: 1841.19, max: 2040.07
Date: 07-03 at 09:46:04, iter: 14, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1738.11(18) mean: 1871.71, max: 2089.84
Date: 07-03 at 09:47:28, iter: 15, fix: false, local: false, cut car: false, new generate: false, Khoo: 1623.58 best obj: 1738.11(18) mean: 1876.83, max: 2069.50
