Date: 11-16 at 20:58:16, #particle: 15, iter: 1, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58, best obj: 1954.54(20), mean: 2774.91, max: 3210.16
Date: 11-16 at 20:59:50, #particle: 15, iter: 2, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58, best obj: 1828.39(19), mean: 2701.45, max: 3215.76
Date: 11-16 at 21:01:26, #particle: 15, iter: 3, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58, best obj: 1822.53(19), mean: 2354.82, max: 3212.23
Date: 11-16 at 21:02:58, #particle: 15, iter: 4, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58, best obj: 1822.53(19), mean: 2334.65, max: 3229.84
Date: 11-16 at 21:04:32, #particle: 15, iter: 5, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58, best obj: 1758.41(17), mean: 2016.65, max: 2882.85
Date: 11-16 at 21:06:00, #particle: 15, iter: 6, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58, best obj: 1758.41(17), mean: 1989.18, max: 2680.89
Date: 11-16 at 21:07:31, #particle: 15, iter: 7, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58, best obj: 1758.41(17), mean: 1990.55, max: 2728.35
Date: 11-16 at 21:09:01, #particle: 15, iter: 8, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58, best obj: 1758.41(17), mean: 1868.57, max: 1970.72
Date: 11-16 at 21:10:31, #particle: 15, iter: 9, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58, best obj: 1758.41(17), mean: 1916.12, max: 2042.87
Date: 11-16 at 21:11:59, #particle: 15, iter: 10, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58, best obj: 1758.41(17), mean: 1969.14, max: 2112.14
Date: 11-16 at 21:13:29, #particle: 15, iter: 11, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58, best obj: 1758.41(17), mean: 1935.46, max: 2104.98
Date: 11-16 at 21:15:02, #particle: 15, iter: 12, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58, best obj: 1758.41(17), mean: 1881.64, max: 2112.82
Date: 11-16 at 21:16:31, #particle: 15, iter: 13, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58, best obj: 1750.98(18), mean: 1832.04, max: 1902.51
Date: 11-16 at 21:17:58, #particle: 15, iter: 14, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58, best obj: 1746.00(17), mean: 1881.11, max: 1981.61
Date: 11-16 at 21:19:23, #particle: 15, iter: 15, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58, best obj: 1745.37(17), mean: 1924.42, max: 2033.75
Date: 11-16 at 21:20:54, #particle: 15, iter: 16, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58, best obj: 1740.43(18), mean: 1804.05, max: 1904.24
Date: 11-16 at 21:22:22, #particle: 15, iter: 17, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58, best obj: 1730.63(18), mean: 1809.53, max: 1984.97
Date: 11-16 at 21:23:50, #particle: 15, iter: 18, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58, best obj: 1730.63(18), mean: 1791.15, max: 1891.88
Date: 11-16 at 21:25:16, #particle: 15, iter: 19, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58, best obj: 1730.63(18), mean: 1807.16, max: 1961.15
Date: 11-16 at 21:26:43, #particle: 15, iter: 20, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58, best obj: 1730.63(18), mean: 1864.33, max: 2041.27
Date: 11-16 at 21:28:12, #particle: 15, iter: 21, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58, best obj: 1730.63(18), mean: 1862.96, max: 1986.54
Date: 11-16 at 21:29:46, #particle: 15, iter: 22, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58, best obj: 1730.63(18), mean: 1810.09, max: 1912.92
Date: 11-16 at 21:31:13, #particle: 15, iter: 23, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58, best obj: 1730.63(18), mean: 1786.78, max: 1854.52
Date: 11-16 at 21:32:40, #particle: 15, iter: 24, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58, best obj: 1730.63(18), mean: 1804.59, max: 1905.77
Date: 11-16 at 21:34:08, #particle: 15, iter: 25, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58, best obj: 1730.63(18), mean: 1783.74, max: 1837.16
Date: 11-16 at 21:35:35, #particle: 15, iter: 26, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58, best obj: 1730.63(18), mean: 1780.19, max: 1836.62
Date: 11-16 at 21:37:00, #particle: 15, iter: 27, fix: false, local: true, cut car: false, new generate: false, Khoo: 1623.58, best obj: 1730.63(18), mean: 1804.31, max: 1890.89
