Date: 07-08 at 19:27:52, iter: 1, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 989.77(9) mean: 3485.29, max: 4440.13
Date: 07-08 at 19:28:43, iter: 2, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 899.90(8) mean: 2976.98, max: 4294.50
Date: 07-08 at 19:29:29, iter: 3, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 898.58(8) mean: 2687.22, max: 3726.61
Date: 07-08 at 19:30:17, iter: 4, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 871.97(7) mean: 1498.60, max: 2517.31
Date: 07-08 at 19:31:05, iter: 5, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 816.87(8) mean: 1362.11, max: 2304.53
Date: 07-08 at 19:31:51, iter: 6, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 816.58(8) mean: 1286.84, max: 2032.53
Date: 07-08 at 19:32:39, iter: 7, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 816.58(8) mean: 925.50, max: 1029.49
Date: 07-08 at 19:33:30, iter: 8, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 788.85(8) mean: 881.49, max: 951.90
Date: 07-08 at 19:34:15, iter: 9, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 788.85(8) mean: 858.98, max: 972.31
Date: 07-08 at 19:35:01, iter: 10, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 788.85(8) mean: 864.99, max: 980.43
Date: 07-08 at 19:35:52, iter: 11, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 773.50(7) mean: 787.40, max: 806.91
Date: 07-08 at 19:36:39, iter: 12, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 773.50(7) mean: 785.44, max: 788.85
Date: 07-08 at 19:37:22, iter: 13, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 761.90(7) mean: 771.38, max: 773.50
Date: 07-08 at 19:38:07, iter: 14, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 761.90(7) mean: 771.18, max: 773.50
Date: 07-08 at 19:38:55, iter: 15, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 761.90(7) mean: 771.18, max: 773.50
Date: 07-08 at 19:39:41, iter: 16, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 761.90(7) mean: 771.18, max: 773.50
Date: 07-08 at 19:40:23, iter: 17, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 761.90(7) mean: 761.90, max: 761.90
Date: 07-08 at 19:41:08, iter: 19, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 761.90(7) mean: 947.89, max: 1179.49
Date: 07-08 at 19:41:55, iter: 20, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 742.30(6) mean: 806.49, max: 1131.27
Date: 07-08 at 19:42:38, iter: 21, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 742.30(6) mean: 791.29, max: 1018.76
Date: 07-08 at 19:43:21, iter: 22, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 742.30(6) mean: 779.26, max: 842.84
Date: 07-08 at 19:44:08, iter: 23, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 742.30(6) mean: 776.85, max: 826.09
Date: 07-08 at 19:44:55, iter: 24, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 742.30(6) mean: 777.14, max: 865.86
Date: 07-08 at 19:45:38, iter: 26, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 724.83(5) mean: 1006.02, max: 1253.50
Date: 07-08 at 19:46:25, iter: 27, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 720.12(5) mean: 862.17, max: 1263.75
Date: 07-08 at 19:47:08, iter: 28, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 719.10(5) mean: 803.85, max: 985.55
Date: 07-08 at 19:47:53, iter: 29, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 719.10(5) mean: 785.89, max: 942.94
Date: 07-08 at 19:48:41, iter: 30, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 719.10(5) mean: 763.90, max: 877.99
Date: 07-08 at 19:49:22, iter: 31, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 719.10(5) mean: 774.28, max: 915.95
Date: 07-08 at 19:50:05, iter: 32, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 719.10(5) mean: 766.87, max: 853.73
Date: 07-08 at 19:50:52, iter: 34, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 719.10(5) mean: 920.61, max: 1687.51
Date: 07-08 at 19:51:35, iter: 35, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 708.95(5) mean: 820.47, max: 1048.22
Date: 07-08 at 19:52:16, iter: 36, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 700.82(5) mean: 801.55, max: 986.11
Date: 07-08 at 19:53:02, iter: 37, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 697.25(5) mean: 748.10, max: 819.56
Date: 07-08 at 19:53:50, iter: 38, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 697.25(5) mean: 755.90, max: 859.27
Date: 07-08 at 19:54:32, iter: 39, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 697.25(5) mean: 748.95, max: 804.52
Date: 07-08 at 19:55:16, iter: 40, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 697.25(5) mean: 747.77, max: 802.36
Date: 07-08 at 19:56:01, iter: 41, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 697.25(5) mean: 744.82, max: 802.36
Date: 07-08 at 19:56:49, iter: 43, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 697.25(5) mean: 980.77, max: 1337.03
Date: 07-08 at 19:57:30, iter: 44, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 697.25(5) mean: 811.04, max: 1141.89
Date: 07-08 at 19:58:14, iter: 45, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 697.25(5) mean: 778.85, max: 1029.47
Date: 07-08 at 19:59:01, iter: 46, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 697.25(5) mean: 700.72, max: 727.90
Date: 07-08 at 19:59:42, iter: 48, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 697.25(5) mean: 1002.16, max: 1334.16
Date: 07-08 at 20:00:24, iter: 49, fix: false, local: false, cut car: true, new generate: false, Khoo: 591.17 best obj: 655.77(4) mean: 889.40, max: 1355.95
