Date: 11-07 at 21:14:47, #particle: 15, iter: 1, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1590.35(12), mean: 3126.48, max: 4156.13
Date: 11-07 at 21:15:51, #particle: 15, iter: 2, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1497.05(11), mean: 3115.00, max: 4113.70
Date: 11-07 at 21:16:59, #particle: 15, iter: 3, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1461.88(10), mean: 2789.58, max: 3780.45
Date: 11-07 at 21:18:08, #particle: 15, iter: 4, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1436.65(10), mean: 2639.55, max: 3577.80
Date: 11-07 at 21:19:18, #particle: 15, iter: 5, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1431.82(10), mean: 2486.49, max: 3557.14
Date: 11-07 at 21:20:24, #particle: 15, iter: 6, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1431.52(10), mean: 2548.46, max: 3625.59
Date: 11-07 at 21:21:32, #particle: 15, iter: 7, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1431.52(10), mean: 2565.31, max: 3634.07
Date: 11-07 at 21:22:44, #particle: 15, iter: 8, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1431.52(10), mean: 2377.64, max: 3425.49
Date: 11-07 at 21:24:04, #particle: 15, iter: 9, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1413.01(11), mean: 1538.48, max: 1676.44
Date: 11-07 at 21:25:11, #particle: 15, iter: 10, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1329.58(10), mean: 1594.72, max: 1751.55
Date: 11-07 at 21:26:21, #particle: 15, iter: 11, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1326.16(10), mean: 1633.61, max: 1810.28
Date: 11-07 at 21:27:30, #particle: 15, iter: 12, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1322.58(10), mean: 1640.45, max: 1832.13
Date: 11-07 at 21:28:46, #particle: 15, iter: 13, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1322.10(10), mean: 1486.48, max: 1560.54
Date: 11-07 at 21:29:58, #particle: 15, iter: 14, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1322.10(10), mean: 1467.25, max: 1567.39
Date: 11-07 at 21:31:02, #particle: 15, iter: 15, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1317.46(10), mean: 1551.72, max: 1656.30
Date: 11-07 at 21:32:10, #particle: 15, iter: 16, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1316.90(10), mean: 1591.65, max: 1760.53
Date: 11-07 at 21:33:27, #particle: 15, iter: 17, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1316.90(10), mean: 1447.72, max: 1551.91
Date: 11-07 at 21:34:34, #particle: 15, iter: 18, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1316.90(10), mean: 1457.72, max: 1586.47
Date: 11-07 at 21:35:47, #particle: 15, iter: 19, fix: false, local: false, cut car: true, new generate: false, Khoo: 1157.55, best obj: 1316.90(10), mean: 1443.55, max: 1624.58
