Date: 07-20 at 01:15:48, #particle: 35, iter: 1, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1774.93(22), mean: 2290.27, max: 2694.30
Date: 07-20 at 01:18:48, #particle: 35, iter: 2, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1713.33(22), mean: 1827.85, max: 1918.73
Date: 07-20 at 01:21:20, #particle: 35, iter: 3, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1691.29(22), mean: 1848.47, max: 1949.28
Date: 07-20 at 01:23:49, #particle: 35, iter: 4, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1686.63(21), mean: 1876.61, max: 1983.75
Date: 07-20 at 01:26:43, #particle: 35, iter: 5, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1686.63(21), mean: 1778.97, max: 1871.80
Date: 07-20 at 01:29:25, #particle: 35, iter: 6, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1686.63(21), mean: 1774.35, max: 1871.80
Date: 07-20 at 01:31:48, #particle: 35, iter: 7, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1686.63(21), mean: 1804.57, max: 1916.33
Date: 07-20 at 01:34:20, #particle: 35, iter: 8, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1686.63(21), mean: 1825.27, max: 1944.04
Date: 07-20 at 01:36:59, #particle: 35, iter: 9, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1686.63(21), mean: 1824.08, max: 1958.70
Date: 07-20 at 01:39:38, #particle: 35, iter: 10, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1685.44(21), mean: 1780.97, max: 1966.47
Date: 07-20 at 01:42:27, #particle: 35, iter: 11, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1684.37(21), mean: 1732.32, max: 1809.46
Date: 07-20 at 01:44:53, #particle: 35, iter: 12, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1684.37(21), mean: 1739.31, max: 1822.99
Date: 07-20 at 01:47:33, #particle: 35, iter: 13, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1684.37(21), mean: 1747.26, max: 1863.64
Date: 07-20 at 01:50:11, #particle: 35, iter: 14, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1684.37(21), mean: 1757.37, max: 1880.74
Date: 07-20 at 01:52:42, #particle: 35, iter: 15, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1684.37(21), mean: 1763.78, max: 1864.61
Date: 07-20 at 01:55:21, #particle: 35, iter: 16, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1684.37(21), mean: 1744.85, max: 1835.19
Date: 07-20 at 01:58:00, #particle: 35, iter: 17, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1675.10(21), mean: 1735.44, max: 1870.02
Date: 07-20 at 02:00:28, #particle: 35, iter: 18, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1674.08(21), mean: 1749.95, max: 1902.68
Date: 07-20 at 02:02:59, #particle: 35, iter: 19, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1674.08(21), mean: 1790.19, max: 1957.78
Date: 07-20 at 02:05:46, #particle: 35, iter: 20, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1673.11(21), mean: 1727.82, max: 1823.06
Date: 07-20 at 02:08:30, #particle: 35, iter: 21, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1673.11(21), mean: 1717.65, max: 1777.20
Date: 07-20 at 02:11:19, #particle: 35, iter: 22, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1673.11(21), mean: 1710.64, max: 1767.02
Date: 07-20 at 02:13:55, #particle: 35, iter: 23, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1673.11(21), mean: 1727.94, max: 1802.20
Date: 07-20 at 02:16:39, #particle: 35, iter: 24, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1673.11(21), mean: 1723.24, max: 1802.48
Date: 07-20 at 02:19:09, #particle: 35, iter: 25, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1673.11(21), mean: 1743.57, max: 1827.70
Date: 07-20 at 02:21:58, #particle: 35, iter: 26, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1672.65(21), mean: 1712.35, max: 1787.77
Date: 07-20 at 02:24:25, #particle: 35, iter: 27, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1672.65(21), mean: 1743.11, max: 1820.19
Date: 07-20 at 02:27:14, #particle: 35, iter: 28, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1672.65(21), mean: 1718.01, max: 1790.19
Date: 07-20 at 02:29:55, #particle: 35, iter: 29, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1672.65(21), mean: 1724.18, max: 1830.84
Date: 07-20 at 02:32:29, #particle: 35, iter: 30, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1672.65(21), mean: 1745.86, max: 1848.14
Date: 07-20 at 02:35:21, #particle: 35, iter: 31, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1670.59(21), mean: 1721.65, max: 1817.78
Date: 07-20 at 02:38:03, #particle: 35, iter: 32, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1670.59(21), mean: 1742.38, max: 1861.15
Date: 07-20 at 02:40:46, #particle: 35, iter: 33, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1670.59(21), mean: 1722.79, max: 1847.06
Date: 07-20 at 02:43:29, #particle: 35, iter: 34, fix: false, local: false, cut car: false, new generate: true, Khoo: 1613.59, best obj: 1670.59(21), mean: 1713.49, max: 1799.39
