Date: 11-21 at 02:03:21, #particle: 15, iter: 1, fix: false, local: false, cut car: false, new generate: true, Khoo: 1072.41, best obj: 1331.76(15), mean: 2416.30, max: 2943.64
Date: 11-21 at 02:04:36, #particle: 15, iter: 2, fix: false, local: false, cut car: false, new generate: true, Khoo: 1072.41, best obj: 1280.36(15), mean: 2259.95, max: 2806.09
Date: 11-21 at 02:05:59, #particle: 15, iter: 3, fix: false, local: false, cut car: false, new generate: true, Khoo: 1072.41, best obj: 1266.38(15), mean: 2159.45, max: 2740.47
Date: 11-21 at 02:07:15, #particle: 15, iter: 4, fix: false, local: false, cut car: false, new generate: true, Khoo: 1072.41, best obj: 1260.95(15), mean: 2032.19, max: 2677.79
Date: 11-21 at 02:08:30, #particle: 15, iter: 5, fix: false, local: false, cut car: false, new generate: true, Khoo: 1072.41, best obj: 1260.91(15), mean: 1816.20, max: 2631.64
Date: 11-21 at 02:09:43, #particle: 15, iter: 6, fix: false, local: false, cut car: false, new generate: true, Khoo: 1072.41, best obj: 1260.91(15), mean: 1830.17, max: 2537.95
Date: 11-21 at 02:11:03, #particle: 15, iter: 7, fix: false, local: false, cut car: false, new generate: true, Khoo: 1072.41, best obj: 1260.91(15), mean: 1773.19, max: 2521.12
Date: 11-21 at 02:12:29, #particle: 15, iter: 8, fix: false, local: false, cut car: false, new generate: true, Khoo: 1072.41, best obj: 1252.84(15), mean: 1334.73, max: 1446.10
Date: 11-21 at 02:13:42, #particle: 15, iter: 9, fix: false, local: false, cut car: false, new generate: true, Khoo: 1072.41, best obj: 1248.28(15), mean: 1386.25, max: 1506.20
Date: 11-21 at 02:15:03, #particle: 15, iter: 10, fix: false, local: false, cut car: false, new generate: true, Khoo: 1072.41, best obj: 1204.88(14), mean: 1266.59, max: 1327.33
Date: 11-21 at 02:16:12, #particle: 15, iter: 11, fix: false, local: false, cut car: false, new generate: true, Khoo: 1072.41, best obj: 1192.10(14), mean: 1298.51, max: 1367.37
Date: 11-21 at 02:17:22, #particle: 15, iter: 12, fix: false, local: false, cut car: false, new generate: true, Khoo: 1072.41, best obj: 1192.10(14), mean: 1342.15, max: 1414.52
Date: 11-21 at 02:18:36, #particle: 15, iter: 13, fix: false, local: false, cut car: false, new generate: true, Khoo: 1072.41, best obj: 1192.10(14), mean: 1325.75, max: 1418.58
Date: 11-21 at 02:19:58, #particle: 15, iter: 14, fix: false, local: false, cut car: false, new generate: true, Khoo: 1072.41, best obj: 1192.10(14), mean: 1267.12, max: 1309.31
Date: 11-21 at 02:21:05, #particle: 15, iter: 15, fix: false, local: false, cut car: false, new generate: true, Khoo: 1072.41, best obj: 1192.10(14), mean: 1309.85, max: 1361.56
Date: 11-21 at 02:22:11, #particle: 15, iter: 17, fix: false, local: false, cut car: false, new generate: true, Khoo: 1072.41, best obj: 1192.10(14), mean: 2244.84, max: 2673.35
Date: 11-21 at 02:23:35, #particle: 15, iter: 18, fix: false, local: false, cut car: false, new generate: true, Khoo: 1072.41, best obj: 1192.10(14), mean: 1350.05, max: 1432.68
Date: 11-21 at 02:24:41, #particle: 15, iter: 19, fix: false, local: false, cut car: false, new generate: true, Khoo: 1072.41, best obj: 1192.10(14), mean: 1393.36, max: 1496.35
Date: 11-21 at 02:25:48, #particle: 15, iter: 20, fix: false, local: false, cut car: false, new generate: true, Khoo: 1072.41, best obj: 1192.10(14), mean: 1431.29, max: 1546.96
Date: 11-21 at 02:27:03, #particle: 15, iter: 22, fix: false, local: false, cut car: false, new generate: true, Khoo: 1072.41, best obj: 1192.10(14), mean: 2172.43, max: 2576.00
Date: 11-21 at 02:28:26, #particle: 15, iter: 23, fix: false, local: false, cut car: false, new generate: true, Khoo: 1072.41, best obj: 1192.10(14), mean: 1338.05, max: 1406.70
