Date: 07-06 at 11:42:06, iter: 1, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1340.44(10) mean: 2859.63, max: 3565.86
Date: 07-06 at 11:43:10, iter: 2, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1250.19(9) mean: 2614.91, max: 3358.59
Date: 07-06 at 11:44:17, iter: 3, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1244.10(9) mean: 2275.51, max: 3105.41
Date: 07-06 at 11:45:24, iter: 4, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1241.99(9) mean: 1935.70, max: 2768.82
Date: 07-06 at 11:46:26, iter: 5, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1240.65(9) mean: 1761.35, max: 2418.26
Date: 07-06 at 11:47:29, iter: 6, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1225.17(9) mean: 1717.32, max: 2238.54
Date: 07-06 at 11:48:36, iter: 7, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1225.17(9) mean: 1753.01, max: 2263.87
Date: 07-06 at 11:49:44, iter: 8, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1225.17(9) mean: 1716.43, max: 2273.72
Date: 07-06 at 11:50:53, iter: 9, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1225.17(9) mean: 1324.69, max: 1489.26
Date: 07-06 at 11:52:00, iter: 10, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1225.17(9) mean: 1377.46, max: 1585.04
Date: 07-06 at 11:53:09, iter: 11, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1223.39(11) mean: 1277.36, max: 1343.29
Date: 07-06 at 11:54:11, iter: 12, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1215.50(11) mean: 1299.08, max: 1385.52
Date: 07-06 at 11:55:18, iter: 13, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1215.31(11) mean: 1331.53, max: 1430.60
Date: 07-06 at 11:56:26, iter: 14, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1215.31(11) mean: 1265.12, max: 1327.76
Date: 07-06 at 11:57:33, iter: 15, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1198.92(11) mean: 1292.59, max: 1380.92
Date: 07-06 at 11:58:36, iter: 16, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1198.92(11) mean: 1321.63, max: 1419.59
Date: 07-06 at 11:59:37, iter: 17, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1198.92(11) mean: 1389.37, max: 1498.47
Date: 07-06 at 12:00:44, iter: 18, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1198.92(11) mean: 1408.27, max: 1543.50
Date: 07-06 at 12:01:56, iter: 19, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1198.92(11) mean: 1289.59, max: 1411.00
Date: 07-06 at 12:02:59, iter: 20, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1198.92(11) mean: 1320.62, max: 1438.42
Date: 07-06 at 12:04:08, iter: 21, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1198.92(11) mean: 1302.73, max: 1372.05
Date: 07-06 at 12:05:16, iter: 22, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1198.92(11) mean: 1282.86, max: 1400.88
Date: 07-06 at 12:06:28, iter: 23, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1198.92(11) mean: 1244.60, max: 1302.21
Date: 07-06 at 12:07:37, iter: 24, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1198.92(11) mean: 1302.80, max: 1372.49
Date: 07-06 at 12:08:46, iter: 25, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1198.92(11) mean: 1275.81, max: 1405.48
Date: 07-06 at 12:09:53, iter: 26, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1198.92(11) mean: 1270.85, max: 1338.26
Date: 07-06 at 12:11:03, iter: 27, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1198.92(11) mean: 1254.18, max: 1358.00
Date: 07-06 at 12:12:08, iter: 28, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1198.92(11) mean: 1281.82, max: 1402.45
Date: 07-06 at 12:13:19, iter: 29, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1197.40(12) mean: 1237.25, max: 1279.77
Date: 07-06 at 12:14:22, iter: 30, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1197.40(12) mean: 1259.26, max: 1314.68
Date: 07-06 at 12:15:29, iter: 31, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1197.40(12) mean: 1269.71, max: 1349.08
Date: 07-06 at 12:16:37, iter: 32, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1197.40(12) mean: 1269.91, max: 1381.05
Date: 07-06 at 12:17:50, iter: 33, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1197.40(12) mean: 1230.86, max: 1331.86
Date: 07-06 at 12:19:00, iter: 34, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1196.83(12) mean: 1217.65, max: 1271.97
Date: 07-06 at 12:20:08, iter: 35, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1188.78(12) mean: 1243.76, max: 1270.65
Date: 07-06 at 12:21:21, iter: 36, fix: false, local: false, cut car: false, new generate: true, Khoo: 1034.35 best obj: 1187.54(12) mean: 1226.24, max: 1255.30
