Date: 12-01 at 18:01:54, #particle: 15, iter: 1, fix: false, local: false, cut car: false, new generate: true, Khoo: 786.38, best obj: 1117.95(6), mean: 3048.42, max: 4238.86
Date: 12-01 at 18:02:43, #particle: 15, iter: 2, fix: false, local: false, cut car: false, new generate: true, Khoo: 786.38, best obj: 1046.21(6), mean: 2526.31, max: 3859.98
Date: 12-01 at 18:03:31, #particle: 15, iter: 3, fix: false, local: false, cut car: false, new generate: true, Khoo: 786.38, best obj: 996.53(6), mean: 1942.20, max: 3668.17
Date: 12-01 at 18:04:21, #particle: 15, iter: 4, fix: false, local: false, cut car: false, new generate: true, Khoo: 786.38, best obj: 991.28(6), mean: 1501.38, max: 2955.01
Date: 12-01 at 18:05:11, #particle: 15, iter: 5, fix: false, local: false, cut car: false, new generate: true, Khoo: 786.38, best obj: 972.03(8), mean: 1131.63, max: 1390.81
Date: 12-01 at 18:05:58, #particle: 15, iter: 6, fix: false, local: false, cut car: false, new generate: true, Khoo: 786.38, best obj: 928.47(7), mean: 1136.90, max: 1427.59
Date: 12-01 at 18:06:49, #particle: 15, iter: 7, fix: false, local: false, cut car: false, new generate: true, Khoo: 786.38, best obj: 913.80(7), mean: 966.68, max: 1101.52
Date: 12-01 at 18:07:36, #particle: 15, iter: 8, fix: false, local: false, cut car: false, new generate: true, Khoo: 786.38, best obj: 913.75(7), mean: 943.35, max: 989.74
Date: 12-01 at 18:08:23, #particle: 15, iter: 9, fix: false, local: false, cut car: false, new generate: true, Khoo: 786.38, best obj: 912.30(7), mean: 957.47, max: 1010.32
Date: 12-01 at 18:09:12, #particle: 15, iter: 10, fix: false, local: false, cut car: false, new generate: true, Khoo: 786.38, best obj: 912.30(7), mean: 943.34, max: 981.45
Date: 12-01 at 18:09:58, #particle: 15, iter: 11, fix: false, local: false, cut car: false, new generate: true, Khoo: 786.38, best obj: 912.30(7), mean: 940.28, max: 980.60
Date: 12-01 at 18:10:44, #particle: 15, iter: 12, fix: false, local: false, cut car: false, new generate: true, Khoo: 786.38, best obj: 912.30(7), mean: 959.09, max: 1032.11
Date: 12-01 at 18:11:33, #particle: 15, iter: 13, fix: false, local: false, cut car: false, new generate: true, Khoo: 786.38, best obj: 912.30(7), mean: 1023.54, max: 1126.34
Date: 12-01 at 18:12:23, #particle: 15, iter: 15, fix: false, local: false, cut car: false, new generate: true, Khoo: 786.38, best obj: 912.30(7), mean: 2655.97, max: 3908.46
Date: 12-01 at 18:13:13, #particle: 15, iter: 16, fix: false, local: false, cut car: false, new generate: true, Khoo: 786.38, best obj: 912.30(7), mean: 1605.69, max: 3867.29
Date: 12-01 at 18:13:58, #particle: 15, iter: 17, fix: false, local: false, cut car: false, new generate: true, Khoo: 786.38, best obj: 912.30(7), mean: 1541.26, max: 3011.96
Date: 12-01 at 18:14:41, #particle: 15, iter: 18, fix: false, local: false, cut car: false, new generate: true, Khoo: 786.38, best obj: 912.30(7), mean: 1376.79, max: 2348.86
Date: 12-01 at 18:15:28, #particle: 15, iter: 20, fix: false, local: false, cut car: false, new generate: true, Khoo: 786.38, best obj: 912.30(7), mean: 2924.18, max: 3894.09
Date: 12-01 at 18:16:17, #particle: 15, iter: 21, fix: false, local: false, cut car: false, new generate: true, Khoo: 786.38, best obj: 912.30(7), mean: 1829.91, max: 3039.88
