Date: 07-01 at 08:42:20, iter: 1, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1672.07(14) mean: 3388.64, max: 3789.13
Date: 07-01 at 08:43:15, iter: 2, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1381.99(13) mean: 2970.58, max: 3603.90
Date: 07-01 at 08:44:14, iter: 3, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1197.74(13) mean: 2930.73, max: 3562.45
Date: 07-01 at 08:45:21, iter: 4, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1121.98(13) mean: 2936.96, max: 3590.02
Date: 07-01 at 08:46:24, iter: 5, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1116.51(13) mean: 2753.76, max: 3364.65
Date: 07-01 at 08:47:29, iter: 6, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1116.51(13) mean: 2725.08, max: 3308.15
Date: 07-01 at 08:48:37, iter: 7, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1116.51(13) mean: 1396.77, max: 1510.98
Date: 07-01 at 08:49:33, iter: 8, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1116.51(13) mean: 1312.36, max: 1518.32
Date: 07-01 at 08:50:30, iter: 9, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1071.67(14) mean: 1213.09, max: 1478.19
Date: 07-01 at 08:51:25, iter: 10, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1067.76(14) mean: 1242.46, max: 1508.51
Date: 07-01 at 08:52:26, iter: 11, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1054.87(13) mean: 1134.56, max: 1285.54
Date: 07-01 at 08:53:25, iter: 12, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1044.93(13) mean: 1115.69, max: 1273.75
Date: 07-01 at 08:54:22, iter: 13, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1044.93(13) mean: 1097.92, max: 1207.57
Date: 07-01 at 08:55:20, iter: 14, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1044.93(13) mean: 1092.35, max: 1159.63
Date: 07-01 at 08:56:15, iter: 15, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1044.93(13) mean: 1110.90, max: 1196.17
Date: 07-01 at 08:57:16, iter: 16, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1044.93(13) mean: 1090.03, max: 1134.73
Date: 07-01 at 08:58:15, iter: 17, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1044.93(13) mean: 1105.35, max: 1172.37
Date: 07-01 at 08:59:13, iter: 18, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1044.93(13) mean: 1093.30, max: 1129.21
Date: 07-01 at 09:00:07, iter: 19, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1044.93(13) mean: 1098.17, max: 1205.01
Date: 07-01 at 09:01:05, iter: 20, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1044.93(13) mean: 1085.52, max: 1131.59
Date: 07-01 at 09:02:04, iter: 21, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1044.93(13) mean: 1081.93, max: 1102.59
Date: 07-01 at 09:03:09, iter: 22, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1044.93(13) mean: 1084.45, max: 1102.59
Date: 07-01 at 09:04:09, iter: 23, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1044.93(13) mean: 1084.04, max: 1102.59
Date: 07-01 at 09:05:09, iter: 24, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1028.69(13) mean: 1064.19, max: 1104.45
Date: 07-01 at 09:06:17, iter: 25, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1028.69(13) mean: 1048.91, max: 1087.09
Date: 07-01 at 09:07:19, iter: 26, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1028.69(13) mean: 1043.47, max: 1061.78
Date: 07-01 at 09:08:17, iter: 27, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1028.69(13) mean: 1042.78, max: 1064.93
Date: 07-01 at 09:09:14, iter: 28, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1028.69(13) mean: 1028.76, max: 1029.19
Date: 07-01 at 09:10:09, iter: 29, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1028.69(13) mean: 1028.69, max: 1028.69
Date: 07-01 at 09:11:09, iter: 30, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1028.69(13) mean: 1028.69, max: 1028.69
Date: 07-01 at 09:12:09, iter: 31, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1028.69(13) mean: 1028.69, max: 1028.69
Date: 07-01 at 09:13:07, iter: 32, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1028.69(13) mean: 1028.69, max: 1028.69
Date: 07-01 at 09:14:12, iter: 33, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1028.69(13) mean: 1028.69, max: 1028.69
Date: 07-01 at 09:15:12, iter: 34, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1028.69(13) mean: 1028.69, max: 1028.69
Date: 07-01 at 09:16:13, iter: 35, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1028.69(13) mean: 1028.69, max: 1028.69
Date: 07-01 at 09:17:14, iter: 36, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1028.69(13) mean: 1028.69, max: 1028.69
Date: 07-01 at 09:18:15, iter: 37, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1028.69(13) mean: 1028.69, max: 1028.69
Date: 07-01 at 09:19:16, iter: 38, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1028.69(13) mean: 1028.69, max: 1028.69
Date: 07-01 at 09:20:18, iter: 39, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1028.69(13) mean: 1028.69, max: 1028.69
Date: 07-01 at 09:21:20, iter: 40, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1028.69(13) mean: 1028.69, max: 1028.69
Date: 07-01 at 09:22:23, iter: 41, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1028.69(13) mean: 1028.69, max: 1028.69
Date: 07-01 at 09:23:36, iter: 42, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1028.69(13) mean: 1028.69, max: 1028.69
Date: 07-01 at 09:24:39, iter: 43, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1028.69(13) mean: 1028.69, max: 1028.69
Date: 07-01 at 09:25:47, iter: 44, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1028.69(13) mean: 1028.69, max: 1028.69
Date: 07-01 at 09:26:59, iter: 45, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1028.69(13) mean: 1028.69, max: 1028.69
Date: 07-01 at 09:28:12, iter: 46, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1028.69(13) mean: 1028.69, max: 1028.69
Date: 07-01 at 09:29:27, iter: 47, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1028.69(13) mean: 1028.69, max: 1028.69
Date: 07-01 at 09:30:43, iter: 48, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1028.69(13) mean: 1028.69, max: 1028.69
Date: 07-01 at 09:31:45, iter: 49, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1028.69(13) mean: 1028.69, max: 1028.69
Date: 07-01 at 09:32:44, iter: 50, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1028.69(13) mean: 1028.69, max: 1028.69
Date: 07-01 at 09:33:47, iter: 51, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1028.69(13) mean: 1028.69, max: 1028.69
Date: 07-01 at 09:34:52, iter: 52, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1028.69(13) mean: 1028.69, max: 1028.69
Date: 07-01 at 09:35:55, iter: 53, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1028.69(13) mean: 1028.69, max: 1028.69
Date: 07-01 at 09:36:58, iter: 54, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1028.69(13) mean: 1028.69, max: 1028.69
Date: 07-01 at 09:38:05, iter: 55, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1028.69(13) mean: 1028.69, max: 1028.69
Date: 07-01 at 09:39:09, iter: 56, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1028.69(13) mean: 1028.69, max: 1028.69
Date: 07-01 at 09:40:19, iter: 57, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1028.69(13) mean: 1028.69, max: 1028.69
Date: 07-01 at 09:41:29, iter: 58, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1028.69(13) mean: 1028.69, max: 1028.69
Date: 07-01 at 09:42:39, iter: 59, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1028.69(13) mean: 1028.69, max: 1028.69
Date: 07-01 at 09:43:49, iter: 60, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1028.69(13) mean: 1028.69, max: 1028.69
Date: 07-01 at 09:45:00, iter: 61, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1028.69(13) mean: 1028.69, max: 1028.69
Date: 07-01 at 09:46:08, iter: 62, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1028.69(13) mean: 1028.69, max: 1028.69
Date: 07-01 at 09:47:27, iter: 63, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1028.69(13) mean: 1028.69, max: 1028.69
Date: 07-01 at 09:48:40, iter: 64, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1028.69(13) mean: 1028.69, max: 1028.69
Date: 07-01 at 09:49:55, iter: 65, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1028.69(13) mean: 1028.69, max: 1028.69
Date: 07-01 at 09:51:13, iter: 66, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1028.69(13) mean: 1028.69, max: 1028.69
Date: 07-01 at 09:52:34, iter: 67, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1028.69(13) mean: 1028.69, max: 1028.69
Date: 07-01 at 09:53:50, iter: 68, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1028.69(13) mean: 1028.69, max: 1028.69
Date: 07-01 at 09:55:12, iter: 69, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1028.69(13) mean: 1028.69, max: 1028.69
Date: 07-01 at 09:56:34, iter: 70, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1028.69(13) mean: 1028.69, max: 1028.69
Date: 07-01 at 09:57:53, iter: 71, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1028.69(13) mean: 1028.69, max: 1028.69
Date: 07-01 at 09:59:17, iter: 72, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1028.69(13) mean: 1028.69, max: 1028.69
Date: 07-01 at 10:00:36, iter: 73, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1028.69(13) mean: 1028.69, max: 1028.69
Date: 07-01 at 10:02:06, iter: 75, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1028.69(13) mean: 2114.02, max: 3696.43
Date: 07-01 at 10:03:33, iter: 76, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1028.69(13) mean: 1203.24, max: 1540.99
Date: 07-01 at 10:05:12, iter: 77, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1028.69(13) mean: 1218.60, max: 1569.69
Date: 07-01 at 10:06:50, iter: 78, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1028.69(13) mean: 1197.34, max: 1595.58
Date: 07-01 at 10:08:31, iter: 79, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1028.69(13) mean: 1124.76, max: 1382.98
Date: 07-01 at 10:09:57, iter: 80, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1028.69(13) mean: 1117.03, max: 1375.28
Date: 07-01 at 10:11:25, iter: 81, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1023.63(12) mean: 1095.06, max: 1250.87
Date: 07-01 at 10:13:05, iter: 82, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1021.30(12) mean: 1117.83, max: 1253.85
Date: 07-01 at 10:14:38, iter: 83, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1021.30(12) mean: 1095.48, max: 1241.14
Date: 07-01 at 10:16:10, iter: 84, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 1021.30(12) mean: 1067.36, max: 1171.32
Date: 07-01 at 10:17:46, iter: 85, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 994.78(12) mean: 1059.49, max: 1136.57
Date: 07-01 at 10:19:17, iter: 86, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 994.78(12) mean: 1023.02, max: 1122.99
Date: 07-01 at 10:20:49, iter: 87, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 994.78(12) mean: 1024.45, max: 1090.36
Date: 07-01 at 10:22:25, iter: 88, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 994.78(12) mean: 1010.10, max: 1048.59
Date: 07-01 at 10:24:01, iter: 89, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 994.78(12) mean: 998.78, max: 1026.05
Date: 07-01 at 10:25:30, iter: 90, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94 best obj: 994.78(12) mean: 998.30, max: 1026.05
