Date: 12-19 at 22:29:43, #particle: 15, iter: 1, fix: false, local: true, cut car: false, new generate: false, Khoo: 591.56, best obj: 1219.44(5), mean: 3259.43, max: 3644.54
Date: 12-19 at 22:30:20, #particle: 15, iter: 2, fix: false, local: true, cut car: false, new generate: false, Khoo: 591.56, best obj: 1111.00(5), mean: 2960.15, max: 3320.14
Date: 12-19 at 22:30:52, #particle: 15, iter: 3, fix: false, local: true, cut car: false, new generate: false, Khoo: 591.56, best obj: 994.77(5), mean: 2519.52, max: 2744.28
Date: 12-19 at 22:31:24, #particle: 15, iter: 4, fix: false, local: true, cut car: false, new generate: false, Khoo: 591.56, best obj: 896.01(5), mean: 2234.79, max: 2592.31
Date: 12-19 at 22:31:57, #particle: 15, iter: 5, fix: false, local: true, cut car: false, new generate: false, Khoo: 591.56, best obj: 858.43(5), mean: 1523.88, max: 1752.90
Date: 12-19 at 22:32:37, #particle: 15, iter: 6, fix: false, local: true, cut car: false, new generate: false, Khoo: 591.56, best obj: 857.13(5), mean: 1325.12, max: 1575.43
Date: 12-19 at 22:33:23, #particle: 15, iter: 7, fix: false, local: true, cut car: false, new generate: false, Khoo: 591.56, best obj: 854.56(5), mean: 942.85, max: 1017.83
Date: 12-19 at 22:34:04, #particle: 15, iter: 8, fix: false, local: true, cut car: false, new generate: false, Khoo: 591.56, best obj: 854.56(5), mean: 924.94, max: 1079.32
Date: 12-19 at 22:34:41, #particle: 15, iter: 9, fix: false, local: true, cut car: false, new generate: false, Khoo: 591.56, best obj: 823.68(5), mean: 854.74, max: 887.13
Date: 12-19 at 22:35:16, #particle: 15, iter: 10, fix: false, local: true, cut car: false, new generate: false, Khoo: 591.56, best obj: 796.56(5), mean: 855.22, max: 922.90
Date: 12-19 at 22:35:59, #particle: 15, iter: 11, fix: false, local: true, cut car: false, new generate: false, Khoo: 591.56, best obj: 789.76(5), mean: 904.44, max: 978.46
Date: 12-19 at 22:36:36, #particle: 15, iter: 12, fix: false, local: true, cut car: false, new generate: false, Khoo: 591.56, best obj: 783.68(5), mean: 842.35, max: 897.35
Date: 12-19 at 22:37:21, #particle: 15, iter: 13, fix: false, local: true, cut car: false, new generate: false, Khoo: 591.56, best obj: 782.89(5), mean: 874.29, max: 936.50
Date: 12-19 at 22:37:52, #particle: 15, iter: 14, fix: false, local: true, cut car: false, new generate: false, Khoo: 591.56, best obj: 781.75(6), mean: 787.05, max: 794.78
Date: 12-19 at 22:38:30, #particle: 15, iter: 15, fix: false, local: true, cut car: false, new generate: false, Khoo: 591.56, best obj: 732.69(6), mean: 785.63, max: 802.38
Date: 12-19 at 22:39:01, #particle: 15, iter: 16, fix: false, local: true, cut car: false, new generate: false, Khoo: 591.56, best obj: 716.93(6), mean: 809.44, max: 830.42
Date: 12-19 at 22:39:51, #particle: 15, iter: 17, fix: false, local: true, cut car: false, new generate: false, Khoo: 591.56, best obj: 700.47(6), mean: 766.87, max: 824.81
Date: 12-19 at 22:40:41, #particle: 15, iter: 18, fix: false, local: true, cut car: false, new generate: false, Khoo: 591.56, best obj: 700.47(6), mean: 800.21, max: 864.13
Date: 12-19 at 22:41:12, #particle: 15, iter: 19, fix: false, local: true, cut car: false, new generate: false, Khoo: 591.56, best obj: 666.73(5), mean: 709.45, max: 734.72
Date: 12-19 at 22:42:05, #particle: 15, iter: 20, fix: false, local: true, cut car: false, new generate: false, Khoo: 591.56, best obj: 658.69(5), mean: 696.20, max: 726.15
Date: 12-19 at 22:42:35, #particle: 15, iter: 21, fix: false, local: true, cut car: false, new generate: false, Khoo: 591.56, best obj: 658.69(5), mean: 688.90, max: 726.15
Date: 12-19 at 22:43:08, #particle: 15, iter: 22, fix: false, local: true, cut car: false, new generate: false, Khoo: 591.56, best obj: 658.69(5), mean: 688.90, max: 726.15
Date: 12-19 at 22:43:43, #particle: 15, iter: 23, fix: false, local: true, cut car: false, new generate: false, Khoo: 591.56, best obj: 658.69(5), mean: 688.90, max: 726.15
Date: 12-19 at 22:44:19, #particle: 15, iter: 24, fix: false, local: true, cut car: false, new generate: false, Khoo: 591.56, best obj: 658.69(5), mean: 707.71, max: 758.32
Date: 12-19 at 22:44:46, #particle: 15, iter: 25, fix: false, local: true, cut car: false, new generate: false, Khoo: 591.56, best obj: 658.69(5), mean: 672.20, max: 694.38
Date: 12-19 at 22:45:15, #particle: 15, iter: 26, fix: false, local: true, cut car: false, new generate: false, Khoo: 591.56, best obj: 658.69(5), mean: 670.86, max: 689.26
Date: 12-19 at 22:46:03, #particle: 15, iter: 27, fix: false, local: true, cut car: false, new generate: false, Khoo: 591.56, best obj: 658.69(5), mean: 658.69, max: 658.69
Date: 12-19 at 22:46:39, #particle: 15, iter: 28, fix: false, local: true, cut car: false, new generate: false, Khoo: 591.56, best obj: 658.69(5), mean: 658.69, max: 658.69
Date: 12-19 at 22:47:32, #particle: 15, iter: 29, fix: false, local: true, cut car: false, new generate: false, Khoo: 591.56, best obj: 658.69(5), mean: 658.69, max: 658.69
Date: 12-19 at 22:48:00, #particle: 15, iter: 30, fix: false, local: true, cut car: false, new generate: false, Khoo: 591.56, best obj: 658.69(5), mean: 658.69, max: 658.69
