Date: 12-25 at 20:25:11, #particle: 15, iter: 1, fix: false, local: true, cut car: false, new generate: false, Khoo: 1239.37, best obj: 1496.59(17), mean: 2315.50, max: 3005.50
Date: 12-25 at 20:26:08, #particle: 15, iter: 2, fix: false, local: true, cut car: false, new generate: false, Khoo: 1239.37, best obj: 1450.12(15), mean: 2224.61, max: 2878.98
Date: 12-25 at 20:27:14, #particle: 15, iter: 3, fix: false, local: true, cut car: false, new generate: false, Khoo: 1239.37, best obj: 1424.23(15), mean: 2094.27, max: 2697.19
Date: 12-25 at 20:28:12, #particle: 15, iter: 4, fix: false, local: true, cut car: false, new generate: false, Khoo: 1239.37, best obj: 1408.05(15), mean: 1990.02, max: 2606.62
Date: 12-25 at 20:29:17, #particle: 15, iter: 5, fix: false, local: true, cut car: false, new generate: false, Khoo: 1239.37, best obj: 1402.61(15), mean: 1876.76, max: 2610.87
Date: 12-25 at 20:30:21, #particle: 15, iter: 6, fix: false, local: true, cut car: false, new generate: false, Khoo: 1239.37, best obj: 1402.61(15), mean: 1616.61, max: 2457.21
Date: 12-25 at 20:31:17, #particle: 15, iter: 7, fix: false, local: true, cut car: false, new generate: false, Khoo: 1239.37, best obj: 1402.61(15), mean: 1659.66, max: 2463.71
Date: 12-25 at 20:32:22, #particle: 15, iter: 8, fix: false, local: true, cut car: false, new generate: false, Khoo: 1239.37, best obj: 1401.64(16), mean: 1527.70, max: 1734.72
Date: 12-25 at 20:33:28, #particle: 15, iter: 9, fix: false, local: true, cut car: false, new generate: false, Khoo: 1239.37, best obj: 1353.00(15), mean: 1512.18, max: 1765.16
Date: 12-25 at 20:34:38, #particle: 15, iter: 10, fix: false, local: true, cut car: false, new generate: false, Khoo: 1239.37, best obj: 1334.02(15), mean: 1507.63, max: 1797.36
Date: 12-25 at 20:35:36, #particle: 15, iter: 11, fix: false, local: true, cut car: false, new generate: false, Khoo: 1239.37, best obj: 1329.21(15), mean: 1498.03, max: 1824.97
Date: 12-25 at 20:36:49, #particle: 15, iter: 12, fix: false, local: true, cut car: false, new generate: false, Khoo: 1239.37, best obj: 1328.42(15), mean: 1438.58, max: 1682.33
Date: 12-25 at 20:38:04, #particle: 15, iter: 13, fix: false, local: true, cut car: false, new generate: false, Khoo: 1239.37, best obj: 1323.79(15), mean: 1400.70, max: 1469.92
Date: 12-25 at 20:39:14, #particle: 15, iter: 14, fix: false, local: true, cut car: false, new generate: false, Khoo: 1239.37, best obj: 1323.79(15), mean: 1399.41, max: 1509.94
Date: 12-25 at 20:40:15, #particle: 15, iter: 15, fix: false, local: true, cut car: false, new generate: false, Khoo: 1239.37, best obj: 1323.79(15), mean: 1430.95, max: 1548.52
Date: 12-25 at 20:41:17, #particle: 15, iter: 16, fix: false, local: true, cut car: false, new generate: false, Khoo: 1239.37, best obj: 1323.79(15), mean: 1432.81, max: 1594.51
Date: 12-25 at 20:42:21, #particle: 15, iter: 17, fix: false, local: true, cut car: false, new generate: false, Khoo: 1239.37, best obj: 1323.79(15), mean: 1388.07, max: 1465.65
Date: 12-25 at 20:43:22, #particle: 15, iter: 18, fix: false, local: true, cut car: false, new generate: false, Khoo: 1239.37, best obj: 1316.97(15), mean: 1370.65, max: 1427.04
Date: 12-25 at 20:44:19, #particle: 15, iter: 19, fix: false, local: true, cut car: false, new generate: false, Khoo: 1239.37, best obj: 1313.64(15), mean: 1428.38, max: 1500.86
Date: 12-25 at 20:45:18, #particle: 15, iter: 20, fix: false, local: true, cut car: false, new generate: false, Khoo: 1239.37, best obj: 1313.64(15), mean: 1398.27, max: 1510.31
Date: 12-25 at 20:46:24, #particle: 15, iter: 21, fix: false, local: true, cut car: false, new generate: false, Khoo: 1239.37, best obj: 1313.64(15), mean: 1351.09, max: 1403.09
Date: 12-25 at 20:47:25, #particle: 15, iter: 22, fix: false, local: true, cut car: false, new generate: false, Khoo: 1239.37, best obj: 1313.64(15), mean: 1342.88, max: 1396.86
Date: 12-25 at 20:48:23, #particle: 15, iter: 23, fix: false, local: true, cut car: false, new generate: false, Khoo: 1239.37, best obj: 1309.93(15), mean: 1345.14, max: 1396.86
Date: 12-25 at 20:49:29, #particle: 15, iter: 24, fix: false, local: true, cut car: false, new generate: false, Khoo: 1239.37, best obj: 1309.93(15), mean: 1333.68, max: 1396.86
Date: 12-25 at 20:50:32, #particle: 15, iter: 25, fix: false, local: true, cut car: false, new generate: false, Khoo: 1239.37, best obj: 1309.93(15), mean: 1354.01, max: 1397.86
Date: 12-25 at 20:51:32, #particle: 15, iter: 26, fix: false, local: true, cut car: false, new generate: false, Khoo: 1239.37, best obj: 1309.93(15), mean: 1372.81, max: 1449.37
Date: 12-25 at 20:52:42, #particle: 15, iter: 27, fix: false, local: true, cut car: false, new generate: false, Khoo: 1239.37, best obj: 1296.53(15), mean: 1332.63, max: 1380.66
Date: 12-25 at 20:53:46, #particle: 15, iter: 28, fix: false, local: true, cut car: false, new generate: false, Khoo: 1239.37, best obj: 1292.92(15), mean: 1325.70, max: 1367.75
Date: 12-25 at 20:54:42, #particle: 15, iter: 29, fix: false, local: true, cut car: false, new generate: false, Khoo: 1239.37, best obj: 1292.92(15), mean: 1348.51, max: 1411.26
Date: 12-25 at 20:55:41, #particle: 15, iter: 30, fix: false, local: true, cut car: false, new generate: false, Khoo: 1239.37, best obj: 1292.92(15), mean: 1336.12, max: 1421.58
Date: 12-25 at 20:56:40, #particle: 15, iter: 31, fix: false, local: true, cut car: false, new generate: false, Khoo: 1239.37, best obj: 1292.92(15), mean: 1341.06, max: 1423.01
Date: 12-25 at 20:57:42, #particle: 15, iter: 32, fix: false, local: true, cut car: false, new generate: false, Khoo: 1239.37, best obj: 1292.92(15), mean: 1366.78, max: 1462.23
Date: 12-25 at 20:58:46, #particle: 15, iter: 33, fix: false, local: true, cut car: false, new generate: false, Khoo: 1239.37, best obj: 1292.92(15), mean: 1407.11, max: 1520.88
Date: 12-25 at 20:59:53, #particle: 15, iter: 34, fix: false, local: true, cut car: false, new generate: false, Khoo: 1239.37, best obj: 1292.92(15), mean: 1322.71, max: 1483.90
Date: 12-25 at 21:00:58, #particle: 15, iter: 35, fix: false, local: true, cut car: false, new generate: false, Khoo: 1239.37, best obj: 1292.92(15), mean: 1316.42, max: 1400.82
Date: 12-25 at 21:02:10, #particle: 15, iter: 36, fix: false, local: true, cut car: false, new generate: false, Khoo: 1239.37, best obj: 1292.92(15), mean: 1304.56, max: 1363.51
Date: 12-25 at 21:03:09, #particle: 15, iter: 37, fix: false, local: true, cut car: false, new generate: false, Khoo: 1239.37, best obj: 1292.92(15), mean: 1307.31, max: 1426.70
Date: 12-25 at 21:04:16, #particle: 15, iter: 38, fix: false, local: true, cut car: false, new generate: false, Khoo: 1239.37, best obj: 1292.92(15), mean: 1314.37, max: 1461.16
