Date: 07-05 at 12:13:32, iter: 1, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1486.15(5) mean: 3195.50, max: 3887.10
Date: 07-05 at 12:14:27, iter: 2, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1334.23(5) mean: 2349.30, max: 3145.01
Date: 07-05 at 12:15:38, iter: 3, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1284.40(5) mean: 2010.48, max: 2642.56
Date: 07-05 at 12:16:37, iter: 4, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1282.92(5) mean: 1645.90, max: 2197.13
Date: 07-05 at 12:17:45, iter: 5, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1256.50(9) mean: 1636.25, max: 2153.80
Date: 07-05 at 12:19:06, iter: 6, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1254.68(9) mean: 1642.94, max: 2157.21
Date: 07-05 at 12:20:27, iter: 7, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1254.68(9) mean: 1576.75, max: 2097.56
Date: 07-05 at 12:21:58, iter: 8, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1245.78(11) mean: 1320.11, max: 1413.58
Date: 07-05 at 12:23:08, iter: 9, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1233.34(11) mean: 1345.89, max: 1449.92
Date: 07-05 at 12:24:22, iter: 10, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1218.19(11) mean: 1332.22, max: 1436.21
Date: 07-05 at 12:25:43, iter: 11, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1211.76(10) mean: 1318.51, max: 1400.34
Date: 07-05 at 12:27:01, iter: 12, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1209.64(10) mean: 1284.62, max: 1397.40
Date: 07-05 at 12:28:22, iter: 13, fix: false, local: true, cut car: false, new generate: false, Khoo: 1034.35 best obj: 1209.64(10) mean: 1282.78, max: 1333.50
