Date: 07-09 at 16:23:49, iter: 1, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1290.72(5) mean: 3325.46, max: 4713.73
Date: 07-09 at 16:24:11, iter: 2, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1188.26(5) mean: 1942.89, max: 3164.72
Date: 07-09 at 16:24:44, iter: 3, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1174.92(5) mean: 1776.87, max: 2622.59
Date: 07-09 at 16:25:15, iter: 4, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1161.93(5) mean: 1458.29, max: 2044.27
Date: 07-09 at 16:25:36, iter: 5, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1140.86(6) mean: 1301.85, max: 1819.02
Date: 07-09 at 16:26:08, iter: 6, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1112.99(5) mean: 1232.26, max: 1451.04
Date: 07-09 at 16:26:40, iter: 7, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1112.99(5) mean: 1184.83, max: 1286.03
Date: 07-09 at 16:27:05, iter: 8, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1112.15(5) mean: 1129.00, max: 1166.07
Date: 07-09 at 16:27:37, iter: 9, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1112.03(5) mean: 1124.75, max: 1175.64
Date: 07-09 at 16:28:07, iter: 10, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1108.10(5) mean: 1117.18, max: 1141.79
Date: 07-09 at 16:28:43, iter: 11, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1108.10(5) mean: 1111.60, max: 1135.73
Date: 07-09 at 16:29:18, iter: 12, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1108.10(5) mean: 1108.65, max: 1116.25
Date: 07-09 at 16:29:46, iter: 13, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1108.10(5) mean: 1108.10, max: 1108.10
Date: 07-09 at 16:30:18, iter: 14, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1108.10(5) mean: 1108.10, max: 1108.10
Date: 07-09 at 16:30:52, iter: 15, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1108.10(5) mean: 1108.10, max: 1108.10
Date: 07-09 at 16:31:20, iter: 16, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1108.10(5) mean: 1108.10, max: 1108.10
Date: 07-09 at 16:31:50, iter: 17, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1108.10(5) mean: 1108.10, max: 1108.10
Date: 07-09 at 16:32:27, iter: 18, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1108.10(5) mean: 1108.10, max: 1108.10
Date: 07-09 at 16:33:04, iter: 19, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1108.10(5) mean: 1129.25, max: 1178.18
Date: 07-09 at 16:33:46, iter: 20, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1108.10(5) mean: 1110.30, max: 1132.87
Date: 07-09 at 16:34:18, iter: 21, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1108.10(5) mean: 1108.28, max: 1110.72
Date: 07-09 at 16:34:53, iter: 22, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1108.10(5) mean: 1109.70, max: 1132.12
Date: 07-09 at 16:35:28, iter: 23, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1108.10(5) mean: 1108.10, max: 1108.10
Date: 07-09 at 16:35:57, iter: 24, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1108.10(5) mean: 1108.10, max: 1108.10
Date: 07-09 at 16:36:32, iter: 25, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1108.10(5) mean: 1108.10, max: 1108.10
Date: 07-09 at 16:37:02, iter: 26, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1108.10(5) mean: 1108.10, max: 1108.10
Date: 07-09 at 16:37:32, iter: 27, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1108.10(5) mean: 1108.10, max: 1108.10
Date: 07-09 at 16:37:59, iter: 28, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1108.10(5) mean: 1108.10, max: 1108.10
Date: 07-09 at 16:38:31, iter: 29, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1108.10(5) mean: 1108.10, max: 1108.10
Date: 07-09 at 16:38:59, iter: 30, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1108.10(5) mean: 1108.10, max: 1108.10
Date: 07-09 at 16:39:36, iter: 31, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1108.10(5) mean: 1108.10, max: 1108.10
Date: 07-09 at 16:40:15, iter: 32, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1108.10(5) mean: 1108.10, max: 1108.10
Date: 07-09 at 16:40:56, iter: 33, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1108.10(5) mean: 1108.10, max: 1108.10
Date: 07-09 at 16:41:26, iter: 34, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1108.10(5) mean: 1108.10, max: 1108.10
Date: 07-09 at 16:42:06, iter: 35, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1108.10(5) mean: 1108.10, max: 1108.10
Date: 07-09 at 16:42:48, iter: 36, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1108.10(5) mean: 1108.10, max: 1108.10
Date: 07-09 at 16:43:13, iter: 37, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1108.10(5) mean: 1108.10, max: 1108.10
Date: 07-09 at 16:43:50, iter: 38, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1108.10(5) mean: 1108.10, max: 1108.10
Date: 07-09 at 16:44:18, iter: 39, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1108.10(5) mean: 1108.10, max: 1108.10
Date: 07-09 at 16:44:54, iter: 40, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1108.10(5) mean: 1108.10, max: 1108.10
Date: 07-09 at 16:45:27, iter: 41, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1108.10(5) mean: 1108.10, max: 1108.10
Date: 07-09 at 16:45:56, iter: 42, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1108.10(5) mean: 1108.10, max: 1108.10
Date: 07-09 at 16:46:26, iter: 43, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1108.10(5) mean: 1108.10, max: 1108.10
Date: 07-09 at 16:46:51, iter: 44, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1108.10(5) mean: 1108.10, max: 1108.10
Date: 07-09 at 16:47:22, iter: 45, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1108.10(5) mean: 1108.10, max: 1108.10
Date: 07-09 at 16:47:59, iter: 46, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1108.10(5) mean: 1108.10, max: 1108.10
Date: 07-09 at 16:48:33, iter: 47, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1108.10(5) mean: 1108.10, max: 1108.10
Date: 07-09 at 16:49:08, iter: 48, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1108.10(5) mean: 1108.10, max: 1108.10
Date: 07-09 at 16:49:39, iter: 49, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1108.10(5) mean: 1108.10, max: 1108.10
Date: 07-09 at 16:50:09, iter: 50, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1108.10(5) mean: 1108.10, max: 1108.10
Date: 07-09 at 16:50:36, iter: 51, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1108.10(5) mean: 1108.10, max: 1108.10
Date: 07-09 at 16:51:08, iter: 52, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1108.10(5) mean: 1108.10, max: 1108.10
Date: 07-09 at 16:51:41, iter: 53, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1108.10(5) mean: 1108.10, max: 1108.10
Date: 07-09 at 16:52:16, iter: 54, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1108.10(5) mean: 1108.10, max: 1108.10
Date: 07-09 at 16:52:57, iter: 55, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1108.10(5) mean: 1119.91, max: 1178.18
Date: 07-09 at 16:53:28, iter: 56, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1108.10(5) mean: 1111.19, max: 1153.26
Date: 07-09 at 16:54:04, iter: 57, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1108.10(5) mean: 1109.78, max: 1132.16
Date: 07-09 at 16:54:28, iter: 58, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1108.10(5) mean: 1109.72, max: 1131.18
Date: 07-09 at 16:55:04, iter: 59, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1108.10(5) mean: 1137.59, max: 1178.18
Date: 07-09 at 16:55:29, iter: 60, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1108.10(5) mean: 1113.55, max: 1139.46
Date: 07-09 at 16:56:00, iter: 61, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1108.10(5) mean: 1113.20, max: 1138.03
Date: 07-09 at 16:56:34, iter: 62, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1108.10(5) mean: 1114.50, max: 1160.62
Date: 07-09 at 16:56:59, iter: 63, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1108.10(5) mean: 1113.85, max: 1152.29
Date: 07-09 at 16:57:34, iter: 64, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1108.10(5) mean: 1149.05, max: 1178.18
Date: 07-09 at 16:58:08, iter: 65, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1108.10(5) mean: 1124.24, max: 1167.67
Date: 07-09 at 16:58:37, iter: 66, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1108.10(5) mean: 1123.85, max: 1238.23
Date: 07-09 at 16:59:01, iter: 67, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1108.10(5) mean: 1112.36, max: 1137.82
Date: 07-09 at 16:59:39, iter: 68, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1108.10(5) mean: 1134.76, max: 1178.18
Date: 07-09 at 17:00:11, iter: 69, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1108.10(5) mean: 1116.11, max: 1197.21
Date: 07-09 at 17:00:45, iter: 70, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1108.10(5) mean: 1111.87, max: 1138.22
Date: 07-09 at 17:01:19, iter: 71, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1108.10(5) mean: 1116.15, max: 1180.19
Date: 07-09 at 17:01:58, iter: 72, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1108.10(5) mean: 1133.45, max: 1178.18
Date: 07-09 at 17:02:40, iter: 73, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1108.10(5) mean: 1116.21, max: 1156.29
Date: 07-09 at 17:03:13, iter: 74, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1108.10(5) mean: 1117.37, max: 1155.13
Date: 07-09 at 17:03:41, iter: 75, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1108.10(5) mean: 1111.06, max: 1131.61
Date: 07-09 at 17:04:07, iter: 76, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1108.10(5) mean: 1116.39, max: 1216.12
Date: 07-09 at 17:04:36, iter: 77, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1108.10(5) mean: 1111.39, max: 1141.07
Date: 07-09 at 17:05:11, iter: 78, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1108.10(5) mean: 1113.53, max: 1136.80
Date: 07-09 at 17:05:36, iter: 79, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1108.10(5) mean: 1111.28, max: 1132.65
Date: 07-09 at 17:06:14, iter: 80, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1108.10(5) mean: 1111.52, max: 1134.57
Date: 07-09 at 17:06:47, iter: 81, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1108.10(5) mean: 1110.70, max: 1134.57
Date: 07-09 at 17:07:23, iter: 82, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1106.67(6) mean: 1108.01, max: 1108.10
Date: 07-09 at 17:07:57, iter: 83, fix: false, local: true, cut car: false, new generate: false, Khoo: 926.82 best obj: 1092.97(6) mean: 1107.09, max: 1108.10
