Date: 12-28 at 17:28:12, #particle: 15, iter: 1, fix: false, local: false, cut car: true, new generate: false, Khoo: 828.94, best obj: 1516.41(14), mean: 3281.96, max: 3834.84
Date: 12-28 at 17:29:07, #particle: 15, iter: 2, fix: false, local: false, cut car: true, new generate: false, Khoo: 828.94, best obj: 1369.81(14), mean: 3237.15, max: 3775.48
Date: 12-28 at 17:29:57, #particle: 15, iter: 3, fix: false, local: false, cut car: true, new generate: false, Khoo: 828.94, best obj: 1255.07(14), mean: 2947.26, max: 3567.46
Date: 12-28 at 17:30:47, #particle: 15, iter: 4, fix: false, local: false, cut car: true, new generate: false, Khoo: 828.94, best obj: 1244.67(14), mean: 2902.81, max: 3544.16
Date: 12-28 at 17:31:39, #particle: 15, iter: 5, fix: false, local: false, cut car: true, new generate: false, Khoo: 828.94, best obj: 1235.06(14), mean: 2708.68, max: 3416.21
Date: 12-28 at 17:32:36, #particle: 15, iter: 6, fix: false, local: false, cut car: true, new generate: false, Khoo: 828.94, best obj: 1226.81(14), mean: 2477.45, max: 3378.59
Date: 12-28 at 17:33:28, #particle: 15, iter: 7, fix: false, local: false, cut car: true, new generate: false, Khoo: 828.94, best obj: 1198.43(15), mean: 2292.31, max: 3105.43
Date: 12-28 at 17:34:22, #particle: 15, iter: 8, fix: false, local: false, cut car: true, new generate: false, Khoo: 828.94, best obj: 1174.97(14), mean: 2132.29, max: 3043.28
Date: 12-28 at 17:35:16, #particle: 15, iter: 9, fix: false, local: false, cut car: true, new generate: false, Khoo: 828.94, best obj: 1166.24(14), mean: 1984.48, max: 2942.92
Date: 12-28 at 17:36:19, #particle: 15, iter: 10, fix: false, local: false, cut car: true, new generate: false, Khoo: 828.94, best obj: 1143.24(15), mean: 1328.07, max: 1639.12
Date: 12-28 at 17:37:13, #particle: 15, iter: 11, fix: false, local: false, cut car: true, new generate: false, Khoo: 828.94, best obj: 1048.92(13), mean: 1173.89, max: 1339.59
Date: 12-28 at 17:38:06, #particle: 15, iter: 12, fix: false, local: false, cut car: true, new generate: false, Khoo: 828.94, best obj: 1006.55(13), mean: 1163.39, max: 1399.95
Date: 12-28 at 17:38:55, #particle: 15, iter: 13, fix: false, local: false, cut car: true, new generate: false, Khoo: 828.94, best obj: 999.55(13), mean: 1108.61, max: 1227.20
Date: 12-28 at 17:39:46, #particle: 15, iter: 14, fix: false, local: false, cut car: true, new generate: false, Khoo: 828.94, best obj: 999.55(13), mean: 1083.84, max: 1163.21
Date: 12-28 at 17:40:38, #particle: 15, iter: 15, fix: false, local: false, cut car: true, new generate: false, Khoo: 828.94, best obj: 999.55(13), mean: 1122.89, max: 1231.78
Date: 12-28 at 17:41:25, #particle: 15, iter: 16, fix: false, local: false, cut car: true, new generate: false, Khoo: 828.94, best obj: 966.34(13), mean: 1077.61, max: 1226.62
Date: 12-28 at 17:42:17, #particle: 15, iter: 17, fix: false, local: false, cut car: true, new generate: false, Khoo: 828.94, best obj: 900.20(12), mean: 1016.05, max: 1127.07
