Date: 12-28 at 03:01:55, #particle: 15, iter: 1, fix: false, local: false, cut car: true, new generate: false, Khoo: 797.99, best obj: 1119.99(4), mean: 3054.58, max: 3644.32
Date: 12-28 at 03:02:36, #particle: 15, iter: 2, fix: false, local: false, cut car: true, new generate: false, Khoo: 797.99, best obj: 961.95(4), mean: 2387.82, max: 3357.39
Date: 12-28 at 03:03:14, #particle: 15, iter: 3, fix: false, local: false, cut car: true, new generate: false, Khoo: 797.99, best obj: 961.74(4), mean: 2304.53, max: 3244.68
Date: 12-28 at 03:03:51, #particle: 15, iter: 4, fix: false, local: false, cut car: true, new generate: false, Khoo: 797.99, best obj: 961.74(4), mean: 1831.30, max: 2643.46
Date: 12-28 at 03:04:29, #particle: 15, iter: 5, fix: false, local: false, cut car: true, new generate: false, Khoo: 797.99, best obj: 961.74(4), mean: 1050.48, max: 1103.59
Date: 12-28 at 03:05:00, #particle: 15, iter: 6, fix: false, local: false, cut car: true, new generate: false, Khoo: 797.99, best obj: 961.74(4), mean: 1154.08, max: 1260.81
Date: 12-28 at 03:05:36, #particle: 15, iter: 7, fix: false, local: false, cut car: true, new generate: false, Khoo: 797.99, best obj: 961.74(4), mean: 1055.84, max: 1125.09
Date: 12-28 at 03:06:10, #particle: 15, iter: 9, fix: false, local: false, cut car: true, new generate: false, Khoo: 797.99, best obj: 961.74(4), mean: 1183.60, max: 1346.64
Date: 12-28 at 03:06:42, #particle: 15, iter: 10, fix: false, local: false, cut car: true, new generate: false, Khoo: 797.99, best obj: 961.74(4), mean: 1077.01, max: 1240.94
Date: 12-28 at 03:07:10, #particle: 15, iter: 11, fix: false, local: false, cut car: true, new generate: false, Khoo: 797.99, best obj: 961.74(4), mean: 1037.62, max: 1239.51
Date: 12-28 at 03:07:40, #particle: 15, iter: 12, fix: false, local: false, cut car: true, new generate: false, Khoo: 797.99, best obj: 961.74(4), mean: 1022.75, max: 1105.97
Date: 12-28 at 03:08:06, #particle: 15, iter: 14, fix: false, local: false, cut car: true, new generate: false, Khoo: 797.99, best obj: 961.38(4), mean: 1248.99, max: 1628.09
Date: 12-28 at 03:08:41, #particle: 15, iter: 15, fix: false, local: false, cut car: true, new generate: false, Khoo: 797.99, best obj: 959.27(4), mean: 1167.76, max: 1568.79
