Date: 07-11 at 03:15:09, iter: 1, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1503.57(14) mean: 2583.70, max: 3247.50
Date: 07-11 at 03:15:57, iter: 2, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1461.16(14) mean: 2533.06, max: 3275.30
Date: 07-11 at 03:16:50, iter: 3, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1460.19(14) mean: 2453.65, max: 3183.02
Date: 07-11 at 03:17:48, iter: 4, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1458.97(14) mean: 2466.29, max: 3195.63
Date: 07-11 at 03:18:43, iter: 5, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1458.97(14) mean: 2385.01, max: 3121.46
Date: 07-11 at 03:19:33, iter: 6, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1458.97(14) mean: 2246.20, max: 3056.02
Date: 07-11 at 03:20:25, iter: 7, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1458.97(14) mean: 2265.92, max: 3031.09
Date: 07-11 at 03:21:21, iter: 8, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1458.97(14) mean: 2294.59, max: 3029.32
Date: 07-11 at 03:22:26, iter: 10, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1458.97(14) mean: 1784.50, max: 1981.48
Date: 07-11 at 03:23:15, iter: 11, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1458.97(14) mean: 1768.29, max: 1991.29
Date: 07-11 at 03:24:08, iter: 12, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1458.97(14) mean: 1778.85, max: 2075.01
Date: 07-11 at 03:25:00, iter: 13, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1440.76(14) mean: 1806.81, max: 2047.10
Date: 07-11 at 03:25:49, iter: 14, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1388.86(13) mean: 1820.84, max: 2065.84
Date: 07-11 at 03:26:40, iter: 15, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1386.78(13) mean: 1769.82, max: 2110.91
Date: 07-11 at 03:27:41, iter: 16, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1386.78(13) mean: 1591.02, max: 1968.70
Date: 07-11 at 03:28:26, iter: 17, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1386.78(13) mean: 1632.98, max: 2074.02
Date: 07-11 at 03:29:19, iter: 18, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1386.78(13) mean: 1599.90, max: 1813.70
Date: 07-11 at 03:30:14, iter: 19, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1386.78(13) mean: 1562.85, max: 1689.95
Date: 07-11 at 03:31:02, iter: 21, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1386.78(13) mean: 1594.57, max: 1842.62
Date: 07-11 at 03:31:54, iter: 22, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1386.78(13) mean: 1493.65, max: 1690.30
Date: 07-11 at 03:32:41, iter: 23, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1382.14(13) mean: 1451.94, max: 1518.53
Date: 07-11 at 03:33:32, iter: 24, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1382.14(13) mean: 1464.80, max: 1581.39
Date: 07-11 at 03:34:22, iter: 25, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1382.14(13) mean: 1470.66, max: 1549.27
Date: 07-11 at 03:35:13, iter: 26, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1382.14(13) mean: 1453.35, max: 1545.00
Date: 07-11 at 03:36:02, iter: 27, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1382.14(13) mean: 1461.27, max: 1608.35
Date: 07-11 at 03:36:58, iter: 29, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1381.17(13) mean: 1488.13, max: 1702.92
Date: 07-11 at 03:37:47, iter: 30, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1381.17(13) mean: 1542.90, max: 1761.71
Date: 07-11 at 03:38:36, iter: 31, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1381.17(13) mean: 1568.64, max: 1764.09
Date: 07-11 at 03:39:34, iter: 32, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1381.17(13) mean: 1521.55, max: 1785.93
Date: 07-11 at 03:40:26, iter: 34, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1381.17(13) mean: 1592.97, max: 1927.35
Date: 07-11 at 03:41:13, iter: 35, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1381.17(13) mean: 1596.77, max: 1879.38
Date: 07-11 at 03:42:07, iter: 36, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1381.17(13) mean: 1456.43, max: 1544.07
Date: 07-11 at 03:42:54, iter: 37, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1381.17(13) mean: 1467.15, max: 1560.19
Date: 07-11 at 03:43:43, iter: 39, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1381.17(13) mean: 1547.27, max: 1850.82
Date: 07-11 at 03:44:37, iter: 40, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1381.17(13) mean: 1535.29, max: 1915.78
Date: 07-11 at 03:45:26, iter: 41, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1377.69(13) mean: 1490.31, max: 1909.71
Date: 07-11 at 03:46:16, iter: 42, fix: false, local: false, cut car: true, new generate: false, Khoo: 1261.67 best obj: 1377.69(13) mean: 1472.08, max: 1671.39
