Date: 07-01 at 11:24:09, iter: 1, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 1598.15(17) mean: 3264.87, max: 3852.14
Date: 07-01 at 11:26:01, iter: 2, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 1324.30(17) mean: 3170.96, max: 3744.10
Date: 07-01 at 11:27:53, iter: 3, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 1114.60(15) mean: 3136.74, max: 3717.40
Date: 07-01 at 11:29:44, iter: 4, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 1068.69(14) mean: 2831.98, max: 3434.10
Date: 07-01 at 11:31:27, iter: 5, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 1030.36(14) mean: 2676.46, max: 3255.39
Date: 07-01 at 11:33:17, iter: 6, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 1011.36(13) mean: 2686.17, max: 3216.86
Date: 07-01 at 11:35:15, iter: 7, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 1001.87(13) mean: 2322.26, max: 3211.79
Date: 07-01 at 11:37:17, iter: 8, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 1001.87(13) mean: 2222.84, max: 3225.02
Date: 07-01 at 11:39:10, iter: 9, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 1001.87(13) mean: 1719.35, max: 3138.64
Date: 07-01 at 11:41:03, iter: 10, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 1001.87(13) mean: 1292.92, max: 2902.19
Date: 07-01 at 11:42:57, iter: 11, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 1001.87(13) mean: 1223.01, max: 1483.78
Date: 07-01 at 11:44:48, iter: 12, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 1001.87(13) mean: 1127.60, max: 1230.45
Date: 07-01 at 11:46:51, iter: 13, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 993.14(13) mean: 1111.98, max: 1212.05
Date: 07-01 at 11:48:39, iter: 14, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 969.53(12) mean: 1050.66, max: 1148.50
Date: 07-01 at 11:50:34, iter: 15, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 967.21(12) mean: 1026.84, max: 1099.65
Date: 07-01 at 11:52:37, iter: 16, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 967.21(12) mean: 1017.61, max: 1093.93
Date: 07-01 at 11:54:25, iter: 17, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 967.21(12) mean: 1016.79, max: 1093.93
Date: 07-01 at 11:56:19, iter: 18, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 967.21(12) mean: 1016.79, max: 1093.93
Date: 07-01 at 11:57:33, iter: 19, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 967.21(12) mean: 1057.09, max: 1136.57
Date: 07-01 at 11:58:34, iter: 20, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 959.45(12) mean: 1028.89, max: 1098.06
Date: 07-01 at 11:59:37, iter: 21, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 959.45(12) mean: 1011.40, max: 1098.06
Date: 07-01 at 12:00:40, iter: 22, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 959.45(12) mean: 1004.70, max: 1098.06
Date: 07-01 at 12:01:34, iter: 23, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 959.45(12) mean: 1005.43, max: 1060.28
Date: 07-01 at 12:02:31, iter: 24, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 959.45(12) mean: 995.21, max: 1058.71
Date: 07-01 at 12:03:32, iter: 25, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 959.45(12) mean: 987.76, max: 1058.71
Date: 07-01 at 12:04:29, iter: 26, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 959.45(12) mean: 964.55, max: 1035.90
Date: 07-01 at 12:05:26, iter: 27, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 959.45(12) mean: 964.06, max: 1028.58
Date: 07-01 at 12:06:22, iter: 28, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 959.45(12) mean: 964.06, max: 1028.58
Date: 07-01 at 12:07:22, iter: 29, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 959.45(12) mean: 964.06, max: 1028.58
Date: 07-01 at 12:08:31, iter: 30, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 959.45(12) mean: 966.40, max: 1063.66
Date: 07-01 at 12:09:26, iter: 31, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 959.45(12) mean: 965.77, max: 1054.18
Date: 07-01 at 12:10:24, iter: 32, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 959.45(12) mean: 959.45, max: 959.45
Date: 07-01 at 12:11:27, iter: 33, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 959.45(12) mean: 959.45, max: 959.45
Date: 07-01 at 12:12:22, iter: 34, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 959.45(12) mean: 959.45, max: 959.45
Date: 07-01 at 12:13:14, iter: 35, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 959.45(12) mean: 959.45, max: 959.45
Date: 07-01 at 12:14:19, iter: 36, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 959.45(12) mean: 959.45, max: 959.45
Date: 07-01 at 12:15:14, iter: 37, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 959.45(12) mean: 959.45, max: 959.45
Date: 07-01 at 12:16:08, iter: 38, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 959.45(12) mean: 959.45, max: 959.45
Date: 07-01 at 12:17:12, iter: 39, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 959.45(12) mean: 959.45, max: 959.45
Date: 07-01 at 12:18:20, iter: 40, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 896.14(11) mean: 953.09, max: 959.45
Date: 07-01 at 12:19:14, iter: 41, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 896.14(11) mean: 953.07, max: 959.45
Date: 07-01 at 12:20:14, iter: 42, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 896.14(11) mean: 925.19, max: 933.44
Date: 07-01 at 12:21:09, iter: 43, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 864.06(11) mean: 909.96, max: 932.13
Date: 07-01 at 12:22:07, iter: 44, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 893.75, max: 929.01
Date: 07-01 at 12:22:57, iter: 45, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 889.01, max: 928.42
Date: 07-01 at 12:23:55, iter: 46, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 857.94, max: 863.88
Date: 07-01 at 12:24:53, iter: 47, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 12:25:44, iter: 48, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 12:26:35, iter: 49, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 12:27:32, iter: 50, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 12:28:23, iter: 51, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 12:29:17, iter: 52, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 12:30:15, iter: 53, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 12:31:07, iter: 54, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 12:32:00, iter: 55, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 12:33:00, iter: 56, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 12:33:53, iter: 57, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 12:34:57, iter: 58, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 12:35:48, iter: 59, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 12:36:47, iter: 60, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 12:37:43, iter: 61, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 12:38:38, iter: 62, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 12:39:46, iter: 63, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 12:40:44, iter: 64, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 12:41:44, iter: 65, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 12:42:54, iter: 66, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 12:43:59, iter: 67, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 12:44:58, iter: 68, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 12:46:03, iter: 69, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 12:47:00, iter: 70, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 12:48:04, iter: 71, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 12:49:01, iter: 72, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 12:50:11, iter: 73, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 12:51:20, iter: 74, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 12:52:23, iter: 75, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 12:53:29, iter: 76, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 12:54:38, iter: 77, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 12:55:44, iter: 78, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 12:56:46, iter: 79, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 12:57:50, iter: 80, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 12:59:01, iter: 81, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 12:59:58, iter: 82, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 13:01:02, iter: 83, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 13:02:03, iter: 84, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 13:03:03, iter: 85, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 13:04:02, iter: 86, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 13:05:05, iter: 87, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 13:06:06, iter: 88, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 13:07:07, iter: 89, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 13:08:09, iter: 90, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 13:09:07, iter: 91, fix: false, local: true, cut car: false, new generate: false, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
