Date: 01-04 at 13:37:48, #particle: 15, iter: 1, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 1394.48(15), mean: 3267.58, max: 4182.20
Date: 01-04 at 13:38:37, #particle: 15, iter: 2, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 1091.33(13), mean: 3120.56, max: 4021.71
Date: 01-04 at 13:39:19, #particle: 15, iter: 3, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 994.22(12), mean: 2921.88, max: 3627.69
Date: 01-04 at 13:40:04, #particle: 15, iter: 4, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 991.19(12), mean: 2449.71, max: 3363.35
Date: 01-04 at 13:40:51, #particle: 15, iter: 5, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 991.19(12), mean: 2076.15, max: 2839.62
Date: 01-04 at 13:41:42, #particle: 15, iter: 6, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 991.19(12), mean: 1865.94, max: 2699.70
Date: 01-04 at 13:42:33, #particle: 15, iter: 7, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 921.26(12), mean: 1120.42, max: 1346.73
Date: 01-04 at 13:43:19, #particle: 15, iter: 8, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 919.28(12), mean: 1072.16, max: 1273.84
Date: 01-04 at 13:44:03, #particle: 15, iter: 9, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 908.68(11), mean: 963.91, max: 1065.57
Date: 01-04 at 13:44:46, #particle: 15, iter: 10, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 892.58(11), mean: 959.56, max: 1059.94
Date: 01-04 at 13:45:30, #particle: 15, iter: 11, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 881.89(12), mean: 948.85, max: 1056.22
Date: 01-04 at 13:46:18, #particle: 15, iter: 12, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 862.63(11), mean: 917.18, max: 971.57
Date: 01-04 at 13:47:00, #particle: 15, iter: 13, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 859.06(11), mean: 898.17, max: 958.80
Date: 01-04 at 13:47:45, #particle: 15, iter: 14, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 859.06(11), mean: 893.17, max: 952.39
Date: 01-04 at 13:48:32, #particle: 15, iter: 15, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 859.06(11), mean: 892.22, max: 952.39
Date: 01-04 at 13:49:14, #particle: 15, iter: 16, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 859.06(11), mean: 892.11, max: 952.39
Date: 01-04 at 13:49:56, #particle: 15, iter: 17, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 859.06(11), mean: 892.11, max: 952.39
Date: 01-04 at 13:50:41, #particle: 15, iter: 19, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 859.06(11), mean: 3511.11, max: 3942.08
Date: 01-04 at 13:51:38, #particle: 15, iter: 20, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 859.06(11), mean: 1407.59, max: 1623.55
Date: 01-04 at 13:52:21, #particle: 15, iter: 21, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 859.06(11), mean: 1369.17, max: 1614.15
Date: 01-04 at 13:53:13, #particle: 15, iter: 22, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 859.06(11), mean: 1257.08, max: 1620.30
Date: 01-04 at 13:54:01, #particle: 15, iter: 24, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 859.06(11), mean: 3285.60, max: 3919.33
Date: 01-04 at 13:54:50, #particle: 15, iter: 25, fix: false, local: false, cut car: false, new generate: true, Khoo: 828.94, best obj: 859.06(11), mean: 1291.09, max: 1524.07
