Date: 07-04 at 06:29:23, iter: 1, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1836.84(6) mean: 4113.59, max: 5089.01
Date: 07-04 at 06:30:41, iter: 2, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1680.80(6) mean: 3449.05, max: 4616.83
Date: 07-04 at 06:31:53, iter: 3, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1602.17(11) mean: 2510.08, max: 3901.51
Date: 07-04 at 06:33:07, iter: 4, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1544.91(11) mean: 2478.59, max: 3702.53
Date: 07-04 at 06:34:27, iter: 5, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1531.54(11) mean: 2428.21, max: 3519.71
Date: 07-04 at 06:35:41, iter: 6, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1526.70(11) mean: 2114.27, max: 3083.58
Date: 07-04 at 06:37:08, iter: 7, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1526.70(11) mean: 1956.28, max: 3056.64
Date: 07-04 at 06:38:30, iter: 8, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1526.70(11) mean: 1953.53, max: 3061.04
Date: 07-04 at 06:39:55, iter: 9, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1526.70(11) mean: 1714.28, max: 1861.83
Date: 07-04 at 06:41:28, iter: 10, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1526.70(11) mean: 1685.62, max: 1836.49
Date: 07-04 at 06:42:38, iter: 11, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1526.70(11) mean: 1728.83, max: 1884.53
Date: 07-04 at 06:44:02, iter: 12, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1526.70(11) mean: 1633.66, max: 1714.07
Date: 07-04 at 06:45:35, iter: 13, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1526.70(11) mean: 1633.02, max: 1722.55
Date: 07-04 at 06:46:45, iter: 14, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1484.90(12) mean: 1625.14, max: 1803.42
Date: 07-04 at 06:48:00, iter: 15, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1468.95(11) mean: 1647.87, max: 1792.41
Date: 07-04 at 06:49:15, iter: 16, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1453.07(11) mean: 1673.47, max: 1814.62
Date: 07-04 at 06:50:44, iter: 17, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1453.00(11) mean: 1565.99, max: 1660.41
Date: 07-04 at 06:52:10, iter: 18, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1450.63(11) mean: 1551.20, max: 1689.02
Date: 07-04 at 06:53:29, iter: 19, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1448.21(11) mean: 1607.28, max: 1754.29
Date: 07-04 at 06:54:39, iter: 20, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1448.21(11) mean: 1646.29, max: 1763.69
Date: 07-04 at 06:55:56, iter: 21, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1448.21(11) mean: 1640.00, max: 1758.48
Date: 07-04 at 06:57:21, iter: 22, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1448.21(11) mean: 1554.73, max: 1717.62
Date: 07-04 at 06:58:44, iter: 23, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1426.12(12) mean: 1549.36, max: 1664.78
Date: 07-04 at 07:00:04, iter: 24, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1426.12(12) mean: 1572.65, max: 1700.85
Date: 07-04 at 07:01:30, iter: 25, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1426.12(12) mean: 1503.09, max: 1577.42
Date: 07-04 at 07:02:48, iter: 26, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1426.12(12) mean: 1568.18, max: 1674.15
Date: 07-04 at 07:04:12, iter: 27, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1426.12(12) mean: 1500.22, max: 1654.57
Date: 07-04 at 07:05:34, iter: 28, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1426.12(12) mean: 1497.88, max: 1675.62
Date: 07-04 at 07:06:58, iter: 29, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1426.12(12) mean: 1483.86, max: 1559.03
Date: 07-04 at 07:08:17, iter: 30, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1426.12(12) mean: 1476.40, max: 1507.46
Date: 07-04 at 07:09:34, iter: 31, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1426.12(12) mean: 1472.84, max: 1499.71
Date: 07-04 at 07:10:56, iter: 32, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1426.12(12) mean: 1472.79, max: 1499.71
Date: 07-04 at 07:12:18, iter: 33, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1426.12(12) mean: 1474.29, max: 1499.71
Date: 07-04 at 07:13:34, iter: 34, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1426.12(12) mean: 1469.46, max: 1501.89
Date: 07-04 at 07:14:51, iter: 35, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1414.06(12) mean: 1431.20, max: 1452.53
Date: 07-04 at 07:16:12, iter: 36, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1414.06(12) mean: 1428.38, max: 1448.88
Date: 07-04 at 07:17:36, iter: 37, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1414.06(12) mean: 1426.83, max: 1439.89
Date: 07-04 at 07:18:55, iter: 38, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1414.06(12) mean: 1448.16, max: 1468.33
Date: 07-04 at 07:20:13, iter: 39, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1414.06(12) mean: 1427.80, max: 1440.41
Date: 07-04 at 07:21:31, iter: 40, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1414.06(12) mean: 1426.86, max: 1439.89
Date: 07-04 at 07:23:02, iter: 41, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1414.06(12) mean: 1442.05, max: 1479.86
Date: 07-04 at 07:24:21, iter: 42, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1426.72, max: 1441.60
Date: 07-04 at 07:25:42, iter: 43, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1426.73, max: 1441.60
Date: 07-04 at 07:27:14, iter: 44, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1426.35, max: 1441.60
Date: 07-04 at 07:28:38, iter: 45, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1443.76, max: 1467.73
Date: 07-04 at 07:29:58, iter: 46, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1441.74, max: 1521.59
Date: 07-04 at 07:31:13, iter: 47, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1416.32, max: 1424.99
Date: 07-04 at 07:32:32, iter: 48, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1431.34, max: 1454.26
Date: 07-04 at 07:33:49, iter: 49, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1417.08, max: 1476.74
Date: 07-04 at 07:35:14, iter: 50, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1412.47, max: 1414.06
Date: 07-04 at 07:36:32, iter: 51, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1412.47, max: 1414.06
Date: 07-04 at 07:37:54, iter: 52, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1412.47, max: 1414.06
Date: 07-04 at 07:39:10, iter: 53, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1412.47, max: 1414.06
Date: 07-04 at 07:40:37, iter: 54, fix: false, local: false, cut car: false, new generate: true, Khoo: 1134.91 best obj: 1412.35(12) mean: 1412.47, max: 1414.06
