Date: 07-01 at 19:10:06, iter: 1, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 1408.76(17) mean: 3085.44, max: 3928.10
Date: 07-01 at 19:11:01, iter: 2, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 1177.52(15) mean: 3088.11, max: 3944.83
Date: 07-01 at 19:12:08, iter: 3, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 1175.62(15) mean: 2978.05, max: 3806.02
Date: 07-01 at 19:13:27, iter: 4, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 1172.49(15) mean: 2987.17, max: 3791.42
Date: 07-01 at 19:14:56, iter: 5, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 1139.63(14) mean: 2963.04, max: 3715.21
Date: 07-01 at 19:16:37, iter: 6, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 1139.63(14) mean: 2693.33, max: 3483.34
Date: 07-01 at 19:18:19, iter: 7, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 1139.63(14) mean: 2426.12, max: 3397.43
Date: 07-01 at 19:19:59, iter: 8, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 1139.63(14) mean: 2374.51, max: 3335.62
Date: 07-01 at 19:21:35, iter: 9, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 1086.54(14) mean: 1954.67, max: 3120.88
Date: 07-01 at 19:23:07, iter: 10, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 1051.25(13) mean: 1297.78, max: 1481.76
Date: 07-01 at 19:24:43, iter: 11, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 986.24(12) mean: 1335.14, max: 1550.80
Date: 07-01 at 19:26:19, iter: 12, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 986.24(12) mean: 1128.43, max: 1278.36
Date: 07-01 at 19:27:52, iter: 13, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 986.24(12) mean: 1144.04, max: 1308.36
Date: 07-01 at 19:29:28, iter: 14, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 986.24(12) mean: 1178.19, max: 1351.55
Date: 07-01 at 19:30:55, iter: 15, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 981.51(12) mean: 1062.59, max: 1199.06
Date: 07-01 at 19:32:20, iter: 16, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 947.75(13) mean: 1020.56, max: 1098.10
Date: 07-01 at 19:33:46, iter: 17, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 896.74(12) mean: 984.14, max: 1100.27
Date: 07-01 at 19:35:17, iter: 18, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 860.21(11) mean: 945.47, max: 1099.86
Date: 07-01 at 19:36:43, iter: 19, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 931.62, max: 1038.73
Date: 07-01 at 19:38:17, iter: 20, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 920.54, max: 1048.45
Date: 07-01 at 19:39:53, iter: 21, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 891.74, max: 974.95
Date: 07-01 at 19:41:19, iter: 22, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 881.59, max: 948.66
Date: 07-01 at 19:42:49, iter: 23, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 870.08, max: 931.35
Date: 07-01 at 19:44:31, iter: 25, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 876.21, max: 999.50
Date: 07-01 at 19:45:59, iter: 26, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 846.89, max: 985.38
Date: 07-01 at 19:47:26, iter: 27, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 836.96, max: 949.34
Date: 07-01 at 19:48:53, iter: 28, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 830.29, max: 849.30
Date: 07-01 at 19:50:49, iter: 30, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 19:52:11, iter: 31, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 19:53:33, iter: 32, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 19:55:04, iter: 33, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 19:56:53, iter: 35, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 840.08, max: 996.02
Date: 07-01 at 19:58:18, iter: 36, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 842.82, max: 1037.23
Date: 07-01 at 19:59:50, iter: 37, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 842.89, max: 1038.19
Date: 07-01 at 20:01:11, iter: 38, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 20:03:04, iter: 40, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 20:04:23, iter: 41, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 20:05:49, iter: 42, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 20:07:15, iter: 43, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 20:09:14, iter: 45, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 20:10:43, iter: 46, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 20:12:09, iter: 47, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 20:13:45, iter: 48, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 20:15:43, iter: 50, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 20:17:18, iter: 51, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 20:19:05, iter: 52, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 20:20:54, iter: 53, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
Date: 07-01 at 20:22:56, iter: 55, fix: false, local: true, cut car: true, new generate: true, Khoo: 828.94 best obj: 828.94(10) mean: 828.94, max: 828.94
